USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;CORRECT;UNCERTAIN;INCORRECT;CORRECTP;UNCERTAINP;INCORRECTP;CORRECT_UDISCARDEDP;TRAIN_TIME;THEORY
3;1;1;3;44;103;41;46;16;0.39805825242718446;0.44660194174757284;0.1553398058252427;0.7192982456140351;13.213;:~ value(rosolatura,V1).[V1@1, V1] 
3;2;2;3;44;103;64;4;35;0.6213592233009708;0.038834951456310676;0.33980582524271846;0.6464646464646465;29.737;:~ value(latticini,V1).[-V1@1, V1] :~ value(rosolatura,V1).[V1@2, V1] 
3;3;3;3;44;103;63;2;38;0.6116504854368932;0.019417475728155338;0.36893203883495146;0.6237623762376238;49.109;:~ value(prepTime,V1).[V1@1, V1] :~ value(rosolatura,V1).[V1@3, V1] :~ value(frutta,V1).[-1@2, V1] 
3;4;4;3;44;103;67;6;30;0.6504854368932039;0.05825242718446602;0.2912621359223301;0.6907216494845361;68.486;:~ value(cost,V1).[-V1@2, V1] :~ value(rosolatura,V1).[V1@4, V1] :~ value(frutta,V1).[-1@3, V1] 
3;5;5;3;44;103;69;9;25;0.6699029126213593;0.08737864077669903;0.24271844660194175;0.7340425531914894;96.967;:~ value(cottura_a_fiamma,V1).[V1@3, V1] :~ value(frutta,V1).[-1@1, V1] :~ value(rosolatura,V1).[V1@4, V1] 
4;1;1;3;43;103;61;15;27;0.5922330097087378;0.14563106796116504;0.2621359223300971;0.6931818181818182;22.663;:~ value(latticini,V1).[V1@1, V1] 
4;2;2;3;43;103;18;46;39;0.17475728155339806;0.44660194174757284;0.3786407766990291;0.3157894736842105;42.85;:~ value(rosolatura,V1).[V1@1, V1] :~ value(bollitura,V1).[1@2, V1] 
4;3;3;3;43;103;44;10;49;0.42718446601941745;0.0970873786407767;0.47572815533980584;0.4731182795698925;73.445;:~ value(cost,V1).[-V1@1, V1] :~ value(pasta,V1).[1@3, V1] :~ value(rosolatura,V1).[V1@2, V1] 
4;4;4;3;43;103;62;4;37;0.6019417475728155;0.038834951456310676;0.3592233009708738;0.6262626262626263;101.97;:~ value(frutta,V1).[V1@2, V1] :~ value(latticini,V1).[V1@1, V1] :~ category(1).[-1@3] :~ value(bollitura,V1).[V1@4, V1] 
4;5;5;3;43;103;68;0;35;0.6601941747572816;0.0;0.33980582524271846;0.6601941747572816;154.957;:~ value(frutta,V1).[1@3, V1] :~ value(cottura_a_fiamma,V1).[-1@2, V1] :~ value(prepTime,V1).[V1@1, V1] :~ category(1).[-1@5] :~ value(forno,V1).[1@4, V1] 
