USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
3;1;1;3;45;105;0.5936508178710938;0.4676494598388672;0.2621408700942993;11.579;:~ value(rosolatura,V1).[V1@1, V1] 
3;2;2;3;45;105;0.6952381134033203;0.4609181086222331;0.36409862836201984;21.561;:~ value(frutta,V1).[-V1@1, V1] :~ value(rosolatura,V1).[V1@2, V1] 
3;3;3;3;45;105;0.7587301731109619;0.4341270128885905;0.42817187309265137;30.984;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(rosolatura,V1).[V1@3, V1] 
3;4;4;3;45;105;0.7523809274037679;0.4205128351847331;0.4195270538330078;42.051;:~ value(frutta,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(rosolatura,V1).[V1@4, V1] 
3;5;5;3;45;105;0.7587301731109619;0.4341270128885905;0.42817187309265137;58.719;:~ value(verdure_e_ortaggi,V1).[V1@4, V1] :~ value(rosolatura,V1).[V1@5, V1] 
4;1;1;3;45;105;0.720634937286377;0.4469583034515381;0.3916603724161784;19.116;:~ value(latticini,V1).[V1@1, V1] 
4;2;2;3;45;105;0.45396824677785236;0.20802621046702066;0.12106324235598247;36.429;:~ value(bollitura,V1).[V1@2, V1] :~ value(rosolatura,V1).[V1@1, V1] 
4;3;3;3;45;105;0.45396824677785236;0.20802621046702066;0.12106324235598247;61.433;:~ value(bollitura,V1).[V1@3, V1] :~ value(rosolatura,V1).[V1@1, V1] :~ value(frutta,V1), category(3).[V1@2, V1] 
4;4;4;3;45;105;0.47936511039733887;0.22464398543039957;0.14827412366867065;60.678;:~ value(pasta,V1).[-V1@3, V1] :~ value(bollitura,V1).[V1@4, V1] :~ value(rosolatura,V1).[V1@1, V1] :~ value(frutta,V1), category(3).[V1@2, V1] 
4;5;5;3;45;105;0.7269841829935709;0.4088173707326253;0.4009826183319092;82.12;:~ value(latticini,V1).[V1@2, V1] :~ value(frutta,V1).[V1@3, V1] :~ value(bollitura,V1).[V1@5, V1] :~ category(1).[-1@4] 
7;1;1;3;45;105;0.5555555820465088;0.4012569586435954;0.37983282407124835;10.239;:~ value(rosolatura,V1).[-V1@1, V1] 
7;2;2;3;45;105;0.5999999841054281;0.4106113910675049;0.3969995578130086;19.506;:~ value(pesce,V1).[V1@1, V1] :~ value(rosolatura,V1).[-V1@2, V1] 
7;3;3;3;45;105;0.5999999841054281;0.4106113910675049;0.3969995578130086;32.276;:~ value(rosolatura,V1).[-V1@3, V1] :~ value(pesce,V1).[V1@2, V1] 
7;4;4;3;45;105;0.5999999841054281;0.4106113910675049;0.3969995578130086;33.683;:~ value(pesce,V1).[V1@1, V1] :~ value(rosolatura,V1).[-V1@4, V1] 
7;5;5;3;45;105;0.5999999841054281;0.4106113910675049;0.3969995578130086;43.843;:~ value(pesce,V1).[V1@4, V1] :~ value(rosolatura,V1).[-V1@5, V1] 
11;1;1;3;45;105;0.7523810068766276;0.6042923529942831;0.6400171915690104;20.462;:~ value(cost,V1).[-V1@1, V1] 
11;2;2;3;45;105;0.7523810068766276;0.6042923529942831;0.6400171915690104;34.82;:~ value(cost,V1).[-V1@1, V1] :~ category(2).[-1@2] 
11;3;3;3;45;105;0.8412698904673258;0.5496031840642294;0.5240490039189657;34.233;:~ category(2).[-1@3] :~ value(cost,V1).[-V1@2, V1] :~ value(difficulty,V1).[V1@1, V1] 
11;4;4;3;45;105;0.8412698904673258;0.5496031840642294;0.5240490039189657;48.764;:~ value(difficulty,V1).[V1@2, V1] :~ value(cost,V1).[-V1@3, V1] :~ category(2).[-1@4] 
11;5;5;3;45;105;0.8476190567016602;0.5406162738800049;0.53114120165507;66.781;:~ value(pasta,V1).[-V1@1, V1] :~ value(difficulty,V1).[V1@2, V1] :~ value(cost,V1).[-V1@3, V1] :~ category(2).[-1@5] 
14;1;1;3;45;105;0.47936511039733887;0.5420982042948405;0.45234938462575275;16.798;:~ value(pasta,V1).[V1@1, V1] 
14;2;2;3;45;105;0.644444465637207;0.3386177221934001;0.32272793849309284;17.311;:~ value(pasta,V1).[V1@2, V1] :~ value(prepTime,V1).[V1@1, V1] 
14;3;3;3;45;105;0.6634920438130697;0.3387654622395833;0.336426575978597;23.698;:~ value(cost,V1).[V1@1, V1] :~ value(prepTime,V1).[V1@2, V1] :~ value(pasta,V1).[V1@3, V1] 
14;4;4;3;45;105;0.6190476417541504;0.2817719628413518;0.2735307216644287;39.641;:~ value(farinacei,V1).[V1@3, V1] :~ value(difficulty,V1).[-V1@1, V1] :~ value(latticini,V1).[-V1@2, V1] :~ value(bollitura,V1).[V1@4, V1] 
14;5;5;3;45;105;0.6634920438130697;0.3387654622395833;0.336426575978597;48.778;:~ value(pasta,V1).[V1@5, V1] :~ value(prepTime,V1).[V1@4, V1] :~ value(cost,V1).[V1@3, V1] 
15;1;1;3;45;105;0.4603174527486165;0.6886447270711263;0.4209419886271159;12.558;:~ value(cost,V1), category(3).[V1@1, V1] 
15;2;2;3;45;105;0.682539701461792;0.3481481472651164;0.3542191982269287;26.844;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1).[-V1@2, V1] 
15;3;3;3;45;105;0.6507936318715414;0.3654173215230306;0.3729090690612793;34.46;:~ value(pesce,V1).[-V1@1, V1] :~ value(uova,V1).[-V1@2, V1] :~ value(farinacei,V1).[-V1@3, V1] 
15;4;4;3;45;105;0.5428571701049805;0.30697548389434814;0.3131015698115031;51.626;:~ value(pesce,V1).[V1@1, V1] :~ value(uova,V1).[-V1@3, V1] :~ category(3).[1@4] :~ value(carne,V1), category(3).[V1@2, V1] 
15;5;5;3;45;105;0.6507936318715414;0.3654173215230306;0.3729090690612793;70.663;:~ value(pesce,V1).[-V1@1, V1] :~ value(farinacei,V1).[-V1@5, V1] :~ value(uova,V1).[-V1@3, V1] :~ category(2).[-1@2] 
20;1;1;3;45;105;0.5365079641342163;0.25661136706670123;0.265497088432312;13.384;:~ value(latticini,V1).[-V1@1, V1] 
20;2;2;3;45;105;0.6571428775787354;0.3281335433324178;0.34502923488616943;23.333;:~ value(frutta,V1).[V1@2, V1] :~ value(latticini,V1).[-V1@1, V1] 
20;3;3;3;45;105;0.6698412895202637;0.3265782296657562;0.3596491018931071;43.574;:~ value(latticini,V1).[-V1@2, V1] :~ value(prepTime,V1).[-V1@1, V1] :~ value(frutta,V1).[V1@3, V1] 
20;4;4;3;45;105;0.6634920438130697;0.3240310152371724;0.3508772055308024;63.475;:~ value(frutta,V1).[V1@4, V1] :~ value(latticini,V1).[-V1@3, V1] :~ value(rosolatura,V1).[-V1@1, V1] 
20;5;5;3;45;105;0.5873015721638998;0.25;0.27485378583272296;93.475;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(pesce,V1).[V1@5, V1] :~ value(cottura_a_fiamma,V1).[V1@3, V1] :~ value(forno,V1).[-V1@4, V1] 
29;1;1;3;45;105;0.6317460536956787;0.3859703143437703;0.4094664255777995;14.727;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
29;2;2;3;45;105;0.7650794188181559;0.607921322186788;0.5840492248535156;28.878;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(cost,V1).[V1@2, V1] 
29;3;3;3;45;105;0.7650794188181559;0.607921322186788;0.5840492248535156;48.057;:~ value(cost,V1).[V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] 
29;4;4;3;45;105;0.5174603462219238;0.29201173782348633;0.2475231091181437;53.693;:~ value(pesce,V1).[V1@4, V1] :~ value(bollitura,V1).[V1@2, V1] :~ value(uova,V1).[V1@3, V1] :~ value(carne,V1).[-V1@1, V1] 
29;5;5;3;45;105;0.5492063760757446;0.310413916905721;0.2994799216588338;64.491;:~ value(pasta,V1).[V1@3, V1] :~ value(pesce,V1).[V1@5, V1] :~ value(rosolatura,V1).[-V1@1, V1] :~ value(uova,V1).[V1@4, V1] 
32;1;1;3;45;105;0.47936511039733887;0.5655455589294434;0.3755274216334025;14.199;:~ category(3).[1@1] 
32;2;2;3;45;105;0.7333333492279053;0.4560660521189372;0.5014605522155762;34.155;:~ value(pasta,V1).[V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
32;3;3;3;45;105;0.5809524059295654;0.373917818069458;0.4001947244008382;55.917;:~ value(bollitura,V1).[V1@3, V1] :~ category(3).[1@2] :~ value(frutta,V1).[V1@1, V1] 
32;4;4;3;45;105;0.6888888676961263;0.3583333492279053;0.38623825709025067;77.103;:~ value(frutta,V1).[V1@2, V1] :~ value(bollitura,V1).[V1@1, V1] :~ value(farinacei,V1).[-V1@3, V1] :~ category(1).[-1@4] 
32;5;5;3;45;105;0.6888888676961263;0.3583333492279053;0.38623825709025067;105.76;:~ value(frutta,V1).[V1@3, V1] :~ value(bollitura,V1).[V1@2, V1] :~ category(1).[-1@5] :~ value(farinacei,V1).[-V1@4, V1] :~ category(2).[-1@1] 
36;1;1;3;45;105;0.47936511039733887;0.6197136243184408;0.354650616645813;13.963;:~ category(3).[1@1] 
36;2;2;3;45;105;0.5809524059295654;0.3422222137451172;0.3128205140431722;29.016;:~ value(farinacei,V1).[-V1@2, V1] :~ value(pesce,V1).[V1@1, V1] 
36;3;3;3;45;105;0.5873016516367594;0.35738706588745117;0.3350427548090617;46.529;:~ value(farinacei,V1).[-V1@3, V1] :~ category(2).[-1@2] :~ value(pesce,V1), category(3).[V1@1, V1] 
