User 0: 0.8518519 accuracy; in the following cases: 
0.5621663 precision; 0.5290148 recall; 0.1 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.5621663 precision; 0.5290148 recall; 0.05 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.5621663 precision; 0.5290148 recall; 0.05 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
0.5621663 precision; 0.5290148 recall; 0.05 treshold; 4.0wc; [0.1, 0.2, 0.2, 0.5, 0.0] as factor vector
0.5621663 precision; 0.5290148 recall; 0.0 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.5621663 precision; 0.5290148 recall; 0.0 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
0.5621663 precision; 0.5290148 recall; 0.0 treshold; 4.0wc; [0.1, 0.2, 0.2, 0.5, 0.0] as factor vector
--------------------------------------------------------------
User 1: 0.8518519 accuracy; in the following cases: 
0.5651341 precision; 0.53418803 recall; 0.05 treshold; 4.0wc; [0.1, 0.2, 0.3, 0.4, 0.0] as factor vector
0.5651341 precision; 0.53418803 recall; 0.0 treshold; 4.0wc; [0.1, 0.2, 0.3, 0.4, 0.0] as factor vector
--------------------------------------------------------------
User 2: 0.64444447 accuracy; in the following cases: 
0.45767197 precision; 0.6022222 recall; 0.3 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.3 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.25 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.25 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.2 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.2 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.2 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.2 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.2 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.2 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.15 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.15 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.15 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.15 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.15 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.15 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.15 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.1 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.1 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.1 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.1 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.1 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.1 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.1 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.1 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.1 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.05 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.45767197 precision; 0.6022222 recall; 0.0 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
--------------------------------------------------------------
User 3: 0.7925926 accuracy; in the following cases: 
0.5833333 precision; 0.78787875 recall; 0.1 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
0.5288889 precision; 0.46969697 recall; 0.05 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
0.5288889 precision; 0.46969697 recall; 0.0 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
--------------------------------------------------------------
User 4: 0.7925926 accuracy; in the following cases: 
0.5912037 precision; 0.63407403 recall; 0.1 treshold; 4.0wc; [0.1, 0.2, 0.2, 0.5, 0.0] as factor vector
0.5912037 precision; 0.63407403 recall; 0.05 treshold; 4.0wc; [0.1, 0.2, 0.2, 0.5, 0.0] as factor vector
0.5406163 precision; 0.48074076 recall; 0.05 treshold; 4.0wc; [0.1, 0.2, 0.3, 0.4, 0.0] as factor vector
0.5912037 precision; 0.63407403 recall; 0.0 treshold; 4.0wc; [0.1, 0.2, 0.2, 0.5, 0.0] as factor vector
0.5406163 precision; 0.48074076 recall; 0.0 treshold; 4.0wc; [0.1, 0.2, 0.3, 0.4, 0.0] as factor vector
--------------------------------------------------------------
User 5: 0.77777785 accuracy; in the following cases: 
0.5222222 precision; 0.4529915 recall; 0.1 treshold; 4.0wc; [0.1, 0.2, 0.3, 0.4, 0.0] as factor vector
0.5222222 precision; 0.4529915 recall; 0.05 treshold; 4.0wc; [0.1, 0.2, 0.3, 0.4, 0.0] as factor vector
0.5222222 precision; 0.4529915 recall; 0.0 treshold; 4.0wc; [0.1, 0.2, 0.3, 0.4, 0.0] as factor vector
--------------------------------------------------------------
