User 3: 0.8031747 accuracy; in the following cases: 
0.4719044 precision; 0.4918356 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.0, 0.0, 0.8] as factor vector
0.4719044 precision; 0.4918356 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.0, 0.1, 0.7] as factor vector
0.4719044 precision; 0.4918356 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.0, 0.2, 0.6] as factor vector
0.4719044 precision; 0.4918356 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.0, 0.3, 0.5] as factor vector
0.47050595 precision; 0.4945166 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.0, 0.0, 0.7] as factor vector
0.47050595 precision; 0.4945166 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.0, 0.1, 0.6] as factor vector
0.47050595 precision; 0.4945166 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.0, 0.2, 0.5] as factor vector
0.47050595 precision; 0.4945166 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.0, 0.3, 0.4] as factor vector
0.47050595 precision; 0.4945166 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.0, 0.4, 0.3] as factor vector
0.47050595 precision; 0.4945166 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.0, 0.5, 0.2] as factor vector
0.47050595 precision; 0.4945166 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.0, 0.6, 0.1] as factor vector
0.47050595 precision; 0.4945166 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.0, 0.7, 0.0] as factor vector
--------------------------------------------------------------
User 4: 0.8285714 accuracy; in the following cases: 
0.6633913 precision; 0.59237105 recall; 0.0 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.1, 0.8] as factor vector
0.6640212 precision; 0.61473435 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.0, 0.1, 0.7] as factor vector
--------------------------------------------------------------
User 7: 0.64444447 accuracy; in the following cases: 
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 4.0wc; [0.1, 0.2, 0.5, 0.2, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 4.0wc; [0.1, 0.2, 0.6, 0.1, 0.0] as factor vector
