User 3: 0.68319345 precision; in the following cases: 
0.7015874 accuracy; 0.46445027 recall; 0.05 treshold; 5.0wc; [0.3, 0.4, 0.3, 0.0, 0.0] as factor vector
--------------------------------------------------------------
User 4: 0.78558826 precision; in the following cases: 
0.79047614 accuracy; 0.55636364 recall; 0.05 treshold; 5.0wc; [0.3, 0.0, 0.1, 0.4, 0.2] as factor vector
0.79047614 accuracy; 0.55636364 recall; 0.05 treshold; 5.0wc; [0.3, 0.1, 0.1, 0.3, 0.2] as factor vector
--------------------------------------------------------------
User 7: 0.49295914 precision; in the following cases: 
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.0, 0.3, 0.3, 0.3] as factor vector
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.0, 0.4, 0.3, 0.2] as factor vector
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.0, 0.4, 0.4, 0.1] as factor vector
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.0, 0.5, 0.4, 0.0] as factor vector
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.0, 0.6, 0.3, 0.0] as factor vector
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.1, 0.3, 0.3, 0.2] as factor vector
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.1, 0.4, 0.4, 0.0] as factor vector
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.1, 0.5, 0.3, 0.0] as factor vector
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.2, 0.4, 0.3, 0.0] as factor vector
0.6 accuracy; 0.41399527 recall; 0.05 treshold; 5.0wc; [0.1, 0.3, 0.3, 0.3, 0.0] as factor vector
--------------------------------------------------------------
User 11: 0.6055448 precision; in the following cases: 
0.61269844 accuracy; 0.41073963 recall; 0.05 treshold; 5.0wc; [0.4, 0.5, 0.1, 0.0, 0.0] as factor vector
--------------------------------------------------------------
User 14: 0.70069236 precision; in the following cases: 
0.6698413 accuracy; 0.48967424 recall; 0.1 treshold; 4.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.0, 0.5, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.1, 0.4, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.2, 0.3, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.3, 0.2, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.4, 0.1, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.5, 0.0, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.1, 0.0, 0.4, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.1, 0.1, 0.3, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.1, 0.2, 0.2, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.1, 0.4, 0.0, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.2, 0.0, 0.3, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.2, 0.1, 0.2, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.2, 0.3, 0.0, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.3, 0.0, 0.2, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.3, 0.1, 0.1, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.3, 0.2, 0.0, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.4, 0.0, 0.1, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.4, 0.1, 0.0, 0.0] as factor vector
0.6698413 accuracy; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
