User 0: 0.5290148 recall; in the following cases: 
0.8518519 accuracy; 0.5621663 precision; 0.1 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.8518519 accuracy; 0.5621663 precision; 0.05 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.8518519 accuracy; 0.5621663 precision; 0.05 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
0.8518519 accuracy; 0.5621663 precision; 0.05 treshold; 4.0wc; [0.1, 0.2, 0.2, 0.5, 0.0] as factor vector
0.8518519 accuracy; 0.5621663 precision; 0.0 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.8518519 accuracy; 0.5621663 precision; 0.0 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
0.8518519 accuracy; 0.5621663 precision; 0.0 treshold; 4.0wc; [0.1, 0.2, 0.2, 0.5, 0.0] as factor vector
--------------------------------------------------------------
User 1: 0.66410255 recall; in the following cases: 
0.8370371 accuracy; 0.61664265 precision; 0.1 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.8370371 accuracy; 0.61664265 precision; 0.1 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
0.8370371 accuracy; 0.61664265 precision; 0.05 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.8370371 accuracy; 0.61664265 precision; 0.05 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
0.8370371 accuracy; 0.61664265 precision; 0.0 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.8370371 accuracy; 0.61664265 precision; 0.0 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
--------------------------------------------------------------
User 2: 0.6022222 recall; in the following cases: 
0.64444447 accuracy; 0.45767197 precision; 0.3 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.3 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.25 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
