User 3: 0.6797385 recall; in the following cases: 
0.3836478 accuracy; 0.36481485 precision; 0.55 treshold; 3.0wc; [0.9, 0.0, 0.1, 0.0, 0.0] as factor vector
0.3836478 accuracy; 0.36481485 precision; 0.5 treshold; 3.0wc; [0.9, 0.0, 0.1, 0.0, 0.0] as factor vector
--------------------------------------------------------------
User 4: 0.7 recall; in the following cases: 
0.43396226 accuracy; 0.37962964 precision; 1.0 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.6, 0.3] as factor vector
0.43396226 accuracy; 0.37962964 precision; 1.0 treshold; 5.0wc; [0.1, 0.1, 0.0, 0.6, 0.2] as factor vector
0.43396226 accuracy; 0.37962964 precision; 1.0 treshold; 5.0wc; [0.2, 0.0, 0.0, 0.6, 0.2] as factor vector
0.43396226 accuracy; 0.37962964 precision; 0.95 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.6, 0.3] as factor vector
0.43396226 accuracy; 0.37962964 precision; 0.95 treshold; 5.0wc; [0.2, 0.0, 0.0, 0.6, 0.2] as factor vector
--------------------------------------------------------------
User 7: 0.71274966 recall; in the following cases: 
0.7358491 accuracy; 0.49901962 precision; 0.05 treshold; 5.0wc; [0.0, 0.3, 0.4, 0.0, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.1, 0.0, 0.8] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.1, 0.1, 0.7] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.1, 0.2, 0.6] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.1, 0.3, 0.5] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.1, 0.4, 0.4] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.1, 0.5, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.1, 0.6, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.2, 0.0, 0.7] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.2, 0.1, 0.6] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.2, 0.2, 0.5] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.2, 0.3, 0.4] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.2, 0.4, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.2, 0.5, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.2, 0.6, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.3, 0.0, 0.6] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.3, 0.1, 0.5] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.3, 0.2, 0.4] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.3, 0.3, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.3, 0.4, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.3, 0.5, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.4, 0.0, 0.5] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.4, 0.1, 0.4] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.4, 0.2, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.4, 0.3, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.0, 0.1, 0.4, 0.4, 0.1] as factor vector
