USER_ID;MAX_V;MAX_P;DATASET_SIZE;OPT;THRESHOLD;F1;F2;F3;F4;F5
0.0;1.0;4.0;45.0;16.0;0.115;0.0625;0.3125;0.3125;0.3125;0.0
1.0;1.0;4.0;45.0;13.0;0.0;0.17517;0.24299;0.24299;0.33886;0.0
2.0;1.0;4.0;45.0;15.0;0.0;0.24875;0.24875;0.24875;0.25375;0.0
3.0;1.0;4.0;45.0;18.0;0.0;0.2425;0.2525;0.2525;0.2525;0.0
4.0;1.0;4.0;45.0;12.0;0.0;0.2425;0.2525;0.2525;0.2525;0.0
5.0;1.0;4.0;45.0;11.0;0.0;0.24937;0.24937;0.24937;0.25188;0.0
6.0;1.0;4.0;45.0;7.0;0.5;0.16667;0.16667;0.33333;0.33333;0.0
7.0;1.0;4.0;45.0;14.0;0.02;0.01;0.01;0.49;0.49;0.0
8.0;1.0;4.0;45.0;8.0;0.3998;0.2049;0.2049;0.24388;0.34633;0.0
9.0;1.0;4.0;45.0;23.0;0.05647;0.17941;0.23588;0.23588;0.34882;0.0
10.0;1.0;4.0;45.0;13.0;0.202;0.202;0.202;0.202;0.394;0.0
11.0;1.0;4.0;45.0;18.0;0.0;0.005;0.25375;0.25375;0.4875;0.0
12.0;1.0;4.0;45.0;13.0;0.75;0.25;0.25;0.25;0.25;0.0
13.0;1.0;4.0;45.0;13.0;0.0;0.17;0.17;0.33;0.33;0.0
14.0;1.0;4.0;45.0;13.0;0.0;0.2475;0.2475;0.2475;0.2575;0.0
15.0;1.0;4.0;45.0;14.0;0.0;0.25;0.25;0.25;0.25;0.0
16.0;1.0;4.0;45.0;16.0;0.0;0.2475;0.2475;0.2525;0.2525;0.0
17.0;1.0;4.0;45.0;17.0;0.15667;0.16667;0.16667;0.16667;0.5;0.0
18.0;1.0;4.0;45.0;11.0;0.0;0.0;0.33333;0.33333;0.33333;0.0
19.0;1.0;4.0;45.0;16.0;0.0;0.202;0.202;0.202;0.394;0.0
20.0;1.0;4.0;45.0;14.0;0.0;0.2;0.20333;0.20333;0.39333;0.0
21.0;1.0;4.0;45.0;9.0;0.0;0.0;0.2;0.4;0.4;0.0
22.0;1.0;4.0;45.0;20.0;0.0;0.198;0.198;0.198;0.406;0.0
23.0;1.0;4.0;45.0;8.0;0.09672;0.05546;0.05546;0.05966;0.82943;0.0
24.0;1.0;4.0;45.0;10.0;0.0;0.02;0.02;0.03;0.93;0.0
25.0;1.0;4.0;45.0;13.0;0.24;0.25;0.25;0.25;0.25;0.0
26.0;1.0;4.0;45.0;16.0;0.19;0.2;0.2;0.2;0.4;0.0
27.0;1.0;4.0;45.0;12.0;0.05667;0.13333;0.13333;0.33333;0.4;0.0
28.0;1.0;4.0;45.0;9.0;0.0;0.0;0.202;0.202;0.596;0.0
29.0;1.0;4.0;45.0;6.0;0.01;0.01;0.01;0.01;0.97;0.0
30.0;1.0;4.0;45.0;14.0;0.00871;0.11459;0.21047;0.31085;0.36409;0.0
31.0;1.0;4.0;45.0;12.0;0.0;0.01;0.01;0.01;0.97;0.0
32.0;1.0;4.0;45.0;13.0;0.5;0.0;0.0;0.5;0.5;0.0
33.0;1.0;4.0;45.0;9.0;0.0;0.0;0.0;0.5;0.5;0.0
34.0;1.0;4.0;45.0;9.0;0.15667;0.0;0.16667;0.33333;0.5;0.0
35.0;1.0;4.0;45.0;6.0;0.0;0.0;0.0;0.01;0.99;0.0
36.0;1.0;4.0;45.0;19.0;0.0;0.0;0.33333;0.33333;0.33333;0.0
37.0;1.0;4.0;45.0;10.0;0.26545;0.18364;0.18364;0.27545;0.35727;0.0
38.0;1.0;4.0;45.0;11.0;0.8825;0.1275;0.1275;0.3725;0.3725;0.0
39.0;1.0;4.0;45.0;7.0;0.0;0.01;0.32;0.33;0.34;0.0
40.0;1.0;4.0;45.0;16.0;0.0;0.01;0.33;0.33;0.33;0.0
41.0;1.0;4.0;45.0;8.0;0.79111;0.10444;0.10444;0.11444;0.67667;0.0
42.0;1.0;4.0;45.0;15.0;0.0;0.24917;0.24917;0.24917;0.2525;0.0
43.0;1.0;4.0;45.0;14.0;0.0;0.1275;0.1275;0.3725;0.3725;0.0
44.0;1.0;4.0;45.0;10.0;0.0;0.25;0.25;0.25;0.25;0.0
45.0;1.0;4.0;45.0;9.0;1.0;0.16667;0.16667;0.16667;0.5;0.0
46.0;1.0;4.0;45.0;23.0;0.0;0.0;0.33333;0.33333;0.33333;0.0
47.0;1.0;4.0;45.0;8.0;0.0;0.0;0.2525;0.2525;0.495;0.0
48.0;1.0;4.0;45.0;15.0;0.12793;0.24138;0.24138;0.24138;0.27586;0.0
49.0;1.0;4.0;45.0;10.0;1.0;0.14286;0.14286;0.35714;0.35714;0.0
50.0;1.0;4.0;45.0;12.0;0.0;0.25;0.25;0.25;0.25;0.0
51.0;1.0;4.0;45.0;9.0;1.0;0.0;0.0;0.0;1.0;0.0
52.0;1.0;4.0;45.0;23.0;0.0;0.25;0.25;0.25;0.25;0.0
53.0;1.0;4.0;45.0;10.0;0.0;0.14714;0.28429;0.28429;0.28429;0.0
0.0;1.0;5.0;105.0;31.0;0.0;0.15579;0.21105;0.21105;0.21105;0.21105
1.0;1.0;5.0;105.0;28.0;0.0;0.0;0.20895;0.26368;0.26368;0.26368
2.0;1.0;5.0;105.0;21.0;0.0;0.02906;0.12625;0.28156;0.28156;0.28156
3.0;1.0;5.0;105.0;34.0;0.0;0.18;0.2;0.2;0.21;0.21
4.0;1.0;5.0;105.0;33.0;0.0;0.17703;0.17703;0.20835;0.21879;0.21879
5.0;1.0;5.0;105.0;47.0;0.02;0.02;0.02;0.03;0.455;0.475
6.0;1.0;5.0;105.0;24.0;0.0;0.0;0.17909;0.27364;0.27364;0.27364
7.0;1.0;5.0;105.0;35.0;0.0676;0.1552;0.1746;0.1746;0.1943;0.3013
8.0;1.0;5.0;105.0;28.0;0.00111;0.16852;0.16852;0.16852;0.16852;0.32592
9.0;1.0;5.0;105.0;15.0;0.04792;0.04792;0.23328;0.2396;0.2396;0.2396
10.0;1.0;5.0;105.0;23.0;0.01;0.03;0.04;0.04;0.445;0.445
11.0;1.0;5.0;105.0;25.0;0.0;0.01;0.01;0.17;0.32;0.49
12.0;1.0;5.0;105.0;20.0;0.005;0.196;0.196;0.196;0.201;0.211
13.0;1.0;5.0;105.0;26.0;0.0;0.13;0.13;0.24;0.25;0.25
14.0;1.0;5.0;105.0;29.0;0.0;0.02;0.2435;0.2455;0.2455;0.2455
15.0;1.0;5.0;105.0;23.0;0.0239;0.12712;0.21186;0.22034;0.22034;0.22034
16.0;1.0;5.0;105.0;15.0;0.168;0.168;0.168;0.21;0.21;0.244
17.0;1.0;5.0;105.0;29.0;0.0;0.1625;0.1725;0.1725;0.1725;0.32
18.0;1.0;5.0;105.0;25.0;0.0;0.10946;0.10946;0.13432;0.31838;0.32838
19.0;1.0;5.0;105.0;55.0;0.0;0.0905;0.14825;0.25375;0.25375;0.25375
20.0;1.0;5.0;105.0;23.0;0.0;0.2;0.2;0.2;0.2;0.2
21.0;1.0;5.0;105.0;30.0;0.06547;0.15094;0.16981;0.22642;0.22642;0.22642
22.0;1.0;5.0;105.0;25.0;0.00333;0.01667;0.02;0.02;0.02333;0.92
23.0;1.0;5.0;105.0;32.0;0.04203;0.11532;0.20015;0.20015;0.24219;0.24219
24.0;1.0;5.0;105.0;33.0;0.08677;0.16129;0.16129;0.22581;0.22581;0.22581
25.0;1.0;5.0;105.0;18.0;0.03167;0.16667;0.20833;0.20833;0.20833;0.20833
