USER_ID;MAX_V;MAX_P;DATASET_SIZE;OPT;THRESHOLD;F1;F2;F3;F4;F5;Accuracy
0;1;4;45;37;0;0.055;0.0575;0.135;0.7525;0;0.822222222
1;1;4;45;34;0;0.11;0.15;0.35;0.39;0;0.755555556
2;1;4;45;35;0;0.152;0.176;0.336;0.336;0;0.777777778
3;1;4;45;34;0;0.055;0.1125;0.3325;0.5;0;0.755555556
4;1;4;45;34;0;0.11;0.18;0.35;0.36;0;0.755555556
5;1;4;45;34;0;0.11;0.11;0.385;0.395;0;0.755555556
6;1;4;45;34;0.01;0.11;0.11;0.11;0.67;0;0.755555556
7;1;4;45;36;0.03263;0.17947;0.17947;0.32053;0.32053;0;0.8
8;1;4;45;36;0;0.045;0.045;0.33;0.58;0;0.8
9;1;4;45;30;0;0;0.05;0.33687;0.61313;0;0.666666667
10;1;4;45;35;0.02781;0;0.3059;0.3059;0.3882;0;0.777777778
11;1;4;45;33;0;0.11466;0.12012;0.17472;0.59049;0;0.733333333
12;1;4;45;36;0.00556;0.25;0.25;0.25;0.25;0;0.8
13;1;4;45;33;0;0.01;0.11;0.44;0.44;0;0.733333333
14;1;4;45;40;0;0.055;0.14;0.4;0.405;0;0.888888889
15;1;4;45;39;0;0.01;0.045;0.17889;0.76611;0;0.866666667
16;1;4;45;35;0.01182;0.13;0.13818;0.36591;0.36591;0;0.777777778
17;1;4;45;36;0;0.18202;0.18214;0.18214;0.45369;0;0.8
18;1;4;45;37;0;0.11;0.11;0.11778;0.66222;0;0.822222222
19;1;4;45;34;0;0.11;0.25;0.32;0.32;0;0.755555556
20;1;4;45;36;0;0.12525;0.29158;0.29158;0.29158;0;0.8
21;1;4;45;35;0;0;0.035;0.11;0.855;0;0.777777778
22;1;4;45;38;0;0.06025;0.06025;0.32864;0.55085;0;0.844444444
23;1;4;45;37;0;0.05;0.11;0.42;0.42;0;0.822222222
24;1;4;45;31;0;0;0.01;0.1;0.89;0;0.688888889
25;1;4;45;36;0;0.08391;0.12457;0.39576;0.39576;0;0.8
26;1;4;45;33;0;0.0125;0.0125;0.28703;0.68797;0;0.733333333
27;1;4;45;37;0;0;0.29432;0.29432;0.41135;0;0.822222222
28;1;4;45;36;0;0.01;0.025;0.30329;0.66171;0;0.8
29;1;4;45;36;0;0.01333;0.01333;0.22;0.75333;0;0.8
30;1;4;45;35;0;0.035;0.22;0.36944;0.37556;0;0.777777778
31;1;4;45;36;0;0.10286;0.10286;0.10286;0.69143;0;0.8
32;1;4;45;33;0;0.01;0.045;0.045;0.9;0;0.733333333
33;1;4;45;38;0;0.02667;0.02667;0.165;0.78167;0;0.844444444
34;1;4;45;38;0;0.03158;0.22;0.37421;0.37421;0;0.844444444
35;1;4;45;36;0;0.08;0.11;0.11;0.7;0;0.8
36;1;4;45;36;0;0;0.045;0.27;0.685;0;0.8
37;1;4;45;33;0.00349;0.14837;0.14837;0.35163;0.35163;0;0.733333333
38;1;4;45;30;0;0;0.11;0.11;0.78;0;0.666666667
39;1;4;45;36;0;0.16154;0.16154;0.33846;0.33846;0;0.8
40;1;4;45;33;0.0088;0.20677;0.26316;0.26316;0.26692;0;0.733333333
41;1;4;45;37;0;0.05;0.05;0.22;0.68;0;0.822222222
42;1;4;45;31;0;0.11579;0.29474;0.29474;0.29474;0;0.688888889
43;1;4;45;31;0;0.11;0.2;0.2;0.49;0;0.688888889
44;1;4;45;29;0;0.05;0.05588;0.44706;0.44706;0;0.644444444
45;1;4;45;30;0;0.09;0.09;0.22;0.6;0;0.666666667
46;1;4;45;33;0;0.045;0.045;0.045;0.865;0;0.733333333
47;1;4;45;35;0;0;0.07;0.22;0.71;0;0.777777778
48;1;4;45;34;0;0.11;0.11;0.11;0.67;0;0.755555556
49;1;4;45;30;0.01239;0.24627;0.24627;0.24627;0.26119;0;0.666666667
50;1;4;45;29;0;0.11;0.29667;0.29667;0.29667;0;0.644444444
51;1;4;45;30;0;0.04;0.04;0.22;0.7;0;0.666666667
52;1;4;45;33;0;0.06618;0.06618;0.06618;0.80145;0;0.733333333
53;1;4;45;34;0;0.06425;0.31192;0.31192;0.31192;0;0.755555556
0;1;5;105;75;0;0.11;0.21;0.21;0.22;0.25;0.714285714
1;1;5;105;77;0.00333;0.01667;0.01667;0.14667;0.21524;0.60476;0.733333333
2;1;5;105;90;0;0.11;0.11;0.16;0.22476;0.39524;0.857142857
3;1;5;105;84;0;0.14918;0.18986;0.20342;0.20342;0.25411;0.8
4;1;5;105;81;0.0019;0;0.09524;0.09524;0.40476;0.40476;0.771428571
5;1;5;105;76;0.00333;0.01333;0.10667;0.29333;0.29333;0.29333;0.723809524
6;1;5;105;85;0;0.07;0.07;0.15;0.16;0.55;0.80952381
7;1;5;105;72;0.0034;0.01701;0.12165;0.18711;0.2951;0.37912;0.685714286
8;1;5;105;84;0;0;0.08;0.08364;0.41818;0.41818;0.8
9;1;5;105;88;0;0.09387;0.10821;0.23468;0.23468;0.32855;0.838095238
10;1;5;105;90;0.00377;0;0.1228;0.1228;0.3772;0.3772;0.857142857
11;1;5;105;87;0;0.04;0.04481;0.27852;0.27852;0.35815;0.828571429
12;1;5;105;90;0;0.07;0.07;0.07;0.15;0.64;0.857142857
13;1;5;105;82;0;0.07;0.11;0.15;0.33;0.34;0.780952381
14;1;5;105;84;0;0.08;0.10786;0.10786;0.32981;0.37447;0.8
15;1;5;105;98;0.01;0.10364;0.20909;0.22909;0.22909;0.22909;0.933333333
16;1;5;105;91;0;0.08;0.08;0.09;0.35;0.4;0.866666667
