USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;1;4;3;45;105;0.644444465637207;0.3730158805847168;0.3172979752222697;22.982;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[1@4, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(carne,V1).[-V1@2, V1];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
1;1;4;3;45;105;0.714285691579183;0.4039408763249715;0.3840177853902181;28.055;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
2;1;4;3;45;105;0.7079365253448486;0.37832486629486084;0.3635785977045695;29.367;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1];0.001275;3.0;0.077795;0.162525;0.285251;0.474429;0.0
3;1;4;3;45;105;0.5936507781346639;0.274726668993632;0.2685222625732422;25.421;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[V1@3, V1]:~ value(pesce,V1).[V1@2, V1]:~ category(1).[-1@4];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
4;1;4;3;45;105;0.8222222328186035;0.4979844093322754;0.49936676025390625;28.093;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1).[1@3, V1]:~ value(pesce,V1).[1@2, V1]:~ category(1).[-1@4];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
5;1;4;3;45;105;0.6952381134033203;0.46880340576171875;0.3571777939796448;34.817;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
6;1;4;3;45;105;0.644444465637207;0.303794264793396;0.29060471057891846;29.044;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1]:~ category(1).[1@3];0.001275;3.0;0.077795;0.162525;0.285251;0.474429;0.0
7;1;4;3;45;105;0.5999999841054281;0.3160421848297119;0.42664142449696857;28.724;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(1).[1@4];0.001275;3.0;0.077795;0.162525;0.285251;0.474429;0.0
8;1;4;3;45;105;0.714285691579183;0.40038077036539715;0.39070721467336017;36.435;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(pesce,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.001275;3.0;0.077795;0.162525;0.285251;0.474429;0.0
9;1;4;3;45;105;0.6000000238418579;0.27390579382578534;0.27668758233388263;38.576;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(pesce,V1).[-1@4, V1];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
10;1;4;3;45;105;0.7777778307596842;0.446127971013387;0.44562840461730957;28.584;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(carne,V1).[V1@3, V1]:~ category(3).[-1@4];0.001275;3.0;0.077795;0.162525;0.285251;0.474429;0.0
11;1;4;3;45;105;0.6634920438130697;0.33475176493326825;0.33866119384765625;34.576;:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[1@3, V1];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
12;1;4;3;45;105;0.6698412895202637;0.41904763380686444;0.4776330391565959;27.653;:~ value(pesce,V1).[-V1@4, V1]:~ value(forno,V1).[-1@1, V1]:~ category(4).[-1@2];0.001275;3.0;0.077795;0.162525;0.285251;0.474429;0.0
13;1;4;3;45;105;0.7269841035207113;0.4049242337544759;0.4112468957901001;40.434;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ category(4).[1@4]:~ value(verdure_e_ortaggi,V1).[1@3, V1]:~ category(3).[1@1];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
14;1;4;3;45;105;0.8222222328186035;0.475327730178833;0.4605475068092346;16.671;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(pesce,V1).[1@4, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[-V1@3, V1];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
15;1;4;3;45;105;0.6063491900761923;0.3279132843017578;0.320598840713501;16.568;:~ value(farinacei,V1).[-1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(uova,V1).[-V1@3, V1]:~ category(1).[1@1];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
16;1;4;3;45;105;0.6571428775787354;0.3482523759206136;0.3306010961532593;32.686;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ category(1).[1@4];0.001275;4.0;0.077795;0.162525;0.285251;0.474429;0.0
