USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;CORRECT;UNCERTAIN;INCORRECT;CORRECTP;UNCERTAINP;INCORRECTP;CORRECT_UDISCARDEDP;TRAIN_TIME;THEORY
3;1;1;3;44;103;48;12;43;0.46601941747572817;0.11650485436893204;0.4174757281553398;0.5274725274725275;14.156;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] 
3;2;2;3;44;103;52;4;47;0.5048543689320388;0.038834951456310676;0.4563106796116505;0.5252525252525253;13.768;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1).[1@2, V1] 
3;3;3;3;44;103;50;2;51;0.4854368932038835;0.019417475728155338;0.49514563106796117;0.49504950495049505;38.245;:~ category(1).[-1@3] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[V1@2, V1] 
3;4;4;3;44;103;47;1;55;0.4563106796116505;0.009708737864077669;0.5339805825242718;0.46078431372549017;56.729;:~ value(pesce,V1).[V1@2, V1] :~ category(1).[-1@4] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[V1@3, V1] 
3;5;5;3;44;103;43;2;58;0.4174757281553398;0.019417475728155338;0.5631067961165048;0.42574257425742573;82.318;:~ value(erbe_spezie_e_condimenti,V1).[-1@4, V1] :~ value(farinacei,V1).[V1@1, V1] :~ value(pesce,V1).[1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ category(4).[1@5] 
4;1;1;3;43;103;49;11;43;0.47572815533980584;0.10679611650485436;0.4174757281553398;0.532608695652174;11.771;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] 
4;2;2;3;43;103;49;11;43;0.47572815533980584;0.10679611650485436;0.4174757281553398;0.532608695652174;12.149;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(carne,V1), category(3).[1@2, V1] 
4;3;3;3;43;103;52;8;43;0.5048543689320388;0.07766990291262135;0.4174757281553398;0.5473684210526316;40.175;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ category(3).[1@1] :~ category(3), value(uova,V1).[1@3, V1] 
4;4;4;3;43;103;72;1;30;0.6990291262135923;0.009708737864077669;0.2912621359223301;0.7058823529411765;52.681;:~ value(pesce,V1).[1@2, V1] :~ category(1).[-1@4] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1).[V1@3, V1] 
4;5;5;3;43;103;72;1;30;0.6990291262135923;0.009708737864077669;0.2912621359223301;0.7058823529411765;73.357;:~ value(forno,V1).[V1@4, V1] :~ category(1).[-1@5] :~ value(pesce,V1).[1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ category(3).[-1@1] 
7;1;1;3;41;91;31;7;53;0.34065934065934067;0.07692307692307693;0.5824175824175825;0.36904761904761907;11.766;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
7;2;2;3;41;91;48;4;39;0.5274725274725275;0.04395604395604396;0.42857142857142855;0.5517241379310345;12.495;:~ category(4).[-1@2] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
7;3;3;3;41;91;39;1;51;0.42857142857142855;0.01098901098901099;0.5604395604395604;0.43333333333333335;34.267;:~ category(1).[1@3] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[-1@2, V1] 
7;4;4;3;41;91;41;3;47;0.45054945054945056;0.03296703296703297;0.5164835164835165;0.4659090909090909;52.83;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ category(3).[1@2] :~ category(1).[1@3] 
7;5;5;3;41;91;39;1;51;0.42857142857142855;0.01098901098901099;0.5604395604395604;0.43333333333333335;70.583;:~ value(farinacei,V1).[-1@4, V1] :~ category(1).[1@5] :~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1] 
11;1;1;3;43;102;35;12;55;0.3431372549019608;0.11764705882352941;0.5392156862745098;0.3888888888888889;15.206;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
11;2;2;3;43;102;55;12;35;0.5392156862745098;0.11764705882352941;0.3431372549019608;0.6111111111111112;15.308;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[1@2, V1] 
11;3;3;3;43;102;50;3;49;0.49019607843137253;0.029411764705882353;0.4803921568627451;0.5050505050505051;47.885;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[1@3, V1] 
11;4;4;3;43;102;55;3;44;0.5392156862745098;0.029411764705882353;0.43137254901960786;0.5555555555555556;64.356;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] :~ category(3).[1@1] :~ value(erbe_spezie_e_condimenti,V1).[1@3, V1] 
11;5;5;3;43;102;51;0;51;0.5;0.0;0.5;0.5;91.842;:~ value(farinacei,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ value(forno,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[1@5, V1] 
14;1;1;3;44;104;13;90;1;0.125;0.8653846153846154;0.009615384615384616;0.9285714285714286;14.337;:~ category(3), value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
14;2;2;3;44;104;57;7;40;0.5480769230769231;0.0673076923076923;0.38461538461538464;0.5876288659793815;9.23;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(pesce,V1).[1@2, V1] 
14;3;3;3;44;104;50;0;54;0.4807692307692308;0.0;0.5192307692307693;0.4807692307692308;27.977;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[-V1@3, V1] 
14;4;4;3;44;104;57;1;46;0.5480769230769231;0.009615384615384616;0.4423076923076923;0.5533980582524272;34.08;:~ value(farinacei,V1).[-1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(pesce,V1).[1@4, V1] :~ value(verdure_e_ortaggi,V1).[-V1@3, V1] 
14;5;5;3;44;104;54;0;50;0.5192307692307693;0.0;0.4807692307692308;0.5192307692307693;48.393;:~ value(farinacei,V1).[-1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ category(4).[1@3] :~ value(pesce,V1).[1@2, V1] :~ value(verdure_e_ortaggi,V1).[-V1@5, V1] 
15;1;1;3;40;99;14;85;0;0.1414141414141414;0.8585858585858586;0.0;1.0;11.582;:~ category(3).[1@1] 
15;2;2;3;40;99;34;50;15;0.3434343434343434;0.5050505050505051;0.15151515151515152;0.6938775510204082;8.525;:~ category(3).[1@2] :~ value(carne,V1).[-1@1, V1] 
15;3;3;3;40;99;36;32;31;0.36363636363636365;0.32323232323232326;0.31313131313131315;0.5373134328358209;22.583;:~ value(pesce,V1).[-V1@1, V1] :~ category(3).[1@3] :~ value(uova,V1).[-1@2, V1] 
15;4;4;3;40;99;54;11;34;0.5454545454545454;0.1111111111111111;0.3434343434343434;0.6136363636363636;31.217;:~ value(carne,V1).[-1@2, V1] :~ value(pesce,V1).[-V1@1, V1] :~ value(farinacei,V1).[-V1@3, V1] 
15;5;5;3;40;99;50;7;42;0.5050505050505051;0.0707070707070707;0.42424242424242425;0.5434782608695652;41.452;:~ value(forno,V1).[V1@1, V1] :~ value(uova,V1).[-1@4, V1] :~ value(pesce,V1).[-V1@3, V1] :~ value(farinacei,V1).[-1@5, V1] 
20;1;1;3;43;95;40;12;43;0.42105263157894735;0.12631578947368421;0.45263157894736844;0.4819277108433735;10.958;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
20;2;2;3;43;95;40;12;43;0.42105263157894735;0.12631578947368421;0.45263157894736844;0.4819277108433735;11.682;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(uova,V1), category(3).[-1@2, V1] 
20;3;3;3;43;95;43;3;49;0.45263157894736844;0.031578947368421054;0.5157894736842106;0.4673913043478261;28.423;:~ category(1).[1@3] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(forno,V1).[-V1@2, V1] 
20;4;4;3;43;95;46;1;48;0.4842105263157895;0.010526315789473684;0.5052631578947369;0.48936170212765956;41.216;:~ value(pesce,V1).[1@2, V1] :~ category(1).[1@4] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(forno,V1).[-V1@3, V1] 
20;5;5;3;43;95;55;1;39;0.5789473684210527;0.010526315789473684;0.4105263157894737;0.5851063829787234;58.861;:~ value(pesce,V1).[1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ category(1).[1@5] :~ value(pesce,V1).[-V1@3, V1] :~ value(forno,V1).[-1@2, V1] 
29;1;1;3;41;79;46;11;22;0.5822784810126582;0.13924050632911392;0.27848101265822783;0.6764705882352942;8.194;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
29;2;2;3;41;79;49;6;24;0.620253164556962;0.0759493670886076;0.3037974683544304;0.6712328767123288;7.027;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-1@2, V1] 
29;3;3;3;41;79;49;4;26;0.620253164556962;0.05063291139240506;0.3291139240506329;0.6533333333333333;25.043;:~ value(uova,V1).[-1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(verdure_e_ortaggi,V1).[-1@3, V1] 
29;4;4;3;41;79;51;4;24;0.6455696202531646;0.05063291139240506;0.3037974683544304;0.68;35.787;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(carne,V1).[1@1, V1] :~ value(verdure_e_ortaggi,V1).[-1@4, V1] 
29;5;5;3;41;79;51;0;28;0.6455696202531646;0.0;0.35443037974683544;0.6455696202531646;46.418;:~ value(carne,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@4, V1] :~ value(pesce,V1).[-1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@5, V1] :~ category(3).[1@1] 
32;1;1;3;32;92;43;43;6;0.4673913043478261;0.4673913043478261;0.06521739130434782;0.8775510204081632;11.917;:~ value(farinacei,V1).[-1@1, V1] 
32;2;2;3;32;92;43;26;23;0.4673913043478261;0.2826086956521739;0.25;0.6515151515151515;10.791;:~ value(pesce,V1).[V1@2, V1] :~ value(farinacei,V1).[-1@1, V1] 
32;3;3;3;32;92;47;14;31;0.5108695652173914;0.15217391304347827;0.33695652173913043;0.6025641025641025;34.514;:~ category(4).[1@1] :~ value(farinacei,V1).[-1@2, V1] :~ value(pesce,V1).[1@3, V1] 
32;4;4;3;32;92;44;19;29;0.4782608695652174;0.20652173913043478;0.31521739130434784;0.6027397260273972;49.868;:~ value(pesce,V1).[-V1@2, V1] :~ category(1).[-1@4] :~ value(farinacei,V1).[-V1@1, V1] :~ value(pesce,V1).[1@3, V1] 
32;5;5;3;32;92;58;13;21;0.6304347826086957;0.14130434782608695;0.22826086956521738;0.7341772151898734;69.563;:~ value(farinacei,V1).[-1@4, V1] :~ category(1).[-1@3] :~ value(pesce,V1).[1@2, V1] :~ category(4).[1@1] 
36;1;1;3;31;90;32;30;28;0.35555555555555557;0.3333333333333333;0.3111111111111111;0.5333333333333333;9.654;:~ value(farinacei,V1).[-V1@1, V1] 
36;2;2;3;31;90;43;27;20;0.4777777777777778;0.3;0.2222222222222222;0.6825396825396826;7.422;:~ value(pesce,V1).[1@2, V1] :~ value(farinacei,V1).[-1@1, V1] 
36;3;3;3;31;90;29;57;4;0.32222222222222224;0.6333333333333333;0.044444444444444446;0.8787878787878788;26.687;:~ value(pesce,V1).[-V1@2, V1] :~ value(pesce,V1).[1@3, V1] :~ category(3).[1@1] 
36;4;4;3;31;90;43;27;20;0.4777777777777778;0.3;0.2222222222222222;0.6825396825396826;33.691;:~ value(pesce,V1).[1@4, V1] :~ value(farinacei,V1).[-1@3, V1] 
36;5;5;3;31;90;38;24;28;0.4222222222222222;0.26666666666666666;0.3111111111111111;0.5757575757575758;42.447;:~ value(pesce,V1).[1@4, V1] :~ value(pesce,V1).[-V1@3, V1] :~ value(farinacei,V1).[-V1@5, V1] 
3;1;1;3;104;103;43;12;48;0.4174757281553398;0.11650485436893204;0.46601941747572817;0.4725274725274725;45.21;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
3;2;2;3;104;103;47;9;47;0.4563106796116505;0.08737864077669903;0.4563106796116505;0.5;39.56;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ category(3).[-1@2] 
3;3;3;3;104;103;68;4;31;0.6601941747572816;0.038834951456310676;0.30097087378640774;0.6868686868686869;175.861;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ category(1).[1@2] :~ value(carne,V1).[V1@3, V1] 
3;4;4;3;104;103;69;2;32;0.6699029126213593;0.019417475728155338;0.3106796116504854;0.6831683168316832;395.142;:~ value(farinacei,V1).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(carne,V1).[1@4, V1] :~ category(1).[1@3] 
3;5;5;3;104;103;72;0;31;0.6990291262135923;0.0;0.30097087378640774;0.6990291262135923;1739.85;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[V1@3, V1] :~ value(forno,V1).[-V1@2, V1] :~ category(1).[1@4] :~ value(carne,V1).[1@5, V1] 
4;1;1;3;102;103;49;11;43;0.47572815533980584;0.10679611650485436;0.4174757281553398;0.532608695652174;49.229;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] 
4;2;2;3;102;103;55;11;37;0.5339805825242718;0.10679611650485436;0.3592233009708738;0.5978260869565217;39.348;:~ value(erbe_spezie_e_condimenti,V1), category(4).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@1, V1] 
4;3;3;3;102;103;57;6;40;0.5533980582524272;0.05825242718446602;0.3883495145631068;0.5876288659793815;183.331;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ category(4).[-1@2] :~ value(uova,V1).[V1@3, V1] 
4;4;4;3;102;103;61;2;40;0.5922330097087378;0.019417475728155338;0.3883495145631068;0.6039603960396039;772.195;:~ value(pesce,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ value(uova,V1).[V1@3, V1] :~ category(4), value(carne,V1).[-V1@4, V1] 
4;5;5;3;102;103;61;2;40;0.5922330097087378;0.019417475728155338;0.3883495145631068;0.6039603960396039;2263.9;:~ value(forno,V1).[1@4, V1] :~ value(farinacei,V1).[-V1@1, V1] :~ value(carne,V1).[-1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ category(4), value(forno,V1).[-1@5, V1] 
7;1;1;3;94;91;31;7;53;0.34065934065934067;0.07692307692307693;0.5824175824175825;0.36904761904761907;48.516;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
7;2;2;3;94;91;39;2;50;0.42857142857142855;0.02197802197802198;0.5494505494505495;0.43820224719101125;49.74;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1), category(4).[-V1@2, V1] 
7;3;3;3;94;91;39;28;24;0.42857142857142855;0.3076923076923077;0.26373626373626374;0.6190476190476191;386.585;:~ category(4).[-1@1] :~ value(forno,V1).[1@2, V1] :~ value(pasta,V1).[-1@3, V1] 
7;4;4;3;94;91;53;7;31;0.5824175824175825;0.07692307692307693;0.34065934065934067;0.6309523809523809;1097.84;:~ value(frittura,V1).[V1@1, V1] :~ category(3).[1@2] :~ value(verdure_e_ortaggi,V1).[V1@3, V1] :~ category(4), value(forno,V1).[1@4, V1] 
7;5;5;3;94;91;46;3;42;0.5054945054945055;0.03296703296703297;0.46153846153846156;0.5227272727272727;3237.32;:~ value(pasta,V1).[-1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[-1@3, V1] :~ value(forno,V1).[1@2, V1] :~ value(funghi_e_tartufi,V1).[-1@5, V1] 
11;1;1;3;99;102;55;12;35;0.5392156862745098;0.11764705882352941;0.3431372549019608;0.6111111111111112;49.014;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] 
11;2;2;3;99;102;57;2;43;0.5588235294117647;0.0196078431372549;0.4215686274509804;0.57;36.041;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1), category(4).[-V1@2, V1] 
11;3;3;3;99;102;57;2;43;0.5588235294117647;0.0196078431372549;0.4215686274509804;0.57;242.885;:~ value(uova,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ category(4), value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] 
11;4;4;3;99;102;64;2;36;0.6274509803921569;0.0196078431372549;0.35294117647058826;0.64;1151.52;:~ value(forno,V1).[-V1@2, V1] :~ value(pesce,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@3, V1] :~ category(4), value(carne,V1).[-V1@4, V1] 
11;5;5;3;99;102;69;3;30;0.6764705882352942;0.029411764705882353;0.29411764705882354;0.696969696969697;3277.98;:~ category(3).[1@2] :~ value(uova,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@3, V1] :~ category(4), value(carne,V1).[-V1@4, V1] :~ category(4), value(forno,V1).[-1@5, V1] 
