USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;5;5;3;45;45;0.9407407442728678;0.6223674615224203;0.6012145678202311;41.758;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(forno,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@5, V1] 
1;5;5;3;45;45;0.8666666348775228;0.5210918188095093;0.5307692289352417;57.721;:~ value(pasta,V1).[-V1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] 
2;5;5;3;45;45;0.8814814885457357;0.7214506467183431;0.7140740553538004;75.504;:~ value(pasta,V1).[-V1@2, V1] :~ value(farinacei,V1).[-V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@5, V1] :~ value(verdure_e_ortaggi,V1), category(3).[V1@4, V1] 
3;5;5;3;45;45;0.8962963422139486;0.7420289516448975;0.8939393361409506;58.954;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(carne,V1).[V1@4, V1] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ category(2).[1@5] 
4;5;5;3;45;45;0.8222222328186035;0.6175213654836019;0.6555555661519369;93.489;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ category(1).[-1@5] 
5;5;5;3;45;45;0.8814814885457357;0.5584604342778524;0.554131031036377;83.071;:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ value(forno,V1).[-V1@4, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@5, V1] 
6;5;5;3;45;45;0.8222222328186035;0.6190476417541504;0.6115779876708984;92.733;:~ value(pasta,V1).[V1@1, V1] :~ value(carne,V1).[V1@3, V1] :~ category(1).[1@5] :~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@4, V1] 
7;5;5;3;45;45;0.8814814885457357;0.5624568462371826;0.6086956659952799;62.48;:~ value(pasta,V1).[V1@2, V1] :~ value(carne,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ value(forno,V1).[V1@4, V1] :~ category(2).[-1@5] 
8;5;5;3;45;45;0.7925926049550375;0.6346469720204672;0.5548821687698364;107.89;:~ value(pasta,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@4, V1] :~ value(forno,V1).[-V1@5, V1] 
9;5;5;3;45;45;0.8222222328186035;0.4642856915791829;0.5112414360046387;102.214;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@4, V1] :~ category(1).[-1@5] :~ value(forno,V1).[V1@3, V1] 
10;5;5;3;45;45;0.8666667143503824;0.5473684469858805;0.5696969827016195;70.2;:~ value(verdure_e_ortaggi,V1).[V1@4, V1] :~ value(forno,V1).[V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@5, V1] 
11;5;5;3;45;45;0.9111111164093018;0.5803571542104086;0.5918209950129191;53.168;:~ value(pasta,V1).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ category(3).[-1@4] :~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@5, V1] 
12;5;5;3;45;45;0.7925926049550375;0.6638655662536621;0.6660561561584473;75.546;:~ value(forno,V1).[-V1@4, V1] :~ category(4).[-1@5] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1] 
13;5;5;3;45;45;0.8518518606821696;0.5285714467366537;0.5254629453023275;112.131;:~ value(pasta,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ category(4).[1@2] :~ category(1).[-1@4] :~ value(carne,V1), category(3).[-V1@5, V1] 
14;5;5;3;45;45;0.9407407442728678;0.6079365015029907;0.6354166666666666;36.182;:~ value(pasta,V1).[V1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] 
15;5;5;3;45;45;0.9259258906046549;0.7903226216634115;0.7214285532633463;50.99;:~ value(carne,V1).[V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(forno,V1).[-V1@3, V1] :~ category(4).[-1@5] :~ category(2).[-1@4] 
