USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;1;1;3;45;105;0.5301587581634521;0.7289377848307291;0.43685301144917804;13.762;:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@1, V1] 
0;2;2;3;45;105;0.6888888676961263;0.5228219032287598;0.4869281053543091;23.586;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@2, V1] 
0;3;3;3;45;105;0.7015873591105143;0.44371525446573895;0.4505947430928548;33.389;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@3, V1] 
0;4;4;3;45;105;0.7015873591105143;0.44371525446573895;0.4505947430928548;39.359;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@3, V1] :~ value(forno,V1), category(3).[-V1@4, V1] 
0;5;5;3;45;105;0.682539701461792;0.46830002466837567;0.4281654755274455;41.758;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(forno,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@5, V1] 
1;1;1;3;45;105;0.5174603462219238;0.6574606895446777;0.480021874109904;16.576;:~ value(pasta,V1).[-V1@1, V1] 
1;2;2;3;45;105;0.682539701461792;0.4916706085205078;0.4317460060119629;23.226;:~ value(pasta,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
1;3;3;3;45;105;0.7777778307596842;0.4708843231201172;0.47016966342926025;33.411;:~ value(pasta,V1).[-V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] 
1;4;4;3;45;105;0.8222222328186035;0.501754363377889;0.5147782961527506;48.328;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(forno,V1).[-V1@3, V1] :~ category(3).[-1@4] 
1;5;5;3;45;105;0.7777778307596842;0.4708843231201172;0.47016966342926025;57.721;:~ value(pasta,V1).[-V1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] 
2;1;1;3;45;105;0.4349206288655599;0.4324564536412557;0.3958686987559001;16.523;:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@1, V1] 
2;2;2;3;45;105;0.7015872796376547;0.5012919902801514;0.3865308364232381;28.815;:~ value(carne,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@2, V1] 
2;3;3;3;45;105;0.5999999841054281;0.33520078659057617;0.3925297260284424;43.091;:~ value(forno,V1).[V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@3, V1] 
2;4;4;3;45;105;0.5873016516367594;0.33311184247334796;0.2591963807741801;58.589;:~ value(pasta,V1).[-V1@1, V1] :~ value(farinacei,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@4, V1] :~ value(verdure_e_ortaggi,V1), category(3).[V1@3, V1] 
2;5;5;3;45;105;0.5873016516367594;0.33311184247334796;0.2591963807741801;75.504;:~ value(pasta,V1).[-V1@2, V1] :~ value(farinacei,V1).[-V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@5, V1] :~ value(verdure_e_ortaggi,V1), category(3).[V1@4, V1] 
3;1;1;3;45;105;0.6571428775787354;0.5013077259063721;0.4954233169555664;14.031;:~ value(carne,V1).[V1@1, V1] 
3;2;2;3;45;105;0.8095238208770752;0.5503968397776285;0.6469616095225016;22.816;:~ value(carne,V1).[V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
3;3;3;3;45;105;0.682539701461792;0.3681217034657796;0.3593948682149251;31.719;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ category(4).[1@3] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
3;4;4;3;45;105;0.7015872796376547;0.37689892450968426;0.38113399346669513;42.162;:~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ value(carne,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ category(4).[1@4] 
3;5;5;3;45;105;0.8158730665842692;0.49055178960164386;0.4919908444086711;58.954;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(carne,V1).[V1@4, V1] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ category(2).[1@5] 
4;1;1;3;45;105;0.5936508178710938;0.3865833282470703;0.5835222800572714;17.736;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] 
4;2;2;3;45;105;0.644444465637207;0.3392856915791829;0.31506677468617755;28.428;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
4;3;3;3;45;105;0.6761905352274576;0.36827842394510907;0.34782059987386066;42.983;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ category(1).[-1@3] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
4;4;4;3;45;105;0.6761905352274576;0.36827842394510907;0.34782059987386066;60.249;:~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ category(1).[-1@4] 
4;5;5;3;45;105;0.6761905352274576;0.36827842394510907;0.34782059987386066;93.489;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ category(1).[-1@5] 
5;1;1;3;45;105;0.5174603462219238;0.42768343289693195;0.38119661808013916;18.202;:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@1, V1] 
