USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
0;1;4;3;45;105;0.6253968477249146;0.29679850737253827;0.34782608350118;22.982;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[1@4, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(carne,V1).[-V1@2, V1];4.0;0.0;0.01;0.16661;0.41169;0.41169;0
1;1;4;3;45;105;0.5492063363393148;0.20637945334116617;0.21510672569274902;28.055;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];4.0;0.0;0.01;0.02045;0.03273;0.93682;0
2;1;4;3;45;105;0.714285691579183;0.36866358915964764;0.3837012052536011;29.367;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1];3.0;0.0;0.0;0.01571;0.13501;0.84928;0
3;1;4;3;45;105;0.6317460139592489;0.3094017108281453;0.3126112222671509;25.421;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[V1@3, V1]:~ value(pesce,V1).[V1@2, V1]:~ category(1).[-1@4];4.0;0.0;0.01;0.03682;0.11455;0.83864;0
4;1;4;3;45;105;0.7904761632283529;0.4615955352783203;0.46586044629414874;28.093;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1).[1@3, V1]:~ value(pesce,V1).[1@2, V1]:~ category(1).[-1@4];4.0;0.0;0.0275;0.0275;0.445;0.5;0
5;1;4;3;45;105;0.6888888676961263;0.35160818696022034;0.4623931646347046;34.817;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];4.0;0.0;0.01;0.01636;0.48682;0.48682;0
6;1;4;3;45;105;0.644444465637207;0.29060471057891846;0.303794264793396;29.044;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1]:~ category(1).[1@3];3.0;0.0;0.0;0.01571;0.02;0.96429;0
7;1;4;3;45;105;0.5999999841054281;0.42664142449696857;0.3160421848297119;28.724;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(1).[1@4];3.0;0.0;0.0;0.01571;0.49214;0.49214;0
8;1;4;3;45;105;0.7015873591105143;0.378205140431722;0.3867808977762858;36.435;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(pesce,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];3.0;0.0;0.01;0.0;0.04889;0.94111;0
9;1;4;3;45;105;0.6380952199300131;0.30716049671173096;0.31318187713623047;38.576;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(pesce,V1).[-1@4, V1];4.0;0.0;0.01;0.01636;0.47045;0.50318;0
10;1;4;3;45;105;0.7904761632283529;0.45753272374471027;0.45622897148132324;28.584;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(carne,V1).[V1@3, V1]:~ category(3).[-1@4];3.0;0.0;0.0;0.01571;0.02;0.96429;0
11;1;4;3;45;105;0.6634920835494995;0.3314669728279114;0.3378465572992961;34.576;:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[1@3, V1];4.0;0.0;0.02625;0.0275;0.45562;0.49062;0
12;1;4;3;45;105;0.714285691579183;0.4972671667734782;0.46362435817718506;27.653;:~ value(pesce,V1).[-V1@4, V1]:~ value(forno,V1).[-1@1, V1]:~ category(4).[-1@2];3.0;0.0;0.01;0.29077;0.0;0.69923;0
13;1;4;3;45;105;0.7142857710520426;0.3965608278910319;0.39368685086568195;40.434;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ category(4).[1@4]:~ value(verdure_e_ortaggi,V1).[1@3, V1]:~ category(3).[1@1];4.0;0.0;0.01;0.03667;0.455;0.49833;0
14;1;4;3;45;105;0.7269841829935709;0.3759259283542633;0.388275146484375;16.671;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(pesce,V1).[1@4, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[-V1@3, V1];4.0;0.0;0.01;0.05727;0.06545;0.86727;0
15;1;4;3;45;105;0.644444465637207;0.3625901937484741;0.36954490343729657;16.568;:~ value(farinacei,V1).[-1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(uova,V1).[-V1@3, V1]:~ category(1).[1@1];4.0;0.0;0.01;0.045;0.05333;0.89167;0
16;1;4;3;45;105;0.6634920438130697;0.33183295528093976;0.3554987112681071;32.686;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ category(1).[1@4];4.0;0.0;0.01;0.03273;0.47864;0.47864;0
17;1;4;3;45;105;0.5301587581634521;0.27333007256189984;0.2444444497426351;31.56;:~ value(forno,V1).[-V1@2, V1]:~ category(3).[1@3]:~ category(1).[1@4]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@1, V1];4.0;0.0;0.01;0.02045;0.03273;0.93682;0
18;1;4;3;45;105;0.7841269969940186;0.4838889042536418;0.4555555582046509;25.625;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(pesce,V1).[-V1@2, V1]:~ category(1).[-1@4]:~ value(verdure_e_ortaggi,V1).[-V1@3, V1];4.0;0.0;0.01;0.045;0.4725;0.4725;0
