USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;1;4;3;45;45;0.8222222328186035;0.5;0.49392714103062946;22.982;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[1@4, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(carne,V1).[-V1@2, V1];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
1;1;4;3;45;45;0.8666666348775228;0.5359801451365153;0.5452991326649984;28.055;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
2;1;4;3;45;45;0.8518518606821696;0.7081481615702311;0.7081481615702311;29.367;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1];0.0;3.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
3;1;4;3;45;45;0.8222222328186035;0.5090777079264323;0.5;25.421;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[V1@3, V1]:~ value(pesce,V1).[V1@2, V1]:~ category(1).[-1@4];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
4;1;4;3;45;45;0.8666666348775228;0.5648148059844971;0.5525925954182943;28.093;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1).[1@3, V1]:~ value(pesce,V1).[1@2, V1]:~ category(1).[-1@4];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
5;1;4;3;45;45;0.8518518606821696;0.5361111164093018;0.5455840428670248;34.817;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
6;1;4;3;45;45;0.8222222328186035;0.6074999968210856;0.6041083335876465;29.044;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1]:~ category(1).[1@3];0.0;3.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
7;1;4;3;45;45;0.8370370864868164;0.5148378213246664;0.5571658611297607;28.724;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(1).[1@4];0.0;3.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
8;1;4;3;45;45;0.8666666348775228;0.7198067506154379;0.6989898681640625;36.435;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(pesce,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.0;3.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
9;1;4;3;45;45;0.8518518606821696;0.504720409711202;0.5718475182851156;38.576;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(pesce,V1).[-1@4, V1];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
