USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;1;4;3;45;105;0.6126984357833862;0.2827380895614624;0.3333333333333333;22.982;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[1@4, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(carne,V1).[-V1@2, V1];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
1;1;4;3;45;105;0.5428571701049805;0.2015151580174764;0.20935960610707602;28.055;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
2;1;4;3;45;105;0.714285691579183;0.3685636917750041;0.3837012052536011;29.367;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1];0.0;3.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
3;1;4;3;45;105;0.5809523661931356;0.25470085938771564;0.26023391882578534;25.421;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[V1@3, V1]:~ value(pesce,V1).[V1@2, V1]:~ category(1).[-1@4];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
4;1;4;3;45;105;0.7904761632283529;0.4615955352783203;0.46586044629414874;28.093;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1).[1@3, V1]:~ value(pesce,V1).[1@2, V1]:~ category(1).[-1@4];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
5;1;4;3;45;105;0.7079365253448486;0.3721212049325307;0.4910256465276082;34.817;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
6;1;4;3;45;105;0.6507936716079712;0.2930320103963216;0.30812327067057294;29.044;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1]:~ category(1).[1@3];0.0;3.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
7;1;4;3;45;105;0.5999999841054281;0.4380698998769124;0.33345770835876465;28.724;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(1).[1@4];0.0;3.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
8;1;4;3;45;105;0.7269841829935709;0.4027777910232544;0.4120767116546631;36.435;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(pesce,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.0;3.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
9;1;4;3;45;105;0.6380952199300131;0.30716049671173096;0.31318187713623047;38.576;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(pesce,V1).[-1@4, V1];0.0;4.0;0.017152778;0.092569444;0.277962963;0.612314815;0.0
