USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;1;4;3;45;105;0.5936508178710938;0.33631714185078937;0.3386820952097575;22.982;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[1@4, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(carne,V1).[-V1@2, V1];0.1579;4.0;0.1292;0.1908;0.253;0.427;0.0
1;1;4;3;45;105;0.5873015721638998;0.31926655769348145;0.30326799551645917;28.055;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.1579;4.0;0.1292;0.1908;0.253;0.427;0.0
2;1;4;3;45;105;0.6634921232859293;0.3237125078837077;0.3407093683878581;29.367;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1];0.1579;3.0;0.1292;0.1908;0.253;0.427;0.0
3;1;4;3;45;105;0.561904788017273;0.40630563100179035;0.28463788827260333;25.421;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[V1@3, V1]:~ value(pesce,V1).[V1@2, V1]:~ category(1).[-1@4];0.1579;4.0;0.1292;0.1908;0.253;0.427;0.0
4;1;4;3;45;105;0.6888888676961263;0.5206601222356161;0.472606897354126;28.093;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1).[1@3, V1]:~ value(pesce,V1).[1@2, V1]:~ category(1).[-1@4];0.1579;4.0;0.1292;0.1908;0.253;0.427;0.0
5;1;4;3;45;105;0.682539701461792;0.4869937101999919;0.47416067123413086;34.817;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.1579;4.0;0.1292;0.1908;0.253;0.427;0.0
6;1;4;3;45;105;0.682539701461792;0.34504711627960205;0.32212414344151813;29.044;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1]:~ category(1).[1@3];0.1579;3.0;0.1292;0.1908;0.253;0.427;0.0
7;1;4;3;45;105;0.5365079243977865;0.29404886563618976;0.2839490969975789;28.724;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(1).[1@4];0.1579;3.0;0.1292;0.1908;0.253;0.427;0.0
8;1;4;3;45;105;0.7333333492279053;0.4198286533355713;0.4400000174840291;36.435;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(pesce,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.1579;3.0;0.1292;0.1908;0.253;0.427;0.0
9;1;4;3;45;105;0.5365079243977865;0.3142942587534587;0.2996843457221985;38.576;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(pesce,V1).[-1@4, V1];0.1579;4.0;0.1292;0.1908;0.253;0.427;0.0
10;1;4;3;45;105;0.7841269969940186;0.4469696680704753;0.4537394841512044;28.584;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(carne,V1).[V1@3, V1]:~ category(3).[-1@4];0.1579;3.0;0.1292;0.1908;0.253;0.427;0.0
11;1;4;3;45;105;0.5746031602223715;0.3508274157842;0.3553390900293986;34.576;:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[1@3, V1];0.1579;4.0;0.1292;0.1908;0.253;0.427;0.0
12;1;4;3;45;105;0.48571427663167316;0.23478835821151733;0.3194444378217061;27.653;:~ value(pesce,V1).[-V1@4, V1]:~ value(forno,V1).[-1@1, V1]:~ category(4).[-1@2];0.1579;3.0;0.1292;0.1908;0.253;0.427;0.0
13;1;4;3;45;105;0.644444465637207;0.47525250911712646;0.48618340492248535;40.434;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ category(4).[1@4]:~ value(verdure_e_ortaggi,V1).[1@3, V1]:~ category(3).[1@1];0.1579;4.0;0.1292;0.1908;0.253;0.427;0.0
