USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;1;4;3;45;105;0.6380952994028727;0.36576950550079346;0.31238826115926105;22.982;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[1@4, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(carne,V1).[-V1@2, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
1;1;4;3;45;105;0.720634937286377;0.40968799591064453;0.3898765246073405;28.055;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
2;1;4;3;45;105;0.7079365253448486;0.37832486629486084;0.3635785977045695;29.367;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
3;1;4;3;45;105;0.6063491900761923;0.2892194191614787;0.28281573454538983;25.421;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[V1@3, V1]:~ value(pesce,V1).[V1@2, V1]:~ category(1).[-1@4];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
4;1;4;3;45;105;0.8222222328186035;0.4979844093322754;0.49936676025390625;28.093;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1).[1@3, V1]:~ value(pesce,V1).[1@2, V1]:~ category(1).[-1@4];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
5;1;4;3;45;105;0.6888888676961263;0.45769230524698895;0.34991403420766193;34.817;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
6;1;4;3;45;105;0.644444465637207;0.303794264793396;0.29060471057891846;29.044;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1]:~ category(1).[1@3];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
7;1;4;3;45;105;0.5999999841054281;0.3160421848297119;0.42664142449696857;28.724;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ category(1).[1@4];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
8;1;4;3;45;105;0.720634937286377;0.40813271204630536;0.3979487419128418;36.435;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(pesce,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
9;1;4;3;45;105;0.6000000238418579;0.27390579382578534;0.27668758233388263;38.576;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(pesce,V1).[-1@4, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
10;1;4;3;45;105;0.7777778307596842;0.446127971013387;0.44562840461730957;28.584;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(carne,V1).[V1@3, V1]:~ category(3).[-1@4];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
11;1;4;3;45;105;0.6634920835494995;0.33475176493326825;0.3290747404098511;34.576;:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[1@3, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
12;1;4;3;45;105;0.6698412895202637;0.41904763380686444;0.4776330391565959;27.653;:~ value(pesce,V1).[-V1@4, V1]:~ value(forno,V1).[-1@1, V1]:~ category(4).[-1@2];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
13;1;4;3;45;105;0.7523809274037679;0.42916667461395264;0.42916667461395264;40.434;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ category(4).[1@4]:~ value(verdure_e_ortaggi,V1).[1@3, V1]:~ category(3).[1@1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
14;1;4;3;45;105;0.8285714785257975;0.47989392280578613;0.46666667858759564;16.671;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(pesce,V1).[1@4, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[-V1@3, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
15;1;4;3;45;105;0.6063491900761923;0.3279132843017578;0.320598840713501;16.568;:~ value(farinacei,V1).[-1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(uova,V1).[-V1@3, V1]:~ category(1).[1@1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
16;1;4;3;45;105;0.6698412895202637;0.36345553398132324;0.34444443384806317;32.686;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ category(1).[1@4];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
17;1;4;3;45;105;0.4666666587193807;0.16296296318372092;0.17160495122273764;31.56;:~ value(forno,V1).[-V1@2, V1]:~ category(3).[1@3]:~ category(1).[1@4]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@1, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
18;1;4;3;45;105;0.7460317611694336;0.41296297311782837;0.4400780200958252;25.625;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(pesce,V1).[-V1@2, V1]:~ category(1).[-1@4]:~ value(verdure_e_ortaggi,V1).[-V1@3, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
19;1;4;3;45;105;0.7269841829935709;0.38773147265116376;0.38827840487162274;23.038;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[-1@4, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
20;1;4;3;45;105;0.5873015721638998;0.28070175647735596;0.25641026099522907;24.687;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-1@2, V1]:~ value(pesce,V1).[V1@3, V1]:~ category(1).[1@4];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
21;1;4;3;45;105;0.6571428775787354;0.367221474647522;0.4740890661875407;33.947;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ category(1).[-1@4];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
22;1;4;3;45;105;0.7460317611694336;0.43791401386260986;0.4250398476918538;28.61;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(pesce,V1).[1@4, V1]:~ value(forno,V1).[1@3, V1]:~ category(3).[1@2];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
23;1;4;3;45;105;0.6952381134033203;0.4450143575668335;0.5384615262349447;23.019;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(forno,V1).[1@1, V1]:~ value(verdure_e_ortaggi,V1).[-V1@4, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
24;1;4;3;45;105;0.7396825154622396;0.509905735651652;0.5224867661794027;35.051;:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(carne,V1).[-1@3, V1]:~ category(3).[-1@2];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
25;1;4;3;45;105;0.5682539542516073;0.22142857313156128;0.23343410094579062;29.921;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(farinacei,V1).[V1@1, V1]:~ value(pesce,V1).[1@3, V1]:~ value(carne,V1).[V1@4, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
26;1;4;3;45;105;0.517460306485494;0.18153846263885498;0.185897429784139;39.48;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(farinacei,V1).[1@4, V1]:~ value(forno,V1).[-V1@1, V1];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
27;1;4;3;45;105;0.6952381134033203;0.3845349947611491;0.3576388756434123;24.483;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(3).[1@3]:~ category(1).[1@4];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
28;1;4;3;45;105;0.644444465637207;0.32382949193318683;0.3125;33.896;:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1]:~ value(forno,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ category(3).[1@1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
29;1;4;3;45;105;0.6571428775787354;0.4287548065185547;0.3343589703241984;19.761;:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1]:~ value(uova,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[-V1@4, V1];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
30;1;4;3;45;105;0.6190476417541504;0.28666667143503827;0.2863636414210002;36.785;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[V1@1, V1]:~ value(forno,V1).[-V1@3, V1]:~ category(1).[1@4];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
31;1;4;3;45;105;0.5428571701049805;0.2118863066037496;0.27215588092803955;29.824;:~ value(pesce,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@1, V1]:~ value(carne,V1).[1@4, V1]:~ category(3).[1@3];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
32;1;4;3;45;105;0.6698412895202637;0.37358001867930096;0.3829524517059326;27.285;:~ value(farinacei,V1).[-1@4, V1]:~ value(pesce,V1).[V1@2, V1]:~ category(1).[-1@1];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
33;1;4;3;45;105;0.5873015721638998;0.2559523781140645;0.3093044360478719;34.155;:~ value(pesce,V1).[-V1@3, V1]:~ category(1).[-1@4]:~ category(3).[1@2]:~ value(uova,V1).[-V1@1, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
34;1;4;3;45;105;0.5682539939880371;0.23948087294896445;0.4158496856689453;28.263;:~ value(erbe_spezie_e_condimenti,V1).[-1@2, V1]:~ value(pesce,V1).[1@3, V1]:~ category(3).[-1@1]:~ category(1).[1@4];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
35;1;4;3;45;105;0.5746031602223715;0.32524510224660236;0.34206350644429523;22.383;:~ value(erbe_spezie_e_condimenti,V1).[1@2, V1]:~ category(4).[-1@4]:~ category(3).[1@3]:~ value(verdure_e_ortaggi,V1).[1@1, V1];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
36;1;4;3;45;105;0.5809524059295654;0.3128205140431722;0.3389861583709717;18.228;:~ value(farinacei,V1).[-V1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(pesce,V1).[1@3, V1];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
37;1;4;3;45;105;0.6571428775787354;0.3501091003417969;0.3573070764541626;34.087;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ category(3).[1@3]:~ value(verdure_e_ortaggi,V1).[-1@4, V1];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
38;1;4;3;45;105;0.6317460536956787;0.2983102798461914;0.2991987268129985;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0.001674;3.0;0.146598;0.17019;0.278311;0.404901;0.0
39;1;4;3;45;105;0.720634937286377;0.5588075717290243;0.5921409130096436;33.647;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ category(3).[1@4];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
40;1;4;3;45;105;0.5809524059295654;0.32553191979726154;0.3159833749135335;37.269;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ category(1).[1@4];0.001674;4.0;0.146598;0.17019;0.278311;0.404901;0.0
