USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;1;4;3;45;45;0.8814814885457357;0.5666666825612386;0.5593792200088501;22.982;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1).[1@4, V1] :~ value(pesce,V1).[V1@3, V1] :~ value(carne,V1).[-V1@2, V1] 
1;1;4;3;45;45;0.8814814885457357;0.5590277512868246;0.5564102331797282;28.055;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[1@3, V1] :~ value(forno,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] 
2;1;4;3;45;45;0.8518518606821696;0.6985507011413574;0.7029629548390707;29.367;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(farinacei,V1).[V1@4, V1] :~ value(verdure_e_ortaggi,V1).[-1@3, V1] 
3;1;4;3;45;45;0.8370370864868164;0.5297619104385376;0.5151515007019043;25.421;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[V1@3, V1] :~ value(pesce,V1).[V1@2, V1] :~ category(1).[-1@4] 
4;1;4;3;45;45;0.8518518606821696;0.548235297203064;0.534074068069458;28.093;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1).[1@3, V1] :~ value(pesce,V1).[1@2, V1] :~ category(1).[-1@4] 
5;1;4;3;45;45;0.8518518606821696;0.5361111164093018;0.5455840428670248;34.817;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1).[-V1@3, V1] :~ category(4).[1@2] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] 
6;1;4;3;45;45;0.8370370864868164;0.6217320760091146;0.6237161954243978;29.044;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] :~ category(1).[1@3] 
7;1;4;3;45;45;0.8370370864868164;0.516218105951945;0.5611916383107504;28.724;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(farinacei,V1).[-V1@3, V1] :~ category(1).[1@4] 
8;1;4;3;45;45;0.8666666348775228;0.7198067506154379;0.6989898681640625;36.435;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ value(pesce,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] 
9;1;4;3;45;45;0.8518518606821696;0.505698005358378;0.5718475182851156;38.576;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(forno,V1).[-1@2, V1] :~ value(farinacei,V1).[-1@3, V1] :~ value(pesce,V1).[-1@4, V1] 
10;1;4;3;45;45;0.8518518606821696;0.548293391863505;0.5590909322102865;28.584;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(carne,V1).[V1@3, V1] :~ category(3).[-1@4] 
11;1;4;3;45;45;0.8222222328186035;0.5281481345494589;0.5432098706563314;34.576;:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ value(farinacei,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[1@3, V1] 
12;1;4;3;45;45;0.8518518606821696;0.7722488244374593;0.7686202526092529;27.653;:~ value(pesce,V1).[-V1@4, V1] :~ value(forno,V1).[-1@1, V1] :~ category(4).[-1@2] 
13;1;4;3;45;45;0.8222222328186035;0.49052627881368;0.5092592636744181;40.434;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ category(4).[1@4] :~ value(verdure_e_ortaggi,V1).[1@3, V1] :~ category(3).[1@1] 
14;1;4;3;45;45;0.9259259700775146;0.5952380895614624;0.6076389153798422;16.671;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(pesce,V1).[1@4, V1] :~ value(farinacei,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[-V1@3, V1] 
15;1;4;3;45;45;0.9111111164093018;0.8055555820465088;0.8738094965616862;16.568;:~ value(farinacei,V1).[-1@4, V1] :~ value(pesce,V1).[-V1@2, V1] :~ value(uova,V1).[-V1@3, V1] :~ category(1).[1@1] 
16;1;4;3;45;45;0.8518518606821696;0.5284900267918905;0.5636070966720581;32.686;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ category(1).[1@4] 
17;1;4;3;45;45;0.8666666348775228;0.7043478488922119;0.6814815203348795;31.56;:~ value(forno,V1).[-V1@2, V1] :~ category(3).[1@3] :~ category(1).[1@4] :~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@1, V1] 
18;1;4;3;45;45;0.8814814885457357;0.7829106648763021;0.771336555480957;25.625;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1] :~ value(pesce,V1).[-V1@2, V1] :~ category(1).[-1@4] :~ value(verdure_e_ortaggi,V1).[-V1@3, V1] 
19;1;4;3;45;45;0.8962963422139486;0.563543955485026;0.5873015721638998;23.038;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[-1@4, V1] :~ value(carne,V1).[-1@2, V1] :~ value(verdure_e_ortaggi,V1).[-1@3, V1] 
20;1;4;3;45;45;0.8962962627410889;0.6984127362569174;0.7481481234232584;24.687;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(forno,V1).[-1@2, V1] :~ value(pesce,V1).[V1@3, V1] :~ category(1).[1@4] 
21;1;4;3;45;45;0.8370370864868164;0.5134575366973877;0.5385202169418335;33.947;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ value(farinacei,V1).[-V1@2, V1] :~ category(1).[-1@4] 
