USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
38;1;4;3;45;45;0.5259259144465128;0.39080460866292316;0.3767003615697225;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0;3.0;0.0;0.0;1.0;0.0;0.0
38;1;4;3;45;45;0.629629651705424;0.4432234764099121;0.49050505956013996;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0;3.0;0.0;0.1;0.9;0.0;0.0
38;1;4;3;45;45;0.629629651705424;0.4432234764099121;0.49050505956013996;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0;3.0;0.0;0.2;0.8;0.0;0.0
38;1;4;3;45;45;0.629629651705424;0.4432234764099121;0.49050505956013996;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0;3.0;0.0;0.3;0.7;0.0;0.0
38;1;4;3;45;45;0.629629651705424;0.4432234764099121;0.49050505956013996;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0;3.0;0.0;0.4;0.6;0.0;0.0
38;1;4;3;45;45;0.629629651705424;0.4432234764099121;0.49050505956013996;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0;3.0;0.1;0.1;0.8;0.0;0.0
38;1;4;3;45;45;0.629629651705424;0.4432234764099121;0.49050505956013996;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0;3.0;0.1;0.2;0.7;0.0;0.0
38;1;4;3;45;45;0.629629651705424;0.4432234764099121;0.49050505956013996;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0;3.0;0.1;0.3;0.6;0.0;0.0
38;1;4;3;45;45;0.629629651705424;0.4432234764099121;0.49050505956013996;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];0;3.0;0.2;0.2;0.6;0.0;0.0
39;1;4;3;45;45;0.7037037213643392;0.5601851940155029;0.6658395528793335;33.647;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ category(3).[1@4];0;4.0;0.0;0.0;0.1;0.9;0.0
39;1;4;3;45;45;0.7037037213643392;0.5601851940155029;0.6658395528793335;33.647;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ category(3).[1@4];0;4.0;0.0;0.0;0.2;0.8;0.0
39;1;4;3;45;45;0.7037037213643392;0.5601851940155029;0.6658395528793335;33.647;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ category(3).[1@4];0;4.0;0.0;0.0;0.3;0.7;0.0
39;1;4;3;45;45;0.7037037213643392;0.5601851940155029;0.6658395528793335;33.647;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ category(3).[1@4];0;4.0;0.0;0.0;0.4;0.6;0.0
39;1;4;3;45;45;0.7925926049550375;0.5757575829823812;0.7601323127746582;33.647;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ category(3).[1@4];0;4.0;0.0;0.1;0.2;0.7;0.0
39;1;4;3;45;45;0.7925926049550375;0.5757575829823812;0.7601323127746582;33.647;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ category(3).[1@4];0;4.0;0.0;0.1;0.3;0.6;0.0
40;1;4;3;45;45;0.644444465637207;0.586850643157959;0.523809552192688;37.269;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ category(1).[1@4];0;4.0;0.0;0.0;0.1;0.9;0.0
40;1;4;3;45;45;0.644444465637207;0.586850643157959;0.523809552192688;37.269;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ category(1).[1@4];0;4.0;0.0;0.0;0.2;0.8;0.0
