USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;CORRECT;UNCERTAIN;INCORRECT;CORRECTP;UNCERTAINP;INCORRECTP;CORRECT_UDISCARDEDP;TRAIN_TIME;THEORY
3;1;1;3;143;51;26;8;17;0.5098039215686274;0.1568627450980392;0.3333333333333333;0.6046511627906976;30.695;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] 
3;2;2;3;143;51;32;5;14;0.6274509803921569;0.09803921568627451;0.27450980392156865;0.6956521739130435;135.502;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ category(3).[-1@2] 
3;3;3;3;143;51;32;6;13;0.6274509803921569;0.11764705882352941;0.2549019607843137;0.7111111111111111;1633.16;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1).[-1@2, V1] :~ value(uova,V1), category(1).[V1@3, V1] 
3;4;4;3;143;51;36;3;12;0.7058823529411765;0.058823529411764705;0.23529411764705882;0.75;34246.6;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1).[-1@2, V1] :~ category(3).[-1@3] :~ value(uova,V1), category(1).[V1@4, V1] 
3;5;5;3;143;51;38;0;13;0.7450980392156863;0.0;0.2549019607843137;0.7450980392156863;238146;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(pesce,V1).[-V1@2, V1] :~ category(3).[-1@3] :~ value(farinacei,V1), category(1).[-V1@4, V1] :~ value(frittura,V1), category(1).[1@5, V1] 
4;1;1;3;147;48;19;5;24;0.3958333333333333;0.10416666666666667;0.5;0.4418604651162791;32.546;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] 
4;2;2;3;147;48;17;4;27;0.3541666666666667;0.08333333333333333;0.5625;0.38636363636363635;90.932;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(uova,V1).[1@2, V1] 
4;3;3;3;147;48;29;0;19;0.6041666666666666;0.0;0.3958333333333333;0.6041666666666666;491.543;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(carne,V1).[-V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@2, V1] 
4;4;4;3;147;48;24;3;21;0.5;0.0625;0.4375;0.5333333333333333;4727.74;:~ value(carne,V1).[-V1@3, V1] :~ value(uova,V1).[1@4, V1] :~ value(farinacei,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@1, V1] 
4;5;5;3;147;48;35;0;13;0.7291666666666666;0.0;0.2708333333333333;0.7291666666666666;21510.5;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ value(uova,V1).[1@3, V1] :~ value(farinacei,V1).[-V1@2, V1] :~ value(carne,V1), category(4).[-V1@5, V1] :~ value(verdure_e_ortaggi,V1), category(4).[1@4, V1] 
7;1;1;3;144;49;24;6;19;0.4897959183673469;0.12244897959183673;0.3877551020408163;0.5581395348837209;31.116;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
7;2;2;3;144;49;24;17;8;0.4897959183673469;0.3469387755102041;0.16326530612244897;0.75;73.297;:~ value(carne,V1).[-1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
7;3;3;3;144;49;32;1;16;0.6530612244897959;0.02040816326530612;0.32653061224489793;0.6666666666666666;280.886;:~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(carne,V1).[-1@3, V1] 
7;4;4;3;144;49;29;1;19;0.5918367346938775;0.02040816326530612;0.3877551020408163;0.6041666666666666;2373.8;:~ value(verdure_e_ortaggi,V1).[1@3, V1] :~ value(frittura,V1).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(carne,V1).[-1@4, V1] 
7;5;5;3;144;49;29;1;19;0.5918367346938775;0.02040816326530612;0.3877551020408163;0.6041666666666666;20814.6;:~ value(verdure_e_ortaggi,V1).[1@4, V1] :~ value(frittura,V1).[V1@3, V1] :~ value(carne,V1).[-1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] 
11;1;1;3;154;52;27;7;18;0.5192307692307693;0.1346153846153846;0.34615384615384615;0.6;29.719;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
11;2;2;3;154;52;28;1;23;0.5384615384615384;0.019230769230769232;0.4423076923076923;0.5490196078431373;73.445;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
11;3;3;3;154;52;28;3;21;0.5384615384615384;0.057692307692307696;0.40384615384615385;0.5714285714285714;323.034;:~ value(uova,V1).[1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1), category(3).[1@3, V1] 
11;4;4;3;154;52;40;0;12;0.7692307692307693;0.0;0.23076923076923078;0.7692307692307693;3137.48;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ category(3).[-1@3] :~ value(verdure_e_ortaggi,V1), category(3).[1@4, V1] :~ value(verdure_e_ortaggi,V1), category(4).[-V1@2, V1] 
11;5;5;3;154;52;35;0;17;0.6730769230769231;0.0;0.3269230769230769;0.6730769230769231;29067.4;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(uova,V1).[1@4, V1] :~ category(3).[-1@3] :~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1] :~ value(verdure_e_ortaggi,V1), category(4).[-V1@2, V1] 
14;1;1;3;150;50;21;9;20;0.42;0.18;0.4;0.5121951219512195;37.336;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] 
14;2;2;3;150;50;34;2;14;0.68;0.04;0.28;0.7083333333333334;93.993;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(uova,V1).[-V1@2, V1] 
