USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;3;5;3;157;157;0.7282377878824869;0.42917871475219727;0.40407343705495197;158743;:~ value(frittura,V1).[-1@2, V1]:~ value(carne,V1).[-1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@3, V1]:~ value(pesce,V1), category(4).[-1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
1;3;5;3;157;157;0.65605096022288;0.34999998410542804;0.3168455163637797;323677;:~ value(verdure_e_ortaggi,V1).[-1@2, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1), category(3).[-1@5, V1]:~ value(forno,V1), category(3).[1@4, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
2;3;5;3;157;157;0.821656068166097;0.6159077485402426;0.659489631652832;34607.6;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(pesce,V1).[-V1@4, V1]:~ value(uova,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
3;3;5;3;157;157;0.6942675113677979;0.3852607806523641;0.3491101562976837;271023;:~ value(verdure_e_ortaggi,V1).[-1@1, V1]:~ value(forno,V1).[-1@3, V1]:~ value(stufato,V1).[V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(uova,V1), category(1).[V1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
4;3;5;3;157;157;0.6602972348531088;0.3776412804921468;0.36592451731363934;107044;:~ value(stufato,V1).[1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[V1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@3, V1]:~ value(carne,V1), category(4).[-V1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
5;3;5;3;157;157;0.7622080643971761;0.66939377784729;0.6050212780634562;28670.3;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(pesce,V1).[-1@1, V1]:~ value(stufato,V1).[-V1@3, V1]:~ value(uova,V1), category(1).[-V1@2, V1]:~ value(forno,V1), category(1).[-V1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
6;3;5;3;157;157;0.8386411666870117;0.6303511460622152;0.6464646657307943;80082.5;:~ value(stufato,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(3).[1@1]:~ value(forno,V1), category(1).[1@5, V1]:~ value(pesce,V1), category(1).[-V1@4, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
7;3;5;3;157;157;0.7027600606282552;0.42347462972005206;0.3791474501291911;155062;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(frittura,V1).[V1@3, V1]:~ value(carne,V1).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(4).[-1@1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
8;3;5;3;157;157;0.821656068166097;0.577263355255127;0.8177777926127116;52916.8;:~ value(frittura,V1).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-V1@4, V1]:~ category(4).[-1@5]:~ value(verdure_e_ortaggi,V1), category(3).[V1@3, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
9;3;5;3;157;157;0.6772823333740234;0.3004831075668335;0.2875279982884725;38752.3;:~ value(frittura,V1).[1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1), category(4).[V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
10;3;5;3;157;157;0.6900211970011393;0.3832371234893799;0.3947842518488566;49982.2;:~ value(frittura,V1).[-1@3, V1]:~ value(carne,V1).[1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
11;3;5;3;157;157;0.7197452386220297;0.4039570093154907;0.39280418554941815;53345.7;:~ value(uova,V1).[V1@3, V1]:~ value(stufato,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
12;3;5;3;157;157;0.6220806439717611;0.3664053678512573;0.38892602920532227;27259.6;:~ value(verdure_e_ortaggi,V1).[1@2, V1]:~ value(frittura,V1).[-1@3, V1]:~ value(pasta,V1).[-V1@5, V1]:~ value(stufato,V1).[V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@1, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
13;3;5;3;157;157;0.7027601401011149;0.36826086044311523;0.34463683764139813;18701.5;:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(farinacei,V1), category(4).[V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@4, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
14;3;5;3;157;157;0.7409766515096029;0.4848797718683879;0.42782290776570636;184078;:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(forno,V1).[1@1, V1]:~ value(farinacei,V1).[-1@4, V1]:~ value(forno,V1), category(1).[-V1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
