USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;3;5;3;157;157;0.7282377878824869;0.42917871475219727;0.40407343705495197;158743;:~ value(frittura,V1).[-1@2, V1]:~ value(carne,V1).[-1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@3, V1]:~ value(pesce,V1), category(4).[-1@5, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
1;3;5;3;157;157;0.65605096022288;0.34999998410542804;0.3168455163637797;323677;:~ value(verdure_e_ortaggi,V1).[-1@2, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1), category(3).[-1@5, V1]:~ value(forno,V1), category(3).[1@4, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
2;3;5;3;157;157;0.774946928024292;0.5646022955576578;0.6629554828008016;34607.6;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(pesce,V1).[-V1@4, V1]:~ value(uova,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@5, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
3;3;5;3;157;157;0.6942675113677979;0.3852607806523641;0.3491101562976837;271023;:~ value(verdure_e_ortaggi,V1).[-1@1, V1]:~ value(forno,V1).[-1@3, V1]:~ value(stufato,V1).[V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(uova,V1), category(1).[V1@5, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
4;3;5;3;157;157;0.6602972348531088;0.3776412804921468;0.36592451731363934;107044;:~ value(stufato,V1).[1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[V1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@3, V1]:~ value(carne,V1), category(4).[-V1@5, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
5;3;5;3;157;157;0.7579617500305176;0.6658095518747965;0.6016778945922852;28670.3;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(pesce,V1).[-1@1, V1]:~ value(stufato,V1).[-V1@3, V1]:~ value(uova,V1), category(1).[-V1@2, V1]:~ value(forno,V1), category(1).[-V1@5, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
6;3;5;3;157;157;0.8089172045389811;0.5899470647176107;0.6143578688303629;80082.5;:~ value(stufato,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(3).[1@1]:~ value(forno,V1), category(1).[1@5, V1]:~ value(pesce,V1), category(1).[-V1@4, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
7;3;5;3;157;157;0.7027600606282552;0.42347462972005206;0.3791474501291911;155062;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(frittura,V1).[V1@3, V1]:~ value(carne,V1).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(4).[-1@1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
8;3;5;3;157;157;0.774946928024292;0.5291152397791544;0.7795518239339193;52916.8;:~ value(frittura,V1).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-V1@4, V1]:~ category(4).[-1@5]:~ value(verdure_e_ortaggi,V1), category(3).[V1@3, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
9;3;5;3;157;157;0.6772823333740234;0.3004831075668335;0.2875279982884725;38752.3;:~ value(frittura,V1).[1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1), category(4).[V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
10;3;5;3;157;157;0.6900211970011393;0.3832371234893799;0.3947842518488566;49982.2;:~ value(frittura,V1).[-1@3, V1]:~ value(carne,V1).[1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
11;3;5;3;157;157;0.6687898635864258;0.33962265650431317;0.33592649300893146;53345.7;:~ value(uova,V1).[V1@3, V1]:~ value(stufato,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
12;3;5;3;157;157;0.6220806439717611;0.3664053678512573;0.38892602920532227;27259.6;:~ value(verdure_e_ortaggi,V1).[1@2, V1]:~ value(frittura,V1).[-1@3, V1]:~ value(pasta,V1).[-V1@5, V1]:~ value(stufato,V1).[V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@1, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
13;3;5;3;157;157;0.6942675113677979;0.36159420013427734;0.33831024169921875;18701.5;:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(farinacei,V1), category(4).[V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@4, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
14;3;5;3;157;157;0.7409766515096029;0.4848797718683879;0.42782290776570636;184078;:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(forno,V1).[1@1, V1]:~ value(farinacei,V1).[-1@4, V1]:~ value(forno,V1), category(1).[-V1@5, V1];0.001121;5.0;0.247746;0.207977;0.191326;0.164781;0.18817
