USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
0;3;5;3;157;53;0.7484277089436849;0.4555555582046509;0.47496946652730304;158743;:~ value(frittura,V1).[-1@2, V1]:~ value(carne,V1).[-1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@3, V1]:~ value(pesce,V1), category(4).[-1@5, V1];5.0;0.0;0.01;0.01727;0.03455;0.06909;0.86909
1;3;5;3;157;53;0.7232704162597656;0.38725491364796955;0.40805864334106445;323677;:~ value(verdure_e_ortaggi,V1).[-1@2, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1), category(3).[-1@5, V1]:~ value(forno,V1), category(3).[1@4, V1];5.0;0.0;0.01;0.01727;0.04442;0.06909;0.85922
2;3;5;3;157;53;0.7484277089436849;0.41405508915583294;0.4444444179534912;34607.6;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(pesce,V1).[-V1@4, V1]:~ value(uova,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@5, V1];5.0;0.0;0.01;0.01727;0.24802;0.28358;0.44112
3;3;5;3;157;53;0.8113207817077637;0.48343682289123535;0.5074074268341064;271023;:~ value(verdure_e_ortaggi,V1).[-1@1, V1]:~ value(forno,V1).[-1@3, V1]:~ value(stufato,V1).[V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(uova,V1), category(1).[V1@5, V1];5.0;0.0;0.01;0.0275;0.07354;0.1559;0.73306
4;3;5;3;157;53;0.8238993485768636;0.4501108725865682;0.4722222487131755;107044;:~ value(stufato,V1).[1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[V1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@3, V1]:~ value(carne,V1), category(4).[-V1@5, V1];5.0;0.0;0.01;0.01636;0.03273;0.13091;0.81
5;3;5;3;157;53;0.7987421353658041;0.4888888994852702;0.53125;28670.3;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(pesce,V1).[-1@1, V1]:~ value(stufato,V1).[-V1@3, V1]:~ value(uova,V1), category(1).[-V1@2, V1]:~ value(forno,V1), category(1).[-V1@5, V1];5.0;0.0;0.01;0.02667;0.05;0.08;0.83333
6;3;5;3;157;53;0.8364779949188232;0.5210256576538086;0.5422969261805216;80082.5;:~ value(stufato,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(3).[1@1]:~ value(forno,V1), category(1).[1@5, V1]:~ value(pesce,V1), category(1).[-V1@4, V1];5.0;0.0;0.01;0.03143;0.05;0.45429;0.45429
7;3;5;3;157;53;0.710691769917806;0.6861239274342855;0.4669934908548991;155062;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(frittura,V1).[V1@3, V1]:~ value(carne,V1).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(4).[-1@1];5.0;0.0;0.01;0.03143;0.04;0.08;0.83857
8;3;5;3;157;53;0.8113207817077637;0.4868686993916829;0.5783476034800211;52916.8;:~ value(frittura,V1).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-V1@4, V1]:~ category(4).[-1@5]:~ value(verdure_e_ortaggi,V1), category(3).[V1@3, V1];5.0;0.0;0.01;0.01636;0.06545;0.06545;0.84273
9;3;5;3;157;53;0.7735849221547445;0.4365079402923584;0.5345118045806885;38752.3;:~ value(frittura,V1).[1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1), category(4).[V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1];5.0;0.0;0.01;0.02104;0.07818;0.40669;0.48409
10;3;5;3;157;53;0.8742138544718424;0.7003366947174072;0.6470959583918253;49982.2;:~ value(frittura,V1).[-1@3, V1]:~ value(carne,V1).[1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1];5.0;0.0;0.01;0.08427;0.10064;0.40255;0.40255
11;3;5;3;157;53;0.8490565617879232;0.508080800374349;0.541141152381897;53345.7;:~ value(uova,V1).[V1@3, V1]:~ value(stufato,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1];5.0;0.0;0.07255;0.07255;0.12213;0.24426;0.48851
