USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;3;5;3;157;157;0.8471337954203287;0.5396769046783447;0.5632850329081217;158743;:~ value(frittura,V1).[-1@2, V1]:~ value(carne,V1).[-1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@3, V1]:~ value(pesce,V1), category(4).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
1;3;5;3;157;157;0.8131635189056396;0.45624005794525146;0.5101586977640787;323677;:~ value(verdure_e_ortaggi,V1).[-1@2, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1), category(3).[-1@5, V1]:~ value(forno,V1), category(3).[1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
2;3;5;3;157;157;0.868365208307902;0.7575809160868326;0.6654523611068726;34607.6;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(pesce,V1).[-V1@4, V1]:~ value(uova,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
3;3;5;3;157;157;0.8131635189056396;0.46557970841725665;0.5285714467366537;271023;:~ value(verdure_e_ortaggi,V1).[-1@1, V1]:~ value(forno,V1).[-1@3, V1]:~ value(stufato,V1).[V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(uova,V1), category(1).[V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
4;3;5;3;157;157;0.8259023825327555;0.5388811826705933;0.5556101401646932;107044;:~ value(stufato,V1).[1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[V1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@3, V1]:~ value(carne,V1), category(4).[-V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
5;3;5;3;157;157;0.8726115226745605;0.7327380975087484;0.7882188161214193;28670.3;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(pesce,V1).[-1@1, V1]:~ value(stufato,V1).[-V1@3, V1]:~ value(uova,V1), category(1).[-V1@2, V1]:~ value(forno,V1), category(1).[-V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
6;3;5;3;157;157;0.8471337954203287;0.6554834047953287;0.6412938833236694;80082.5;:~ value(stufato,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(3).[1@1]:~ value(forno,V1), category(1).[1@5, V1]:~ value(pesce,V1), category(1).[-V1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
7;3;5;3;157;157;0.821656068166097;0.46296294530232746;0.5189833641052246;155062;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(frittura,V1).[V1@3, V1]:~ value(carne,V1).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(4).[-1@1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
8;3;5;3;157;157;0.8726114432017008;0.8740584055582682;0.626646081606547;52916.8;:~ value(frittura,V1).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-V1@4, V1]:~ category(4).[-1@5]:~ value(verdure_e_ortaggi,V1), category(3).[V1@3, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
9;3;5;3;157;157;0.8556263446807861;0.4902307192484538;0.594685951868693;38752.3;:~ value(frittura,V1).[1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1), category(4).[V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
10;3;5;3;157;157;0.8726115226745605;0.6943241755167643;0.6164021492004395;49982.2;:~ value(frittura,V1).[-1@3, V1]:~ value(carne,V1).[1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
