USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;3;5;3;157;53;0.6729559898376465;0.3827838897705078;0.38405799865722656;158743;:~ value(frittura,V1).[-1@2, V1]:~ value(carne,V1).[-1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@3, V1]:~ value(pesce,V1), category(4).[-1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
1;3;5;3;157;53;0.6603773832321167;0.36043957869211835;0.3406285047531128;323677;:~ value(verdure_e_ortaggi,V1).[-1@2, V1]:~ value(pesce,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1), category(3).[-1@5, V1]:~ value(forno,V1), category(3).[1@4, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
2;3;5;3;157;53;0.698113203048706;0.40555556615193683;0.3848484853903453;34607.6;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(pesce,V1).[-V1@4, V1]:~ value(uova,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(3).[-V1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
3;3;5;3;157;53;0.7232704162597656;0.429629643758138;0.4135802586873372;271023;:~ value(verdure_e_ortaggi,V1).[-1@1, V1]:~ value(forno,V1).[-1@3, V1]:~ value(stufato,V1).[V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(uova,V1), category(1).[V1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
4;3;5;3;157;53;0.6226415236790975;0.26851852734883624;0.2626728018124898;107044;:~ value(stufato,V1).[1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[V1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@3, V1]:~ value(carne,V1), category(4).[-V1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
5;3;5;3;157;53;0.6729559898376465;0.375;0.3526570002237956;28670.3;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(pesce,V1).[-1@1, V1]:~ value(stufato,V1).[-V1@3, V1]:~ value(uova,V1), category(1).[-V1@2, V1]:~ value(forno,V1), category(1).[-V1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
6;3;5;3;157;53;0.8364779949188232;0.5322128931681315;0.5150103569030762;80082.5;:~ value(stufato,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(3).[1@1]:~ value(forno,V1), category(1).[1@5, V1]:~ value(pesce,V1), category(1).[-V1@4, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
7;3;5;3;157;53;0.698113203048706;0.4820261796315511;0.692307710647583;155062;:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ value(frittura,V1).[V1@3, V1]:~ value(carne,V1).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(4).[-1@1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
8;3;5;3;157;53;0.7987421353658041;0.5655270417531332;0.4743589560190837;52916.8;:~ value(frittura,V1).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-V1@4, V1]:~ category(4).[-1@5]:~ value(verdure_e_ortaggi,V1), category(3).[V1@3, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
9;3;5;3;157;53;0.6100628773371378;0.3089225689570109;0.27654320001602173;38752.3;:~ value(frittura,V1).[1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1), category(4).[V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
10;3;5;3;157;53;0.6477987766265869;0.37941916783650714;0.40313148498535156;49982.2;:~ value(frittura,V1).[-1@3, V1]:~ value(carne,V1).[1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1];0.001224;5.0;0.094291;0.146607;0.185823;0.231601;0.341676
