USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;3;5;3;157;157;0.8471337954203287;0.5632850329081217;0.5396769046783447;158743;:~ value(frittura,V1).[-1@2, V1] :~ value(carne,V1).[-1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1), category(3).[-V1@3, V1] :~ value(pesce,V1), category(4).[-1@5, V1] 
1;3;5;3;157;157;0.8131635189056396;0.5101586977640787;0.45624005794525146;323677;:~ value(verdure_e_ortaggi,V1).[-1@2, V1] :~ value(pesce,V1).[V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1), category(3).[-1@5, V1] :~ value(forno,V1), category(3).[1@4, V1] 
2;3;5;3;157;157;0.868365208307902;0.6654523611068726;0.7575809160868326;34607.6;:~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ value(pesce,V1).[-V1@4, V1] :~ value(uova,V1).[-V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1), category(3).[-V1@5, V1] 
3;3;5;3;157;157;0.8131635189056396;0.5285714467366537;0.46557970841725665;271023;:~ value(verdure_e_ortaggi,V1).[-1@1, V1] :~ value(forno,V1).[-1@3, V1] :~ value(stufato,V1).[V1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ value(uova,V1), category(1).[V1@5, V1] 
4;3;5;3;157;157;0.8259023825327555;0.5556101401646932;0.5388811826705933;107044;:~ value(stufato,V1).[1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(uova,V1), category(4).[V1@4, V1] :~ value(verdure_e_ortaggi,V1), category(4).[1@3, V1] :~ value(carne,V1), category(4).[-V1@5, V1] 
5;3;5;3;157;157;0.8726115226745605;0.7882188161214193;0.7327380975087484;28670.3;:~ value(verdure_e_ortaggi,V1).[1@4, V1] :~ value(pesce,V1).[-1@1, V1] :~ value(stufato,V1).[-V1@3, V1] :~ value(uova,V1), category(1).[-V1@2, V1] :~ value(forno,V1), category(1).[-V1@5, V1] 
6;3;5;3;157;157;0.8471337954203287;0.6497114102045695;0.6592285633087158;80082.5;:~ value(stufato,V1).[V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ category(3).[1@1] :~ value(forno,V1), category(1).[1@5, V1] :~ value(pesce,V1), category(1).[-V1@4, V1] 
7;3;5;3;157;157;0.821656068166097;0.5189833641052246;0.46296294530232746;155062;:~ value(verdure_e_ortaggi,V1).[1@4, V1] :~ value(frittura,V1).[V1@3, V1] :~ value(carne,V1).[-1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ category(4).[-1@1] 
8;3;5;3;157;157;0.8726114432017008;0.626646081606547;0.8740584055582682;52916.8;:~ value(frittura,V1).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(forno,V1).[-V1@4, V1] :~ category(4).[-1@5] :~ value(verdure_e_ortaggi,V1), category(3).[V1@3, V1] 
9;3;5;3;157;157;0.8556263446807861;0.594685951868693;0.4902307192484538;38752.3;:~ value(frittura,V1).[1@4, V1] :~ value(pesce,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1), category(4).[V1@3, V1] :~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1] 
10;3;5;3;157;157;0.8726115226745605;0.6164021492004395;0.6943241755167643;49982.2;:~ value(frittura,V1).[-1@3, V1] :~ value(carne,V1).[1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ category(3).[-1@2] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1] 
11;3;5;3;157;157;0.8343949317932129;0.5192610025405884;0.4957176049550374;53345.7;:~ value(uova,V1).[V1@3, V1] :~ value(stufato,V1).[1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ category(3).[-1@2] :~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1] 
12;3;5;3;157;157;0.821656068166097;0.588652491569519;0.5959186553955078;27259.6;:~ value(verdure_e_ortaggi,V1).[1@2, V1] :~ value(frittura,V1).[-1@3, V1] :~ value(pasta,V1).[-V1@5, V1] :~ value(stufato,V1).[V1@4, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@1, V1] 
13;3;5;3;157;157;0.8386412461598715;0.5453623135884603;0.4945364793141683;18701.5;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ value(farinacei,V1), category(4).[V1@5, V1] :~ value(verdure_e_ortaggi,V1), category(3).[V1@4, V1] 
14;3;5;3;157;157;0.8513800303141276;0.5553404887517294;0.542011022567749;184078;:~ value(verdure_e_ortaggi,V1).[-1@3, V1] :~ value(uova,V1).[-V1@2, V1] :~ value(forno,V1).[1@1, V1] :~ value(farinacei,V1).[-1@4, V1] :~ value(forno,V1), category(1).[-V1@5, V1] 
15;3;5;3;157;157;0.868365208307902;0.6782717704772949;0.7575510342915853;82970.1;:~ value(uova,V1).[-V1@2, V1] :~ category(3).[1@4] :~ value(frittura,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1), category(4).[-1@3, V1] :~ value(carne,V1), category(3).[-1@5, V1] 
16;3;5;3;157;157;0.8811039924621582;0.6821235815684;0.7013382911682129;20103;:~ value(frittura,V1).[V1@3, V1] :~ value(pesce,V1).[1@4, V1] :~ value(uova,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[1@1, V1] :~ value(stufato,V1), category(1).[-V1@5, V1] 
17;3;5;3;157;157;0.8980892499287924;0.6154452164967855;0.6795726617177328;15396;:~ value(verdure_e_ortaggi,V1).[1@2, V1] :~ value(farinacei,V1).[-1@3, V1] :~ value(pesce,V1).[V1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1), category(1).[V1@4, V1] 
18;3;5;3;157;157;0.8683651288350424;0.6173271338144938;0.4741452932357788;40662.4;:~ value(farinacei,V1).[-V1@1, V1] :~ value(pesce,V1).[-V1@3, V1] :~ value(stufato,V1).[-V1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ category(1).[-1@4] 
19;3;5;3;157;157;0.8768577575683594;0.6170286734898885;0.7903852462768555;104684;:~ value(carne,V1).[-V1@4, V1] :~ value(forno,V1).[-1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1), category(4).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1), category(1).[V1@5, V1] 
20;3;5;3;157;157;0.8768577575683594;0.7063376903533936;0.7483909924825033;48186.7;:~ value(funghi_e_tartufi,V1).[V1@4, V1] :~ value(pesce,V1).[1@2, V1] :~ value(latticini,V1).[-1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1), category(1).[V1@5, V1] 
21;3;5;3;157;157;0.859872579574585;0.6896761258443197;0.6829648017883301;166729;:~ value(farinacei,V1).[-V1@2, V1] :~ value(pesce,V1).[1@3, V1] :~ category(3).[1@5] :~ value(verdure_e_ortaggi,V1), category(3).[V1@1, V1] :~ value(forno,V1), category(1).[1@4, V1] 
22;3;5;3;157;157;0.8386411666870117;0.6097233692804972;0.641119122505188;235910;:~ value(farinacei,V1).[-V1@1, V1] :~ value(pesce,V1).[V1@4, V1] :~ category(4).[-1@2] :~ value(uova,V1), category(3).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1), category(3).[V1@5, V1] 
23;3;5;3;157;157;0.8174098332722982;0.672245979309082;0.6458810170491537;479506;:~ value(farinacei,V1).[-V1@1, V1] :~ value(forno,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1] :~ value(forno,V1), category(3).[V1@4, V1] :~ value(pasta,V1), category(3).[1@5, V1] 
24;3;5;3;157;157;0.8386411666870117;0.6711111068725586;0.6405803362528483;322597;:~ value(frittura,V1).[V1@1, V1] :~ value(forno,V1).[1@4, V1] :~ value(farinacei,V1).[V1@2, V1] :~ value(stufato,V1), category(3).[1@3, V1] :~ value(forno,V1), category(3).[-V1@5, V1] 
25;3;5;3;157;157;0.8556262652079264;0.6729658444722494;0.6836678187052408;131745;:~ value(farinacei,V1).[-1@1, V1] :~ value(forno,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1), category(1).[1@4, V1] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@2, V1] :~ value(pesce,V1), category(4).[-1@5, V1] 
26;3;5;3;157;157;0.8556263446807861;0.5928092002868652;0.5238095124562582;73322.6;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(farinacei,V1).[-V1@2, V1] :~ value(carne,V1).[-1@3, V1] :~ value(stufato,V1), category(1).[-1@5, V1] :~ value(pesce,V1), category(3).[-V1@4, V1] 
27;3;5;3;157;157;0.9193205833435059;0.626111110051473;0.5787701606750488;4035.08;:~ value(farinacei,V1).[1@5, V1] :~ value(forno,V1).[1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1), category(3).[1@4, V1] :~ value(pesce,V1), category(4).[V1@3, V1] 
28;3;5;3;157;157;0.8428874810536703;0.6208534638086954;0.5520012776056925;205815;:~ value(stufato,V1).[-V1@2, V1] :~ value(farinacei,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1), category(3).[1@3, V1] :~ value(verdure_e_ortaggi,V1), category(1).[-V1@5, V1] :~ value(forno,V1), category(3).[-1@4, V1] 
29;3;5;3;157;157;0.8853503068288168;0.7547477086385092;0.7022525469462076;53575.2;:~ value(frittura,V1).[-V1@3, V1] :~ value(uova,V1).[-V1@1, V1] :~ category(4).[1@2] :~ value(verdure_e_ortaggi,V1), category(1).[-1@4, V1] :~ value(stufato,V1), category(3).[-1@5, V1] 
30;3;5;3;157;157;0.8046708901723226;0.5535714228947958;0.43534354368845624;348473;:~ value(forno,V1).[-V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(farinacei,V1).[-V1@4, V1] :~ category(4).[1@1] :~ value(stufato,V1), category(4).[-1@5, V1] 
31;3;5;3;157;157;0.8386411666870117;0.6536518732706705;0.5315257708231608;220634;:~ value(forno,V1).[V1@1, V1] :~ value(stufato,V1).[-V1@3, V1] :~ value(uova,V1), category(4).[V1@5, V1] :~ value(verdure_e_ortaggi,V1), category(4).[1@4, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@2, V1] 
32;3;5;3;157;157;0.8513800303141276;0.6336741050084432;0.6784280141194662;75536.3;:~ value(latticini,V1).[1@2, V1] :~ value(uova,V1).[-V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1] :~ value(forno,V1), category(3).[V1@5, V1] 
33;3;5;3;157;157;0.8768577575683594;0.6975065867106119;0.6364484628041586;48566.8;:~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ value(uova,V1).[1@3, V1] :~ value(funghi_e_tartufi,V1).[-1@5, V1] :~ value(uova,V1), category(4).[-1@4, V1] :~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1] 
34;3;5;3;157;157;0.8259023030598959;0.6112695535024008;0.6112024784088135;140763;:~ value(carne,V1).[-1@4, V1] :~ value(uova,V1).[V1@3, V1] :~ category(3).[1@2] :~ value(farinacei,V1), category(3).[-1@5, V1] :~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1] 
35;3;5;3;157;157;0.8471337159474691;0.5727891127268473;0.5151515007019043;234817;:~ value(funghi_e_tartufi,V1).[V1@3, V1] :~ value(uova,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ category(4).[-1@4] :~ category(1).[-1@5] 
