USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;3;5;3;157;53;0.7484277089436849;0.47496946652730304;0.4555555582046509;158743;:~ value(frittura,V1).[-1@2, V1] :~ value(carne,V1).[-1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1), category(3).[-V1@3, V1] :~ value(pesce,V1), category(4).[-1@5, V1] 
1;3;5;3;157;53;0.7232704162597656;0.40805864334106445;0.38725491364796955;323677;:~ value(verdure_e_ortaggi,V1).[-1@2, V1] :~ value(pesce,V1).[V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1), category(3).[-1@5, V1] :~ value(forno,V1), category(3).[1@4, V1] 
2;3;5;3;157;53;0.7484277089436849;0.45000000794728595;0.4185714324315389;34607.6;:~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ value(pesce,V1).[-V1@4, V1] :~ value(uova,V1).[-V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1), category(3).[-V1@5, V1] 
3;3;5;3;157;53;0.8113207817077637;0.5074074268341064;0.48343682289123535;271023;:~ value(verdure_e_ortaggi,V1).[-1@1, V1] :~ value(forno,V1).[-1@3, V1] :~ value(stufato,V1).[V1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ value(uova,V1), category(1).[V1@5, V1] 
4;3;5;3;157;53;0.8238993485768636;0.4722222487131755;0.4501108725865682;107044;:~ value(stufato,V1).[1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(uova,V1), category(4).[V1@4, V1] :~ value(verdure_e_ortaggi,V1), category(4).[1@3, V1] :~ value(carne,V1), category(4).[-V1@5, V1] 
5;3;5;3;157;53;0.7987421353658041;0.53125;0.4888888994852702;28670.3;:~ value(verdure_e_ortaggi,V1).[1@4, V1] :~ value(pesce,V1).[-1@1, V1] :~ value(stufato,V1).[-V1@3, V1] :~ value(uova,V1), category(1).[-V1@2, V1] :~ value(forno,V1), category(1).[-V1@5, V1] 
6;3;5;3;157;53;0.8113207817077637;0.513165275255839;0.4948717753092448;80082.5;:~ value(stufato,V1).[V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ category(3).[1@1] :~ value(forno,V1), category(1).[1@5, V1] :~ value(pesce,V1), category(1).[-V1@4, V1] 
7;3;5;3;157;53;0.710691769917806;0.4669934908548991;0.6861239274342855;155062;:~ value(verdure_e_ortaggi,V1).[1@4, V1] :~ value(frittura,V1).[V1@3, V1] :~ value(carne,V1).[-1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ category(4).[-1@1] 
8;3;5;3;157;53;0.8113207817077637;0.5783476034800211;0.4868686993916829;52916.8;:~ value(frittura,V1).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(forno,V1).[-V1@4, V1] :~ category(4).[-1@5] :~ value(verdure_e_ortaggi,V1), category(3).[V1@3, V1] 
9;3;5;3;157;53;0.7735849221547445;0.5345118045806885;0.4365079402923584;38752.3;:~ value(frittura,V1).[1@4, V1] :~ value(pesce,V1).[-V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1), category(4).[V1@3, V1] :~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1] 
