pc0;pc1;pc2;pc3;pc4;pc5;pc6;pc7;pc8;pc9;pc10;pc11;pc12;pc13;pc14;pc15;pc16;pc17;pc18;pc19
15;53;48;47;45;47;57;40;50;57;49;66;47;50;43;38;48;54;58;47
44;36;46;64;57;34;35;34;60;40;60;48;59;61;38;54;41;50;44;50
17;42;55;38;58;31;71;47;58;54;52;47;35;49;34;43;61;52;36;43
28;38;45;53;48;61;51;38;56;53;51;54;44;46;44;50;52;53;50;43
18;46;44;59;45;58;52;33;59;42;66;44;49;38;71;55;43;47;49;51
47;46;57;31;56;73;40;38;57;53;60;39;48;42;64;55;47;53;40;42
66;61;50;51;52;61;44;56;61;50;45;44;53;48;43;36;73;45;38;50
38;80;66;54;52;66;52;53;55;52;37;79;47;49;52;38;53;34;58;63
52;30;55;62;56;40;22;29;60;55;62;46;54;56;38;51;39;47;43;48
49;67;62;42;37;54;38;62;65;63;73;41;40;48;55;63;54;54;58;43
45;28;30;55;50;66;43;69;50;44;51;58;51;58;56;61;55;54;58;55
13;47;47;48;52;62;52;30;47;55;50;63;39;52;39;42;53;52;54;48
51;49;42;41;53;41;59;73;51;23;48;49;50;37;43;53;37;48;45;58
32;50;49;49;55;59;43;42;58;55;57;58;50;46;63;55;59;43;50;55
48;28;50;58;60;42;33;35;65;54;57;50;53;52;42;54;51;48;44;50
77;55;44;64;32;64;106;35;38;87;70;65;101;27;28;69;38;75;38;62
47;81;53;13;110;73;57;53;48;48;35;36;61;55;42;48;36;60;44;56
67;47;57;60;49;43;35;42;59;65;34;37;44;49;51;57;43;46;66;48
34;55;43;63;47;38;47;45;61;44;42;38;59;44;43;27;55;49;40;54
69;50;50;67;69;29;38;40;45;34;60;61;57;52;42;45;42;46;59;45
79;50;51;44;24;62;70;34;39;28;42;39;36;62;47;53;40;65;44;35
50;76;36;53;74;56;54;65;45;58;40;29;44;45;52;79;64;41;60;52
78;27;47;50;52;60;21;80;56;63;86;55;45;59;51;35;32;65;50;45
62;72;58;29;74;73;45;58;53;48;66;43;54;60;30;24;41;52;51;66
63;83;47;67;36;39;50;52;49;67;34;29;44;48;50;23;53;54;44;44
63;91;45;50;45;42;42;63;63;43;47;46;47;53;34;63;57;53;56;50
46;44;51;50;43;58;37;40;63;53;46;52;55;48;51;38;61;47;43;51
38;23;77;5;36;21;55;64;34;59;57;44;31;31;36;50;59;47;32;47
46;35;36;53;50;51;57;62;53;34;51;46;47;56;44;54;48;54;49;53
59;50;39;50;39;58;62;50;42;58;32;68;36;66;60;56;49;59;46;45
35;42;30;59;56;42;58;56;51;27;39;47;58;52;44;54;47;49;51;51
81;56;55;61;79;35;46;41;31;51;46;50;38;28;50;36;44;38;67;45
78;33;54;54;48;41;34;37;50;70;40;61;33;43;40;43;32;48;52;47
28;43;40;56;52;57;53;50;52;41;50;52;50;50;41;50;54;48;52;53
29;56;79;18;44;38;48;46;46;62;58;44;66;47;68;51;54;50;63;32
33;52;68;6;66;60;45;37;48;51;38;36;69;60;54;49;40;61;41;28
34;36;37;54;52;61;46;76;50;49;67;53;51;57;54;45;48;56;51;52
24;40;37;61;56;51;56;46;47;51;47;49;51;61;44;55;59;55;44;47
51;52;48;43;39;74;45;41;56;47;58;54;51;36;70;58;54;37;52;55
39;51;184;124;56;68;54;81;51;33;36;49;57;51;48;59;44;52;38;47
78;60;65;65;87;29;56;32;28;24;69;60;34;32;80;35;89;101;57;62
19;48;48;54;46;63;49;35;49;58;53;63;46;53;43;45;53;54;58;48
29;46;48;50;49;51;49;41;55;50;46;60;49;45;37;41;48;51;60;49
87;30;54;37;36;53;45;44;42;35;46;52;46;53;56;47;43;48;41;49
25;46;41;57;50;52;57;44;52;36;51;52;48;47;40;45;46;49;56;53
56;118;43;57;11;30;33;53;61;73;42;52;53;57;63;35;54;52;23;62
106;9;63;36;46;55;55;38;99;75;27;64;58;24;40;59;62;59;64;79
75;34;43;68;50;68;46;63;31;77;57;25;34;47;52;32;46;41;52;58
77;38;54;37;31;65;53;26;52;43;38;55;39;50;59;47;38;53;55;37
66;104;45;54;23;49;48;54;57;31;57;36;51;45;24;55;46;57;64;48
59;99;58;49;10;73;42;28;66;31;91;27;35;31;53;59;44;43;54;55
88;63;44;64;40;52;71;30;17;27;77;61;56;46;47;44;45;36;47;33
25;45;51;57;53;49;45;62;42;64;50;36;61;47;55;51;50;51;75;40
25;61;57;52;34;98;71;45;25;56;51;77;16;61;46;53;52;37;48;67
52;27;34;51;50;72;33;104;47;53;79;51;50;58;54;44;49;62;51;58
29;40;36;72;55;41;59;48;42;46;43;40;50;54;47;49;45;50;51;50
71;32;64;47;62;9;137;60;110;61;75;42;29;82;68;42;45;37;59;48
81;34;41;45;47;66;43;76;53;41;46;54;47;47;52;41;49;45;45;53
36;27;71;12;34;30;55;61;34;57;55;53;25;22;35;52;54;46;41;50
52;97;47;52;39;37;49;65;66;48;46;50;49;54;38;61;48;57;57;45
35;43;53;46;37;44;41;65;48;59;54;64;61;47;57;51;42;62;88;34
39;63;45;52;43;57;46;49;49;50;49;50;66;50;51;39;60;42;45;55
43;28;46;61;55;43;34;36;62;52;56;50;56;54;42;55;46;51;44;46
33;38;37;57;53;47;53;49;52;39;42;56;47;43;42;49;46;47;59;55
84;31;41;56;57;67;49;67;49;64;71;53;60;52;49;39;62;38;38;35
40;39;42;57;55;42;53;46;56;31;49;48;50;34;67;53;52;62;52;56
37;86;57;22;78;66;50;37;57;62;53;51;39;46;66;67;45;49;55;47
78;59;45;68;77;31;43;46;22;56;37;50;42;47;58;45;47;38;58;52
43;32;57;21;40;25;54;72;34;44;43;49;43;28;40;60;52;47;44;45
59;24;45;51;52;60;32;56;74;38;34;55;64;49;54;56;67;37;52;51
66;38;35;76;51;56;73;52;21;78;34;21;46;45;54;61;37;55;51;57
66;76;51;53;75;24;26;39;48;60;64;62;37;64;48;75;48;44;39;57
80;35;59;29;21;49;57;30;24;30;42;32;60;87;55;49;57;46;58;73
60;62;32;51;50;52;60;80;49;40;38;55;47;54;43;47;55;57;62;49
87;23;46;38;43;55;39;59;57;41;27;60;53;43;62;57;46;45;46;48
49;69;65;0;100;69;57;47;49;50;41;37;57;57;51;43;35;54;44;60
29;67;48;46;44;15;46;62;39;62;42;87;63;55;68;43;26;60;48;49
91;29;54;42;42;58;41;40;67;38;30;50;47;47;49;47;48;52;52;36
31;48;36;54;49;44;52;58;56;33;38;55;61;43;56;45;43;47;47;53
34;61;64;54;45;65;57;43;52;50;40;74;43;60;55;48;43;43;56;54
36;49;45;41;37;34;43;63;40;53;47;71;50;54;73;55;33;48;34;66
30;36;36;76;54;53;56;50;35;69;43;13;47;48;56;54;49;44;55;57
30;57;43;43;60;61;52;44;49;43;45;56;46;45;39;49;57;48;53;46
49;101;38;51;36;36;44;69;59;54;33;46;51;50;44;54;59;56;50;47
76;31;37;57;41;66;52;43;42;47;31;49;43;68;58;65;57;62;40;38
80;59;44;52;73;51;70;57;44;44;62;61;72;42;48;50;70;21;45;33
48;46;39;40;43;46;55;71;54;18;49;47;55;32;63;60;29;47;41;53
71;67;44;60;79;19;27;40;45;51;63;60;39;63;48;79;45;42;43;62
18;55;35;65;45;43;55;40;65;50;42;28;62;32;87;38;46;42;36;53
65;74;47;45;37;47;51;51;55;58;33;55;42;66;48;43;60;65;46;34
48;29;57;63;58;41;28;27;56;53;63;46;52;57;42;47;51;58;42;53
28;34;42;59;57;54;47;45;57;55;49;47;59;61;51;55;62;53;42;42
31;42;34;66;51;38;68;49;51;30;51;43;48;58;41;53;47;54;46;53
37;38;48;47;52;62;48;56;48;58;49;50;51;63;48;63;71;51;44;42
72;76;41;51;63;48;65;53;36;56;52;73;72;46;54;49;62;30;49;35
24;37;42;59;47;59;55;44;48;51;58;50;43;51;43;54;59;52;44;51
37;44;55;57;39;42;43;59;35;68;52;45;54;57;58;65;57;52;49;40
38;36;50;65;52;42;46;41;44;59;41;44;44;44;40;37;41;46;57;51
49;48;73;29;20;40;43;37;39;48;59;42;81;69;56;42;53;42;71;60
43;27;75;18;31;20;43;52;24;46;53;37;66;67;45;53;69;40;60;72
