USER_ID;MAX_V;MAX_P;DATASET_SIZE;OPT;THRESHOLD;F1;F2;F3;F4;F5
0.0;1.0;5.0;45.0;39.0;0.00419;0.0;0.0;0.1272;0.36925;0.50355
1.0;1.0;5.0;45.0;34.0;0.00075;0.02973;0.21346;0.21346;0.21346;0.32989
2.0;1.0;5.0;45.0;38.0;0.00239;0.02739;0.02739;0.31507;0.31507;0.31507
3.0;1.0;5.0;45.0;33.0;0.0;0.0;0.0;0.0;0.0;1.0
4.0;1.0;5.0;45.0;5.0;0.06076;0.2;0.2;0.2;0.2;0.2
5.0;1.0;5.0;45.0;37.0;0.00364;0.0;0.0;0.16727;0.27909;0.55364
6.0;1.0;5.0;45.0;8.0;0.05393;0.2;0.2;0.2;0.2;0.2
7.0;1.0;5.0;45.0;38.0;0.00344;0.0;0.0;0.0;0.27189;0.72811
8.0;1.0;5.0;45.0;32.0;0.0;0.03283;0.03283;0.03283;0.11273;0.78879
9.0;1.0;5.0;45.0;35.0;0.00775;0.06194;0.06194;0.19338;0.19338;0.48938
10.0;1.0;5.0;45.0;3.0;0.3908;0.0;0.25;0.25;0.25;0.25
11.0;1.0;5.0;45.0;4.0;0.05857;0.12429;0.21893;0.21893;0.21893;0.21893
12.0;1.0;5.0;45.0;28.0;0.06604;0.0;0.0;0.0;0.0;1.0
13.0;1.0;5.0;45.0;3.0;0.03325;0.0;0.0;0.07642;0.46179;0.46179
14.0;1.0;5.0;45.0;34.0;0.0;0.0;0.0;0.0;0.0;1.0
15.0;1.0;5.0;45.0;31.0;0.0;0.0;0.0;0.0;0.13;0.87
16.0;1.0;5.0;45.0;32.0;0.01;0.13778;0.14222;0.14222;0.14222;0.43556
17.0;1.0;5.0;45.0;34.0;0.01235;0.08475;0.08475;0.08475;0.08475;0.66101
18.0;1.0;5.0;45.0;15.0;0.04918;0.2;0.2;0.2;0.2;0.2
19.0;1.0;5.0;45.0;38.0;0.00168;0.04307;0.20571;0.20571;0.20571;0.3398
20.0;1.0;5.0;45.0;36.0;0.00028;0.0;0.0;0.0;0.20344;0.79656
21.0;1.0;5.0;45.0;3.0;0.5;0.2;0.2;0.2;0.2;0.2
22.0;1.0;5.0;45.0;15.0;0.05747;0.2;0.2;0.2;0.2;0.2
23.0;1.0;5.0;45.0;33.0;0.0;0.0;0.0;0.15007;0.15007;0.69986
24.0;1.0;5.0;45.0;7.0;0.02667;0.08778;0.22806;0.22806;0.22806;0.22806
25.0;1.0;5.0;45.0;32.0;0.00041;0.0;0.0;0.0;0.0;1.0
26.0;1.0;5.0;45.0;12.0;0.05;0.174;0.2065;0.2065;0.2065;0.2065
27.0;1.0;5.0;45.0;35.0;0.0;0.0;0.0;0.0;0.0;1.0
28.0;1.0;5.0;45.0;34.0;0.0;0.0;0.0;0.0;0.0;1.0
29.0;1.0;5.0;45.0;30.0;0.02774;0.0;0.0;0.0;0.0;1.0
30.0;1.0;5.0;45.0;8.0;0.02667;0.08778;0.22806;0.22806;0.22806;0.22806
31.0;1.0;5.0;45.0;30.0;0.00786;0.04365;0.18253;0.18253;0.18253;0.40878
32.0;1.0;5.0;45.0;28.0;0.03;0.0;0.0;0.0;0.41;0.59
33.0;1.0;5.0;45.0;8.0;0.5;0.2;0.2;0.2;0.2;0.2
34.0;1.0;5.0;45.0;7.0;0.09425;0.2;0.2;0.2;0.2;0.2
