USER_ID;MAX_V;MAX_P;DATASET_SIZE;OPT;THRESHOLD;F1;F2;F3;F4;F5
0.0;1.0;5.0;150.0;25.0;0.06167;0.05932;0.20833;0.20833;0.20833;0.31568
1.0;1.0;5.0;150.0;16.0;0.14773;0.0;0.25;0.25;0.25;0.25
2.0;1.0;5.0;150.0;7.0;0.13051;0.2;0.2;0.2;0.2;0.2
3.0;1.0;5.0;150.0;78.0;0.0;0.0;0.0;0.01;0.01;0.98
4.0;1.0;5.0;150.0;80.0;0.00149;0.0;0.0;0.0;0.0;1.0
5.0;1.0;5.0;150.0;40.0;0.098;0.0;0.0308;0.0308;0.2784;0.66
6.0;1.0;5.0;150.0;21.0;0.0987;0.0;0.0;0.0;0.0;1.0
7.0;1.0;5.0;150.0;17.0;0.08985;0.18316;0.18316;0.18316;0.18316;0.26734
8.0;1.0;5.0;150.0;65.0;0.02;0.0;0.0;0.0;0.47;0.53
9.0;1.0;5.0;150.0;28.0;0.13019;0.0;0.0;0.0;0.42978;0.57022
10.0;1.0;5.0;150.0;66.0;0.01953;0.0;0.0;0.05543;0.05543;0.88914
11.0;1.0;5.0;150.0;41.0;0.11214;0.02619;0.02619;0.02619;0.02619;0.89524
12.0;1.0;5.0;150.0;33.0;0.32203;0.0;0.0;0.0;0.0;1.0
13.0;1.0;5.0;150.0;46.0;0.07141;0.02416;0.02416;0.07005;0.38271;0.49892
14.0;1.0;5.0;150.0;7.0;0.16848;0.0;0.0;0.0;0.0;1.0
15.0;1.0;5.0;150.0;86.0;0.02774;-0.0;-0.0;-0.0;-0.0;1.0
16.0;1.0;5.0;150.0;62.0;0.0;0.0;0.0;0.0;0.0;1.0
17.0;1.0;5.0;150.0;9.0;0.41837;0.0;0.0;0.0;0.0;1.0
18.0;1.0;5.0;150.0;18.0;0.80508;0.2;0.2;0.2;0.2;0.2
19.0;1.0;5.0;150.0;30.0;0.185;0.0;0.0;0.0;0.41;0.59
20.0;1.0;5.0;150.0;17.0;0.08983;0.13083;0.13083;0.13083;0.13083;0.47667
21.0;1.0;5.0;150.0;16.0;0.17391;0.0;0.0;0.0;0.0;1.0
22.0;1.0;5.0;150.0;16.0;0.62712;0.0;0.0;0.0;0.0;1.0
23.0;1.0;5.0;150.0;26.0;0.73077;0.0;0.0;0.0;0.0;1.0
24.0;1.0;5.0;150.0;28.0;0.155;0.0;0.0;0.0;0.49;0.51
25.0;1.0;5.0;150.0;57.0;0.04866;0.0;0.0;0.2402;0.2402;0.5196
26.0;1.0;5.0;150.0;19.0;0.17391;0.0;0.0;0.0;0.0;1.0
27.0;1.0;5.0;150.0;9.0;0.33577;0.0;0.0;0.0;0.0;1.0
28.0;1.0;5.0;150.0;76.0;0.0002;0.0;0.0;0.0;0.0;1.0
29.0;1.0;5.0;150.0;64.0;0.05768;0.0;0.0;0.0;0.07623;0.92377
30.0;1.0;5.0;150.0;27.0;0.12405;0.00599;0.00599;0.00599;0.22297;0.75906
31.0;1.0;5.0;150.0;90.0;0.0002;0.0;0.0;0.0;0.0;1.0
32.0;1.0;5.0;150.0;44.0;0.06514;0.04123;0.04123;0.04123;0.04123;0.83509
33.0;1.0;5.0;150.0;39.0;0.15274;0.0;0.0;0.02;0.02;0.96
34.0;1.0;5.0;150.0;24.0;0.05909;0.11273;0.11273;0.11273;0.11273;0.54909
35.0;1.0;5.0;150.0;36.0;0.07396;0.0656;0.0656;0.0656;0.15698;0.64623
36.0;1.0;5.0;150.0;42.0;0.375;0.0;0.0;0.0;0.0;1.0
37.0;1.0;5.0;150.0;64.0;0.05604;0.0;0.0;0.0;0.0;1.0
38.0;1.0;5.0;150.0;40.0;0.08908;0.0;0.0;0.09041;0.45479;0.45479
39.0;1.0;5.0;150.0;63.0;0.04227;0.00909;0.00909;0.00909;0.19273;0.78
40.0;1.0;5.0;150.0;60.0;0.0102;0.0;0.0;0.0;0.5;0.5
41.0;1.0;5.0;150.0;15.0;0.025;0.09786;0.22554;0.22554;0.22554;0.22554
42.0;1.0;5.0;150.0;70.0;0.00695;0.01605;0.01605;0.01605;0.01605;0.93578
43.0;1.0;5.0;150.0;28.0;0.15041;0.0;0.0;0.0;0.39899;0.60101
44.0;1.0;5.0;150.0;65.0;0.00235;0.09824;0.09824;0.09824;0.11529;0.59
45.0;1.0;5.0;150.0;72.0;0.02845;0.0;0.0;0.0;0.27993;0.72007
46.0;1.0;5.0;150.0;63.0;0.03301;0.0;0.0;0.13447;0.43276;0.43276
47.0;1.0;5.0;150.0;77.0;0.00718;0.0;0.0;0.0;0.02256;0.97744
48.0;1.0;5.0;150.0;20.0;0.08175;0.15807;0.17368;0.17368;0.17368;0.32088
49.0;1.0;5.0;150.0;71.0;0.0102;0.0;0.0;0.0;0.0;1.0
50.0;1.0;5.0;150.0;11.0;0.09868;0.0;0.0;0.0;0.5;0.5
51.0;1.0;5.0;150.0;70.0;0.0002;0.0;0.0;0.0;0.0;1.0
52.0;1.0;5.0;150.0;78.0;0.0002;0.0;0.0;0.0;0.0;1.0
53.0;1.0;5.0;150.0;52.0;0.06743;0.0;0.0;0.0;0.32574;0.67426
