USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;CORRECT;UNCERTAIN;INCORRECT;CORRECTP;UNCERTAINP;INCORRECTP;CORRECT_UDISCARDEDP;TRAIN_TIME;THEORY
3;1;1;3;187;103;57;0;46;0.5533980582524272;0.0;0.44660194174757284;0.5533980582524272;23.959;:~ value(pc13,V1).[V1@1, V1] 
3;2;2;3;187;103;58;0;45;0.5631067961165048;0.0;0.4368932038834951;0.5631067961165048;31.418;:~ value(pc0,V1).[V1@1, V1] :~ value(pc13,V1).[V1@2, V1] 
3;3;3;3;187;103;57;0;46;0.5533980582524272;0.0;0.44660194174757284;0.5533980582524272;39.835;:~ value(pc13,V1).[V1@3, V1] :~ value(pc7,V1).[V1@2, V1] 
3;4;4;3;187;103;57;0;46;0.5533980582524272;0.0;0.44660194174757284;0.5533980582524272;48.601;:~ value(pc9,V1).[V1@3, V1] :~ value(pc13,V1).[V1@4, V1] 
3;5;5;3;187;103;57;0;46;0.5533980582524272;0.0;0.44660194174757284;0.5533980582524272;57.076;:~ value(pc2,V1).[-V1@3, V1] :~ value(pc13,V1).[V1@5, V1] :~ value(pc14,V1).[V1@4, V1] 
4;1;1;3;182;103;73;0;30;0.7087378640776699;0.0;0.2912621359223301;0.7087378640776699;16.15;:~ value(pc9,V1).[V1@1, V1] 
4;2;2;3;182;103;74;0;29;0.7184466019417476;0.0;0.2815533980582524;0.7184466019417476;19.535;:~ value(pc9,V1).[V1@2, V1] :~ value(pc8,V1).[V1@1, V1] 
4;3;3;3;182;103;74;0;29;0.7184466019417476;0.0;0.2815533980582524;0.7184466019417476;23.709;:~ value(pc9,V1).[V1@2, V1] :~ value(pc7,V1).[-V1@1, V1] 
4;4;4;3;182;103;74;0;29;0.7184466019417476;0.0;0.2815533980582524;0.7184466019417476;27.954;:~ value(pc7,V1).[-V1@3, V1] :~ value(pc9,V1).[V1@4, V1] 
4;5;5;3;182;103;74;0;29;0.7184466019417476;0.0;0.2815533980582524;0.7184466019417476;32.466;:~ value(pc8,V1).[V1@2, V1] :~ value(pc9,V1).[V1@3, V1] 
7;1;1;3;179;91;72;0;19;0.7912087912087912;0.0;0.2087912087912088;0.7912087912087912;16.306;:~ value(pc12,V1).[V1@1, V1] 
7;2;2;3;179;91;73;0;18;0.8021978021978022;0.0;0.1978021978021978;0.8021978021978022;18.638;:~ value(pc12,V1).[V1@2, V1] :~ value(pc7,V1).[V1@1, V1] 
7;3;3;3;179;91;73;0;18;0.8021978021978022;0.0;0.1978021978021978;0.8021978021978022;22.45;:~ value(pc7,V1).[V1@2, V1] :~ value(pc12,V1).[V1@3, V1] 
7;4;4;3;179;91;73;0;18;0.8021978021978022;0.0;0.1978021978021978;0.8021978021978022;26.191;:~ value(pc7,V1).[V1@2, V1] :~ value(pc12,V1).[V1@4, V1] 
7;5;5;3;179;91;72;0;19;0.7912087912087912;0.0;0.2087912087912088;0.7912087912087912;29.947;:~ value(pc3,V1).[-V1@3, V1] :~ value(pc12,V1).[V1@4, V1] 
