USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;1;5;3;45;105;0.485714316368103;0.19386595487594604;0.20175814628601074;4.821;:~ value(pc11,V1).[-V1@4, V1]:~ value(pc12,V1).[-V1@5, V1];0.071772963;2.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
1;1;5;3;45;105;0.5809523661931356;0.250410517056783;0.24143127600351968;6.531;:~ value(pc7,V1).[V1@1, V1];0.071772963;1.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
2;1;5;3;45;105;0.6952381134033203;0.3845500946044922;0.37068645159403485;4.432;:~ value(pc10,V1).[V1@4, V1]:~ value(pc13,V1).[V1@5, V1];0.071772963;2.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
3;1;5;3;45;105;0.7587301731109619;0.4225781758626302;0.4365079402923584;6.888;:~ value(pc5,V1).[V1@5, V1]:~ value(pc9,V1).[V1@1, V1];0.071772963;2.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
4;1;5;3;45;105;0.7587301731109619;0.5891912380854288;0.7585047086079916;7.923;:~ value(pc0,V1).[-V1@1, V1];0.071772963;1.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
5;1;5;3;45;105;0.7015872796376547;0.45170942942301434;0.35713326930999756;5.797;:~ value(pc2,V1).[-V1@5, V1]:~ value(pc0,V1).[-V1@1, V1];0.071772963;2.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
6;1;5;3;45;105;0.6507936716079712;0.27756555875142414;0.26695096492767334;6.596;:~ value(pc5,V1).[-V1@1, V1];0.071772963;1.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
7;1;5;3;45;105;0.6063491900761923;0.35226651032765705;0.41582489013671875;6.132;:~ value(pc5,V1).[-V1@5, V1]:~ value(pc6,V1).[-V1@2, V1];0.071772963;2.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
8;1;5;3;45;105;0.6253968079884847;0.3127975066502889;0.30255428949991864;6.182;:~ value(pc6,V1).[V1@5, V1]:~ value(pc14,V1).[V1@3, V1];0.071772963;2.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
9;1;5;3;45;105;0.5999999841054281;0.27544601758321124;0.27764644225438434;6.531;:~ value(pc3,V1).[-V1@3, V1]:~ value(pc9,V1).[-V1@5, V1];0.071772963;2.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
10;1;5;3;45;105;0.7079365253448486;0.3863636255264282;0.3762485980987549;4.855;:~ value(pc13,V1).[V1@1, V1];0.071772963;1.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
11;1;5;3;45;105;0.5428571303685507;0.22475822766621908;0.21111110846201578;4.654;:~ value(pc14,V1).[V1@5, V1];0.071772963;1.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
12;1;5;3;45;105;0.7587301731109619;0.43227513631184894;0.42611265182495117;5.928;:~ value(pc0,V1).[-V1@1, V1];0.071772963;1.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
13;1;5;3;45;105;0.6126983960469564;0.28080809116363525;0.2795865535736084;4.964;:~ value(pc7,V1).[-V1@1, V1]:~ value(pc2,V1).[-V1@2, V1];0.071772963;2.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
14;1;5;3;45;105;0.7777778307596842;0.4557371934254964;0.4417426586151123;7.182;:~ value(pc4,V1).[V1@5, V1]:~ value(pc0,V1).[-V1@4, V1];0.071772963;2.0;0.060964815;0.080011111;0.099838704;0.150821852;0.608363148
