USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
3;1;1;3;45;105;0.682539701461792;0.3702218532562256;0.3607932726542155;4.138;:~ value(pc8,V1).[-V1@1, V1] 
3;1;2;3;45;105;0.7777778307596842;0.4444444576899211;0.44291889667510986;5.252;:~ value(pc5,V1).[V1@2, V1] :~ value(pc10,V1).[-V1@1, V1] 
3;1;3;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;6.562;:~ value(pc5,V1).[V1@2, V1] :~ value(pc11,V1).[V1@1, V1] 
3;1;4;3;45;105;0.7714285850524902;0.4428104559580485;0.43707092603047687;8.781;:~ value(pc9,V1).[V1@1, V1] :~ value(pc5,V1).[V1@4, V1] 
3;1;5;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;10.084;:~ value(pc4,V1).[-V1@4, V1] :~ value(pc5,V1).[V1@5, V1] 
3;2;1;3;45;105;0.6952381134033203;0.3888889153798421;0.37948131561279297;3.791;:~ value(pc11,V1).[V1@1, V1] 
3;2;2;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;5.027;:~ value(pc11,V1).[V1@1, V1] :~ value(pc5,V1).[V1@2, V1] 
3;2;3;3;45;105;0.7777778307596842;0.4444444576899211;0.44291889667510986;6.823;:~ value(pc5,V1).[V1@3, V1] :~ value(pc10,V1).[-V1@2, V1] 
3;2;4;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;7.97;:~ value(pc5,V1).[V1@4, V1] :~ value(pc11,V1).[V1@2, V1] 
3;2;5;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;9.599;:~ value(pc4,V1).[-V1@4, V1] :~ value(pc5,V1).[V1@5, V1] 
3;3;1;3;45;105;0.682539701461792;0.3702218532562256;0.3607932726542155;4.113;:~ value(pc8,V1).[-V1@1, V1] 
3;3;2;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;5.072;:~ value(pc5,V1).[V1@2, V1] :~ value(pc11,V1).[V1@1, V1] 
3;3;3;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;6.716;:~ value(pc7,V1).[V1@2, V1] :~ value(pc5,V1).[V1@3, V1] 
3;3;4;3;45;105;0.7777778307596842;0.4444444576899211;0.44291889667510986;8.078;:~ value(pc10,V1).[-V1@3, V1] :~ value(pc5,V1).[V1@4, V1] 
3;3;5;3;45;105;0.7650793393452963;0.42943177620569867;0.43122299512227374;9.474;:~ value(pc0,V1).[V1@4, V1] :~ value(pc5,V1).[V1@5, V1] 
3;4;1;3;45;105;0.6952381134033203;0.3888889153798421;0.37948131561279297;3.913;:~ value(pc11,V1).[V1@1, V1] 
3;4;2;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;5.146;:~ value(pc5,V1).[V1@2, V1] :~ value(pc11,V1).[V1@1, V1] 
3;4;3;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;6.866;:~ value(pc5,V1).[V1@3, V1] :~ value(pc13,V1).[V1@1, V1] 
3;4;4;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;8.164;:~ value(pc5,V1).[V1@4, V1] :~ value(pc4,V1).[-V1@2, V1] 
3;4;5;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;9.288;:~ value(pc5,V1).[V1@5, V1] :~ value(pc11,V1).[V1@4, V1] 
3;5;1;3;45;105;0.6952381134033203;0.3888889153798421;0.37948131561279297;4.401;:~ value(pc11,V1).[V1@1, V1] 
3;5;2;3;45;105;0.7714285850524902;0.4428104559580485;0.43707092603047687;5.707;:~ value(pc5,V1).[V1@2, V1] :~ value(pc9,V1).[V1@1, V1] 
3;5;3;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;6.755;:~ value(pc5,V1).[V1@3, V1] :~ value(pc11,V1).[V1@2, V1] 
3;5;4;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;8.736;:~ value(pc11,V1).[V1@2, V1] :~ value(pc5,V1).[V1@4, V1] 
3;5;5;3;45;105;0.7714285850524902;0.4368044336636861;0.43707092603047687;10.248;:~ value(pc5,V1).[V1@5, V1] :~ value(pc4,V1).[-V1@4, V1] 
4;1;1;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;3.045;:~ value(pc15,V1).[-V1@1, V1] 
4;1;2;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;3.921;:~ value(pc15,V1).[-V1@1, V1] 
4;1;3;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;5.422;:~ value(pc15,V1).[-V1@1, V1] 
4;1;4;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;6.389;:~ value(pc15,V1).[-V1@4, V1] 
4;1;5;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;7.915;:~ value(pc15,V1).[-V1@1, V1] 
4;2;1;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;2.961;:~ value(pc15,V1).[-V1@1, V1] 
4;2;2;3;45;105;0.8031746546427408;0.4719387690226237;0.4800957441329956;4.408;:~ value(pc15,V1).[-V1@2, V1] :~ value(pc16,V1).[V1@1, V1] 
4;2;3;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;5.386;:~ value(pc15,V1).[-V1@1, V1] 
4;2;4;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;6.548;:~ value(pc15,V1).[-V1@1, V1] 
4;2;5;3;45;105;0.8031746546427408;0.4719387690226237;0.4800957441329956;8.167;:~ value(pc16,V1).[V1@2, V1] :~ value(pc15,V1).[-V1@5, V1] 
4;3;1;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;2.93;:~ value(pc15,V1).[-V1@1, V1] 
4;3;2;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;3.689;:~ value(pc15,V1).[-V1@1, V1] 
4;3;3;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;4.641;:~ value(pc15,V1).[-V1@1, V1] 
4;3;4;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;5.919;:~ value(pc15,V1).[-V1@1, V1] 
4;3;5;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;7.043;:~ value(pc15,V1).[-V1@1, V1] 
4;4;1;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;2.988;:~ value(pc15,V1).[-V1@1, V1] 
4;4;2;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;3.672;:~ value(pc15,V1).[-V1@1, V1] 
4;4;3;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;4.678;:~ value(pc15,V1).[-V1@1, V1] 
4;4;4;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;5.802;:~ value(pc15,V1).[-V1@1, V1] 
4;4;5;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;6.577;:~ value(pc15,V1).[-V1@1, V1] 
4;5;1;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;2.96;:~ value(pc15,V1).[-V1@1, V1] 
4;5;2;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;4.034;:~ value(pc15,V1).[-V1@1, V1] 
4;5;3;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;4.564;:~ value(pc15,V1).[-V1@1, V1] 
4;5;4;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;5.999;:~ value(pc15,V1).[-V1@1, V1] 
4;5;5;3;45;105;0.7714285850524902;0.46666669845581055;0.4486016432444255;6.419;:~ value(pc15,V1).[-V1@1, V1] 
7;1;1;3;45;105;0.5555555820465088;0.2171879212061564;0.23598051071166992;3.344;:~ value(pc8,V1).[V1@1, V1] 
7;1;2;3;45;105;0.644444465637207;0.3474235037962596;0.3861023982365926;4.356;:~ value(pc6,V1).[-V1@1, V1] :~ value(pc5,V1).[-V1@2, V1] 
7;1;3;3;45;105;0.644444465637207;0.3474235037962596;0.3861023982365926;5.56;:~ value(pc5,V1).[-V1@3, V1] :~ value(pc6,V1).[-V1@2, V1] 
7;1;4;3;45;105;0.644444465637207;0.3474235037962596;0.3861023982365926;6.156;:~ value(pc5,V1).[-V1@4, V1] :~ value(pc6,V1).[-V1@3, V1] 
7;1;5;3;45;105;0.6571428775787354;0.36151368419329327;0.40195051829020184;8.088;:~ value(pc5,V1).[-V1@5, V1] :~ value(pc15,V1).[-V1@4, V1] 
7;2;1;3;45;105;0.7904762427012125;0.45771535237630206;0.5269940694173177;3.094;:~ value(pc12,V1).[V1@1, V1] 
7;2;2;3;45;105;0.6634921232859293;0.36579225460688275;0.4076976776123047;3.984;:~ value(pc12,V1).[V1@1, V1] :~ value(pc5,V1).[-V1@2, V1] 
7;2;3;3;45;105;0.644444465637207;0.3474235037962596;0.3861023982365926;5.215;:~ value(pc6,V1).[-V1@2, V1] :~ value(pc5,V1).[-V1@3, V1] 
7;2;4;3;45;105;0.644444465637207;0.3540372848510742;0.3861023982365926;6.468;:~ value(pc5,V1).[-V1@4, V1] :~ value(pc2,V1).[V1@3, V1] 
7;2;5;3;45;105;0.644444465637207;0.3474235037962596;0.3861023982365926;8.318;:~ value(pc5,V1).[-V1@5, V1] :~ value(pc6,V1).[-V1@2, V1] 
7;3;1;3;45;105;0.644444465637207;0.3574982484181722;0.3861023982365926;3.203;:~ value(pc5,V1).[-V1@1, V1] 
7;3;2;3;45;105;0.644444465637207;0.3474235037962596;0.3861023982365926;4.171;:~ value(pc5,V1).[-V1@2, V1] :~ value(pc6,V1).[-V1@1, V1] 
7;3;3;3;45;105;0.6571428775787354;0.36151368419329327;0.40195051829020184;5.232;:~ value(pc1,V1).[-V1@2, V1] :~ value(pc5,V1).[-V1@3, V1] 
7;3;4;3;45;105;0.644444465637207;0.3540372848510742;0.3861023982365926;6.408;:~ value(pc2,V1).[V1@3, V1] :~ value(pc5,V1).[-V1@4, V1] 
7;3;5;3;45;105;0.644444465637207;0.3474235037962596;0.3861023982365926;7.626;:~ value(pc8,V1).[V1@4, V1] :~ value(pc5,V1).[-V1@5, V1] 
