USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;1;5;3;45;45;0.8962963422139486;0.5533063411712646;0.5773809750874838;7.077;:~ value(pc12,V1).[-V1@4, V1]:~ value(pc10,V1).[V1@3, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
1;1;5;3;45;45;0.8518518606821696;0.6897435983022054;0.8273809750874838;9.667;:~ value(pc7,V1).[V1@5, V1]:~ value(pc15,V1).[V1@1, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
2;1;5;3;45;45;0.8666666348775228;0.5525925954182943;0.5364145636558533;5.661;:~ value(pc13,V1).[V1@5, V1]:~ value(pc10,V1).[V1@2, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
3;1;5;3;45;45;0.8370370864868164;0.5151515007019043;0.5066666801770529;10.084;:~ value(pc4,V1).[-V1@4, V1]:~ value(pc5,V1).[V1@5, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
4;1;5;3;45;45;0.8666666348775228;0.5629629691441854;0.5438233216603597;7.915;:~ value(pc15,V1).[-V1@1, V1];0.067418889;1.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
5;1;5;3;45;45;0.9111111164093018;0.6025640964508057;0.5909090836842855;7.61;:~ value(pc13,V1).[-V1@5, V1]:~ value(pc2,V1).[-V1@3, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
6;1;5;3;45;45;0.7777778307596842;0.5490196148554484;0.776785691579183;9.102;:~ value(pc16,V1).[-V1@1, V1];0.067418889;1.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
7;1;5;3;45;45;0.8666666348775228;0.5861513614654541;0.5333333412806193;8.088;:~ value(pc5,V1).[-V1@5, V1]:~ value(pc15,V1).[-V1@4, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
8;1;5;3;45;45;0.7925926049550375;0.5168350140253702;0.4599999984105428;9.615;:~ value(pc3,V1).[V1@4, V1]:~ value(pc6,V1).[V1@5, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
9;1;5;3;45;45;0.8222222328186035;0.5112414360046387;0.4592934052149455;8.583;:~ value(pc9,V1).[-V1@5, V1]:~ value(pc10,V1).[-V1@3, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
10;1;5;3;45;45;0.8666667143503824;0.665656566619873;0.708695650100708;6.049;:~ value(pc13,V1).[V1@1, V1];0.067418889;1.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
11;1;5;3;45;45;0.8962963422139486;0.5879629453023275;0.5555555621782938;6.016;:~ value(pc14,V1).[V1@1, V1];0.067418889;1.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
12;1;5;3;45;45;0.7333333492279053;0.5811965862909952;0.7414669195810953;8.415;:~ value(pc0,V1).[-V1@5, V1];0.067418889;1.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
13;1;5;3;45;45;0.585185170173645;0.30324073632558185;0.2849462429682414;7.058;:~ value(pc2,V1).[-V1@4, V1]:~ value(pc14,V1).[-V1@3, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
14;1;5;3;45;45;0.7925926049550375;0.7326388359069824;0.5785984992980957;10.595;:~ value(pc4,V1).[V1@5, V1]:~ value(pc0,V1).[-V1@2, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
15;1;5;3;45;45;0.7925926049550375;0.5436507860819498;0.4523809552192688;8.199;:~ value(pc11,V1).[-V1@5, V1];0.067418889;1.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
16;1;5;3;45;45;0.8074073791503906;0.5849436124165853;0.6442028681437174;8.526;:~ value(pc3,V1).[V1@1, V1]:~ value(pc5,V1).[-V1@5, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
17;1;5;3;45;45;0.8370370070139567;0.5185185273488363;0.4888888994852702;7.977;:~ value(pc4,V1).[V1@5, V1]:~ value(pc10,V1).[V1@1, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
18;1;5;3;45;45;0.7629629770914713;0.5880094369252523;0.6481481393178304;6.852;:~ value(pc5,V1).[V1@1, V1];0.067418889;1.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
19;1;5;3;45;45;0.8222222328186035;0.49365079402923584;0.48002906640370685;8.541;:~ value(pc7,V1).[-V1@5, V1]:~ value(pc11,V1).[-V1@1, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
20;1;5;3;45;45;0.8222222328186035;0.5177777608235677;0.5173912843068441;7.713;:~ value(pc5,V1).[-V1@5, V1]:~ value(pc12,V1).[-V1@4, V1];0.067418889;2.0;0.061759074;0.083007037;0.106588704;0.194587407;0.554059444
