USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;1;5;3;45;45;0.9259258906046549;0.5931173960367838;0.5900000135103861;7.077;:~ value(pc12,V1).[-V1@4, V1] :~ value(pc10,V1).[V1@3, V1] 
1;1;5;3;45;45;0.8518518606821696;0.660683790842692;0.8263889153798422;9.667;:~ value(pc7,V1).[V1@5, V1] :~ value(pc15,V1).[V1@1, V1] 
2;1;5;3;45;45;0.9111111164093018;0.6081481377283732;0.5764163335164388;5.661;:~ value(pc13,V1).[V1@5, V1] :~ value(pc10,V1).[V1@2, V1] 
3;1;5;3;45;45;0.8666666348775228;0.5454545418421427;0.533730169137319;10.084;:~ value(pc4,V1).[-V1@4, V1] :~ value(pc5,V1).[V1@5, V1] 
4;1;5;3;45;45;0.8666666348775228;0.5629629691441854;0.5438233216603597;7.915;:~ value(pc15,V1).[-V1@1, V1] 
5;1;5;3;45;45;0.8962963422139486;0.5840455691019694;0.5619235833485922;7.61;:~ value(pc13,V1).[-V1@5, V1] :~ value(pc2,V1).[-V1@3, V1] 
6;1;5;3;45;45;0.7777778307596842;0.5490196148554484;0.776785691579183;9.102;:~ value(pc16,V1).[-V1@1, V1] 
7;1;5;3;45;45;0.8814814885457357;0.6046698888142904;0.550000011920929;8.088;:~ value(pc5,V1).[-V1@5, V1] :~ value(pc15,V1).[-V1@4, V1] 
8;1;5;3;45;45;0.8222222328186035;0.5471380551656088;0.4938271641731262;9.615;:~ value(pc3,V1).[V1@4, V1] :~ value(pc6,V1).[V1@5, V1] 
9;1;5;3;45;45;0.8518518606821696;0.5522971550623575;0.4859943985939026;8.583;:~ value(pc9,V1).[-V1@5, V1] :~ value(pc10,V1).[-V1@3, V1] 
10;1;5;3;45;45;0.8666667143503824;0.665656566619873;0.708695650100708;6.049;:~ value(pc13,V1).[V1@1, V1] 
11;1;5;3;45;45;0.8962963422139486;0.5879629453023275;0.5555555621782938;6.016;:~ value(pc14,V1).[V1@1, V1] 
12;1;5;3;45;45;0.7333333492279053;0.5811965862909952;0.7414669195810953;8.415;:~ value(pc0,V1).[-V1@5, V1] 
13;1;5;3;45;45;0.8962963422139486;0.604938268661499;0.565217395623525;7.058;:~ value(pc2,V1).[-V1@4, V1] :~ value(pc14,V1).[-V1@3, V1] 
