USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;1;5;3;45;105;0.5047618945439657;0.19979296127955118;0.1587301641702652;7.077;:~ value(pc12,V1).[-V1@4, V1] :~ value(pc10,V1).[V1@3, V1] 
1;1;5;3;45;105;0.5873016119003296;0.25615763664245605;0.2444444497426351;9.667;:~ value(pc7,V1).[V1@5, V1] :~ value(pc15,V1).[V1@1, V1] 
2;1;5;3;45;105;0.682539701461792;0.3704018195470174;0.34749455253283185;5.661;:~ value(pc13,V1).[V1@5, V1] :~ value(pc10,V1).[V1@2, V1] 
3;1;5;3;45;105;0.7714285850524902;0.43707092603047687;0.4368044336636861;10.084;:~ value(pc4,V1).[-V1@4, V1] :~ value(pc5,V1).[V1@5, V1] 
4;1;5;3;45;105;0.7714285850524902;0.4486016432444255;0.46666669845581055;7.915;:~ value(pc15,V1).[-V1@1, V1] 
5;1;5;3;45;105;0.5873016119003296;0.3175213734308879;0.2531446615854899;7.61;:~ value(pc13,V1).[-V1@5, V1] :~ value(pc2,V1).[-V1@3, V1] 
6;1;5;3;45;105;0.5809524059295654;0.27578304211298627;0.26937458912531537;9.102;:~ value(pc16,V1).[-V1@1, V1] 
7;1;5;3;45;105;0.6571428775787354;0.40195051829020184;0.36151368419329327;8.088;:~ value(pc5,V1).[-V1@5, V1] :~ value(pc15,V1).[-V1@4, V1] 
8;1;5;3;45;105;0.6571428775787354;0.33632532755533856;0.320175439119339;9.615;:~ value(pc3,V1).[V1@4, V1] :~ value(pc6,V1).[V1@5, V1] 
9;1;5;3;45;105;0.5873016119003296;0.26338082551956177;0.25447093447049457;8.583;:~ value(pc9,V1).[-V1@5, V1] :~ value(pc10,V1).[-V1@3, V1] 
10;1;5;3;45;105;0.7079365253448486;0.3863636255264282;0.3762485980987549;6.049;:~ value(pc13,V1).[V1@1, V1] 
11;1;5;3;45;105;0.5428571303685507;0.22475822766621908;0.21111110846201578;6.016;:~ value(pc14,V1).[V1@1, V1] 
12;1;5;3;45;105;0.7587301731109619;0.43227513631184894;0.42611265182495117;8.415;:~ value(pc0,V1).[-V1@5, V1] 
13;1;5;3;45;105;0.8285714785257975;0.5045454502105713;0.4945533871650696;7.058;:~ value(pc2,V1).[-V1@4, V1] :~ value(pc14,V1).[-V1@3, V1] 
14;1;5;3;45;105;0.7650793393452963;0.47753719488779706;0.4496438304583232;10.595;:~ value(pc4,V1).[V1@5, V1] :~ value(pc0,V1).[-V1@2, V1] 
15;1;5;3;45;105;0.644444465637207;0.3125875989596049;0.30218855539957684;8.199;:~ value(pc11,V1).[-V1@5, V1] 
16;1;5;3;45;105;0.7333333492279053;0.43876099586486816;0.41505634784698486;8.526;:~ value(pc3,V1).[V1@1, V1] :~ value(pc5,V1).[-V1@5, V1] 
17;1;5;3;45;105;0.7523810068766276;0.4703703721364339;0.43355440100034076;7.977;:~ value(pc4,V1).[V1@5, V1] :~ value(pc10,V1).[V1@1, V1] 
18;1;5;3;45;105;0.6507936716079712;0.3037037154038747;0.31243781248728436;6.852;:~ value(pc5,V1).[V1@1, V1] 
19;1;5;3;45;105;0.6253968079884847;0.29224536816279095;0.2796296377976735;8.541;:~ value(pc7,V1).[-V1@5, V1] :~ value(pc11,V1).[-V1@1, V1] 
