USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];1.0;1.0;1.0;0.0;0.0;0.0;0.0
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];0.95;1.0;1.0;0.0;0.0;0.0;0.0
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];0.9;1.0;1.0;0.0;0.0;0.0;0.0
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];0.85;1.0;1.0;0.0;0.0;0.0;0.0
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];0.8;1.0;1.0;0.0;0.0;0.0;0.0
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];0.75;1.0;1.0;0.0;0.0;0.0;0.0
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];0.7;1.0;1.0;0.0;0.0;0.0;0.0
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];0.65;1.0;1.0;0.0;0.0;0.0;0.0
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];0.6;1.0;1.0;0.0;0.0;0.0;0.0
4;1;1;3;190;105;0.7968254089355469;0.4701436360677083;0.47364338239034015;22.491;:~ value(pc9,V1).[V1@1, V1];0.55;1.0;1.0;0.0;0.0;0.0;0.0
