USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;1;5;3;157;53;0.6855346361796061;0.4047619104385376;0.3625992139180501;29.276;:~ value(pc9,V1).[-V1@1, V1] :~ value(pc8,V1).[-V1@2, V1] 
1;1;5;3;157;53;0.6352201302846273;0.3736263910929362;0.34090909361839294;33.577;:~ value(pc9,V1).[V1@1, V1] :~ value(pc8,V1).[-V1@2, V1] 
2;1;5;3;157;53;0.7358490626017252;0.42222221692403156;0.39613527059555054;41.073;:~ value(pc1,V1).[-V1@1, V1] 
3;1;5;3;157;53;0.7735849221547445;0.4277777671813965;0.40529101093610126;37.436;:~ value(pc5,V1).[V1@5, V1] :~ value(pc7,V1).[V1@2, V1] 
4;1;5;3;157;53;0.6855345567067465;0.4259259303410848;0.367337167263031;20.611;:~ value(pc9,V1).[V1@5, V1] :~ value(pc6,V1).[-V1@4, V1] 
5;1;5;3;157;53;0.6855345567067465;0.4270833333333333;0.38131313522656757;27.557;:~ value(pc8,V1).[V1@5, V1] :~ value(pc9,V1).[-V1@4, V1] 
6;1;5;3;157;53;0.7735849221547445;0.4442577362060547;0.426086962223053;37.67;:~ value(pc6,V1).[-V1@1, V1] :~ value(pc2,V1).[-V1@5, V1] 
7;1;5;3;157;53;0.7735849221547445;0.4549019734064738;0.4127967059612274;27.051;:~ value(pc1,V1).[V1@1, V1] :~ value(pc7,V1).[V1@2, V1] 
8;1;5;3;157;53;0.7106918493906657;0.45868945121765137;0.38380809624989826;27.423;:~ value(pc0,V1).[-V1@5, V1] 
9;1;5;3;157;53;0.6855346361796061;0.40656566619873047;0.35565051436424255;21.538;:~ value(pc2,V1).[-V1@5, V1] :~ value(pc1,V1).[V1@4, V1] 
10;1;5;3;157;53;0.7484277089436849;0.4513889153798421;0.40565134088198346;26.636;:~ value(pc0,V1).[V1@5, V1] :~ value(pc1,V1).[V1@3, V1] 
11;1;5;3;157;53;0.8742138544718424;0.5327327251434326;0.5119825800259908;20.929;:~ value(pc4,V1).[V1@1, V1] :~ value(pc7,V1).[V1@5, V1] 
