USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;1;1;3;157;53;0.597484270731608;0.3089133103688558;0.27195767561594647;19.954;:~ value(pc13,V1).[V1@1, V1] 
0;2;2;3;157;53;0.597484270731608;0.3089133103688558;0.27195767561594647;27.121;:~ value(pc12,V1).[-V1@1, V1] :~ value(pc13,V1).[V1@2, V1] 
0;3;3;3;157;53;0.597484270731608;0.3089133103688558;0.27195767561594647;33.942;:~ value(pc13,V1).[V1@3, V1] :~ value(pc1,V1).[V1@2, V1] 
0;4;4;3;157;53;0.597484270731608;0.3089133103688558;0.27195767561594647;41.156;:~ value(pc13,V1).[V1@4, V1] :~ value(pc1,V1).[V1@3, V1] 
0;5;5;3;157;53;0.597484270731608;0.3089133103688558;0.27195767561594647;48.134;:~ value(pc13,V1).[V1@5, V1] :~ value(pc12,V1).[-V1@4, V1] 
1;1;1;3;157;53;0.710691769917806;0.49523810545603436;0.4070010185241699;18.245;:~ value(pc13,V1).[V1@1, V1] 
1;2;2;3;157;53;0.7232704162597656;0.5047619342803955;0.40531400839487713;24.433;:~ value(pc5,V1).[-V1@1, V1] :~ value(pc13,V1).[V1@2, V1] 
1;3;3;3;157;53;0.7232704162597656;0.5047619342803955;0.40531400839487713;30.36;:~ value(pc13,V1).[V1@3, V1] :~ value(pc7,V1).[-V1@2, V1] 
1;4;4;3;157;53;0.710691769917806;0.49523810545603436;0.4070010185241699;36.799;:~ value(pc13,V1).[V1@4, V1] 
1;5;5;3;157;53;0.7232704162597656;0.5047619342803955;0.40531400839487713;42.198;:~ value(pc3,V1).[V1@4, V1] :~ value(pc13,V1).[V1@5, V1] 
2;1;1;3;157;53;0.6603773434956869;0.36666667461395264;0.35635964075724286;21.373;:~ value(pc11,V1).[V1@1, V1] 
2;2;2;3;157;53;0.6603773434956869;0.36666667461395264;0.35194047292073566;27.428;:~ value(pc5,V1).[-V1@1, V1] :~ value(pc11,V1).[V1@2, V1] 
2;3;3;3;157;53;0.6603773434956869;0.36666667461395264;0.3477812111377716;35.212;:~ value(pc6,V1).[-V1@2, V1] :~ value(pc11,V1).[V1@3, V1] 
2;4;4;3;157;53;0.6855345567067465;0.3888888756434123;0.3680555621782939;43.012;:~ value(pc0,V1).[-V1@1, V1] :~ value(pc11,V1).[V1@4, V1] 
2;5;5;3;157;53;0.6855345567067465;0.3888888756434123;0.3680555621782939;49.799;:~ value(pc11,V1).[V1@5, V1] :~ value(pc10,V1).[-V1@4, V1] 
3;1;1;3;157;53;0.7232704162597656;0.3648147980372111;0.3648147980372111;19.986;:~ value(pc11,V1).[-V1@1, V1] 
3;2;2;3;157;53;0.7232704162597656;0.3648147980372111;0.3648147980372111;25.657;:~ value(pc11,V1).[-V1@1, V1] 
3;3;3;3;157;53;0.7232704162597656;0.3648147980372111;0.3648147980372111;32.767;:~ value(pc11,V1).[-V1@3, V1] 
3;4;4;3;157;53;0.7232704162597656;0.3648147980372111;0.3648147980372111;39.354;:~ value(pc11,V1).[-V1@4, V1] 
3;5;5;3;157;53;0.7232704162597656;0.3648147980372111;0.3648147980372111;46.327;:~ value(pc11,V1).[-V1@5, V1] 
4;1;1;3;157;53;0.6855345567067465;0.4259259303410848;0.367337167263031;14.51;:~ value(pc9,V1).[V1@1, V1] 
4;2;2;3;157;53;0.6855345567067465;0.4259259303410848;0.367337167263031;18.79;:~ value(pc1,V1).[-V1@1, V1] :~ value(pc9,V1).[V1@2, V1] 
4;3;3;3;157;53;0.6855345567067465;0.4259259303410848;0.367337167263031;22.47;:~ value(pc9,V1).[V1@3, V1] :~ value(pc6,V1).[-V1@2, V1] 
4;4;4;3;157;53;0.6855345567067465;0.4259259303410848;0.367337167263031;26.915;:~ value(pc14,V1).[-V1@3, V1] :~ value(pc9,V1).[V1@4, V1] 
4;5;5;3;157;53;0.6855345567067465;0.4259259303410848;0.367337167263031;31.61;:~ value(pc9,V1).[V1@5, V1] :~ value(pc6,V1).[-V1@3, V1] 
5;1;1;3;157;53;0.7861635684967041;0.4791666666666667;0.45098042488098145;14.24;:~ value(pc12,V1).[V1@1, V1] 
5;2;2;3;157;53;0.8113207817077637;0.5104166666666666;0.46084656318028766;18.756;:~ value(pc10,V1).[-V1@1, V1] :~ value(pc12,V1).[V1@2, V1] 
