USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;1;5;3;157;157;0.7367304166158041;0.44270531336466473;0.41177137692769367;36.206;:~ value(pc13,V1).[V1@2, V1] :~ value(pc1,V1).[V1@1, V1] 
1;1;5;3;157;157;0.7367304166158041;0.5104761918385824;0.5329077243804932;30.898;:~ value(pc13,V1).[V1@5, V1] 
2;1;5;3;157;157;0.7579618295033773;0.4478445847829183;0.42895909150441486;36.398;:~ value(pc10,V1).[-V1@2, V1] :~ value(pc11,V1).[V1@5, V1] 
3;1;5;3;157;157;0.7239915529886881;0.4174603223800659;0.5272727012634277;56.002;:~ value(pc11,V1).[-V1@5, V1] 
4;1;5;3;157;157;0.8089172045389811;0.5486486355463663;0.46537291010220844;37.428;:~ value(pc9,V1).[V1@5, V1] :~ value(pc1,V1).[-V1@4, V1] 
5;1;5;3;157;157;0.7707006931304932;0.48636436462402344;0.42228756348292035;25.865;:~ value(pc7,V1).[-V1@3, V1] :~ value(pc12,V1).[V1@5, V1] 
6;1;5;3;157;157;0.7282377878824869;0.43939391771952313;0.38594771424929303;41.552;:~ value(pc4,V1).[V1@4, V1] :~ value(pc11,V1).[V1@5, V1] 
7;1;5;3;157;157;0.7622080643971761;0.4834635655085246;0.41992825269699097;44.118;:~ value(pc7,V1).[V1@5, V1] :~ value(pc12,V1).[-V1@3, V1] 
8;1;5;3;157;157;0.7579618295033773;0.5092078049977621;0.6727596124013265;30.492;:~ value(pc0,V1).[-V1@5, V1] 
9;1;5;3;157;157;0.8089172045389811;0.5381642580032349;0.43997708956400555;23.908;:~ value(pc1,V1).[V1@2, V1] :~ value(pc2,V1).[-V1@5, V1] 
10;1;5;3;157;157;0.7622080643971761;0.48737374941507977;0.42805365721384686;30.303;:~ value(pc5,V1).[-V1@4, V1] :~ value(pc0,V1).[V1@5, V1] 
11;1;5;3;157;157;0.8301486174265543;0.508516788482666;0.4794551531473796;32.05;:~ value(pc5,V1).[V1@1, V1] :~ value(pc7,V1).[V1@2, V1] 
12;1;5;3;157;157;0.7537155151367188;0.4735846519470215;0.5716845989227295;28.335;:~ value(pc1,V1).[-V1@1, V1] 
13;1;5;3;157;157;0.7707006136576334;0.47246376673380536;0.4253420829772949;31.25;:~ value(pc14,V1).[V1@4, V1] :~ value(pc12,V1).[-V1@3, V1] 
14;1;5;3;157;157;0.7282377878824869;0.5731062094370524;0.5499419371287028;55.744;:~ value(pc2,V1).[-V1@3, V1] 
15;1;5;3;157;157;0.7961783409118652;0.5024529298146566;0.43185041348139447;34.346;:~ value(pc0,V1).[-V1@5, V1] :~ value(pc2,V1).[-V1@4, V1] 
16;1;5;3;157;157;0.7537155151367188;0.46646777788798016;0.4149815042813619;33.074;:~ value(pc5,V1).[-V1@5, V1] :~ value(pc13,V1).[-V1@4, V1] 
17;1;5;3;157;157;0.7579617500305176;0.43603889147440594;0.40877193212509155;36.19;:~ value(pc3,V1).[V1@4, V1] :~ value(pc13,V1).[-V1@5, V1] 
18;1;5;3;157;157;0.7239915529886881;0.4008029301961263;0.6612661679585775;33.449;:~ value(pc1,V1).[-V1@5, V1] 
19;1;5;3;157;157;0.7707006136576334;0.5210944016774496;0.7245264053344727;26.84;:~ value(pc1,V1).[V1@5, V1] 
20;1;5;3;157;157;0.7452229658762614;0.4508950312932332;0.39807838201522827;58.933;:~ value(pc0,V1).[-V1@3, V1] :~ value(pc2,V1).[-V1@5, V1] 
21;1;5;3;157;157;0.7707006136576334;0.5217161178588867;0.5393009583155314;28.624;:~ value(pc2,V1).[-V1@1, V1] 
22;1;5;3;157;157;0.7367303371429443;0.4628860155741374;0.41483592987060547;30.744;:~ value(pc10,V1).[-V1@1, V1] 
23;1;5;3;157;157;0.6857749621073405;0.4214150110880534;0.32902156313260394;32.613;:~ value(pc4,V1).[-V1@1, V1] :~ value(pc14,V1).[-V1@4, V1] 
24;1;5;3;157;157;0.7622080643971761;0.47015873591105145;0.4085337817668915;31.805;:~ value(pc5,V1).[-V1@5, V1] :~ value(pc9,V1).[-V1@4, V1] 
25;1;5;3;157;157;0.7027600606282552;0.399349848429362;0.3434707820415497;37.814;:~ value(pc2,V1).[V1@4, V1] :~ value(pc7,V1).[V1@5, V1] 
26;1;5;3;157;157;0.7409766515096029;0.453974445660909;0.40415650606155396;31.737;:~ value(pc13,V1).[V1@4, V1] :~ value(pc14,V1).[-V1@5, V1] 
27;1;5;3;157;157;0.7791932423909506;0.5064814885457357;0.6009724140167236;31.219;:~ value(pc6,V1).[-V1@5, V1] 
28;1;5;3;157;157;0.7027600606282552;0.3950483004252116;0.3367188423871994;40.217;:~ value(pc5,V1).[-V1@5, V1] :~ value(pc14,V1).[V1@3, V1] 
29;1;5;3;157;157;0.8131635189056396;0.5189200639724731;0.4668324987093608;34.053;:~ value(pc9,V1).[-V1@1, V1] :~ value(pc7,V1).[-V1@5, V1] 
30;1;5;3;157;157;0.6900211970011393;0.4196428457895915;0.35193415482838947;40.451;:~ value(pc11,V1).[V1@1, V1] 
31;1;5;3;157;157;0.7197452386220297;0.2760295271873474;0.28829680507381755;39.082;:~ value(pc5,V1).[-V1@4, V1] :~ value(pc2,V1).[-V1@3, V1] 
32;1;5;3;157;157;0.7791931629180908;0.496256947517395;0.4300614794095357;41.779;:~ value(pc14,V1).[V1@2, V1] :~ value(pc11,V1).[-V1@5, V1] 
33;1;5;3;157;157;0.7537155151367188;0.49825020631154376;0.38344988723595935;36.076;:~ value(pc4,V1).[V1@2, V1] :~ value(pc13,V1).[-V1@5, V1] 
34;1;5;3;157;157;0.7409766515096029;0.47791274388631183;0.3892828921477;31.243;:~ value(pc3,V1).[V1@5, V1] :~ value(pc14,V1).[-V1@2, V1] 
35;1;5;3;157;157;0.7494692007700602;0.4525599479675293;0.4061850110689799;32.381;:~ value(pc6,V1).[-V1@5, V1] :~ value(pc10,V1).[-V1@4, V1] 
36;1;5;3;157;157;0.7070063749949137;0.5071759223937988;0.36796748638153076;48.879;:~ value(pc14,V1).[V1@4, V1] :~ value(pc11,V1).[-V1@5, V1] 
37;1;5;3;157;157;0.7537155151367188;0.48166481653849286;0.39643139640490216;32.732;:~ value(pc11,V1).[-V1@3, V1] :~ value(pc13,V1).[-V1@5, V1] 
38;1;5;3;157;157;0.7154989242553711;0.43623820940653485;0.3803877035776774;35.614;:~ value(pc14,V1).[-V1@2, V1] :~ value(pc1,V1).[V1@5, V1] 
39;1;5;3;157;157;0.7324841022491455;0.47041845321655273;0.37619535128275555;28.609;:~ value(pc4,V1).[-V1@4, V1] :~ value(pc13,V1).[-V1@5, V1] 
40;1;5;3;157;157;0.7197452386220297;0.44927533467610675;0.39399869243303937;35.526;:~ value(pc5,V1).[-V1@5, V1] :~ value(pc0,V1).[-V1@4, V1] 
41;1;5;3;157;157;0.7791932423909506;0.4628019332885742;0.4053216278553009;31.654;:~ value(pc12,V1).[-V1@4, V1] :~ value(pc10,V1).[V1@5, V1] 
