USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;1;5;3;157;157;0.7282377878824869;0.4334299564361572;0.4121939738591512;79.887;:~ value(pc13,V1).[V1@5, V1]:~ value(pc19,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
1;1;5;3;157;157;0.7154989242553711;0.4657142957051595;0.40909091631571454;73.618;:~ value(pc13,V1).[V1@5, V1]:~ value(pc5,V1).[-V1@3, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
2;1;5;3;157;157;0.6900211970011393;0.3744990825653076;0.361638347307841;81.29;:~ value(pc11,V1).[V1@5, V1]:~ value(pc13,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
3;1;5;3;157;157;0.7239915529886881;0.43711264928181964;0.39487095673878986;67.344;:~ value(pc19,V1).[-V1@5, V1]:~ value(pc10,V1).[V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
4;1;5;3;157;157;0.8046708901723226;0.5515970389048258;0.467040220896403;34.414;:~ value(pc9,V1).[V1@5, V1]:~ value(pc6,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
5;1;5;3;157;157;0.7919320265452067;0.52625838915507;0.4664289951324463;52.725;:~ value(pc10,V1).[-V1@3, V1]:~ value(pc12,V1).[V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
6;1;5;3;157;157;0.6985138257344564;0.4362674554189046;0.5344769954681396;78.454;:~ value(pc11,V1).[V1@5, V1]:~ value(pc6,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
7;1;5;3;157;157;0.7367304166158041;0.4493645826975505;0.3989233175913493;53.002;:~ value(pc7,V1).[V1@5, V1]:~ value(pc11,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
8;1;5;3;157;157;0.7579618295033773;0.5092078049977621;0.6727596124013265;60.897;:~ value(pc0,V1).[-V1@5, V1];0.065123889;1.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
9;1;5;3;157;157;0.7664543787638346;0.5009661515553793;0.4193316698074341;49.479;:~ value(pc2,V1).[-V1@5, V1]:~ value(pc1,V1).[V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
10;1;5;3;157;157;0.7112526893615723;0.42171716690063477;0.37719297409057617;60.745;:~ value(pc0,V1).[V1@5, V1]:~ value(pc5,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
11;1;5;3;157;157;0.8301486174265543;0.5123165448506674;0.49043552080790204;32.568;:~ value(pc7,V1).[V1@5, V1]:~ value(pc16,V1).[-V1@2, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
12;1;5;3;157;157;0.7537155151367188;0.4735846519470215;0.5716845989227295;60.248;:~ value(pc1,V1).[-V1@1, V1];0.065123889;1.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
13;1;5;3;157;157;0.7324840227762858;0.45420289039611816;0.4148600101470947;61.075;:~ value(pc14,V1).[V1@5, V1]:~ value(pc8,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
14;1;5;3;157;157;0.6645435492197672;0.35591689745585126;0.3316122690836589;53.339;:~ value(pc3,V1).[V1@5, V1]:~ value(pc14,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
