USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
0;1;5;3;157;53;0.6477987766265869;0.3724053700764974;0.3604336082935333;79.887;:~ value(pc13,V1).[V1@5, V1]:~ value(pc19,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
1;1;5;3;157;53;0.7232704162597656;0.5135531425476074;0.5244229634602865;73.618;:~ value(pc13,V1).[V1@5, V1]:~ value(pc5,V1).[-V1@3, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
2;1;5;3;157;53;0.6352201302846273;0.3333333333333333;0.3195084532101949;81.29;:~ value(pc11,V1).[V1@5, V1]:~ value(pc13,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
3;1;5;3;157;53;0.7232704162597656;0.4037036895751953;0.3892372051874797;67.344;:~ value(pc19,V1).[-V1@5, V1]:~ value(pc10,V1).[V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
4;1;5;3;157;53;0.710691769917806;0.4444444179534912;0.3951149384180705;34.414;:~ value(pc9,V1).[V1@5, V1]:~ value(pc6,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
5;1;5;3;157;53;0.7484277089436849;0.4895833333333333;0.42307694753011066;52.725;:~ value(pc10,V1).[-V1@3, V1]:~ value(pc12,V1).[V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
6;1;5;3;157;53;0.698113203048706;0.3770308494567871;0.38851726055145264;78.454;:~ value(pc11,V1).[V1@5, V1]:~ value(pc6,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
7;1;5;3;157;53;0.7358490626017252;0.4130719105402629;0.38277514775594074;53.002;:~ value(pc7,V1).[V1@5, V1]:~ value(pc11,V1).[-V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
8;1;5;3;157;53;0.7106918493906657;0.45868945121765137;0.38380809624989826;60.897;:~ value(pc0,V1).[-V1@5, V1];0.065123889;1.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
9;1;5;3;157;53;0.7735849221547445;0.5597643057505289;0.7559523582458496;49.479;:~ value(pc2,V1).[-V1@5, V1]:~ value(pc1,V1).[V1@4, V1];0.065123889;2.0;0.016088333;0.03215963;0.045430185;0.152998148;0.753323704
