USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;CORRECT;UNCERTAIN;INCORRECT;CORRECTP;UNCERTAINP;INCORRECTP;CORRECT_UDISCARDEDP;TRAIN_TIME;THEORY
3;1;1;3;143;51;27;0;24;0.5294117647058824;0.0;0.47058823529411764;0.5294117647058824;2.348;:~ value(pc1,V1).[V1@1, V1] 
3;2;2;3;143;51;27;0;24;0.5294117647058824;0.0;0.47058823529411764;0.5294117647058824;3.736;:~ value(pc1,V1).[V1@2, V1] :~ value(pc3,V1).[-V1@1, V1] 
3;3;3;3;143;51;27;0;24;0.5294117647058824;0.0;0.47058823529411764;0.5294117647058824;4.574;:~ value(pc1,V1).[V1@1, V1] 
3;4;4;3;143;51;27;0;24;0.5294117647058824;0.0;0.47058823529411764;0.5294117647058824;5.416;:~ value(pc1,V1).[V1@1, V1] 
3;5;5;3;143;51;27;0;24;0.5294117647058824;0.0;0.47058823529411764;0.5294117647058824;6.313;:~ value(pc1,V1).[V1@5, V1] :~ value(pc4,V1).[-V1@4, V1] 
4;1;1;3;147;48;28;0;20;0.5833333333333334;0.0;0.4166666666666667;0.5833333333333334;2.363;:~ value(pc0,V1).[-V1@1, V1] 
4;2;2;3;147;48;29;0;19;0.6041666666666666;0.0;0.3958333333333333;0.6041666666666666;3.599;:~ value(pc1,V1).[-V1@1, V1] :~ value(pc0,V1).[-V1@2, V1] 
4;3;3;3;147;48;29;0;19;0.6041666666666666;0.0;0.3958333333333333;0.6041666666666666;4.484;:~ value(pc0,V1).[-V1@2, V1] :~ value(pc4,V1).[-V1@1, V1] 
4;4;4;3;147;48;29;0;19;0.6041666666666666;0.0;0.3958333333333333;0.6041666666666666;5.365;:~ value(pc1,V1).[-V1@1, V1] :~ value(pc0,V1).[-V1@2, V1] 
4;5;5;3;147;48;29;0;19;0.6041666666666666;0.0;0.3958333333333333;0.6041666666666666;6.158;:~ value(pc0,V1).[-V1@4, V1] :~ value(pc4,V1).[-V1@2, V1] 
