USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;45;1;0.9444444;0.8472222;0.9027778;1.0;0.0;1.0;0.8918919;0;0.8;0.8981481393178304;0.6666666666666666;0.5639639695485433;8.968
3;1;5;3;45;1;0.8877551;0.74489796;0.7346939;0.8627451;0.041666668;0.95652175;0.9166667;0.33333334;0.4680851;0.7891155878702799;0.6203111807505289;0.5726950168609619;210.358
32;1;5;3;45;1;0.8020833;0.65625;0.75;0.8333333;0.25;0.9;0.6976744;0.7692308;0.45;0.7361110846201578;0.661111076672872;0.6389683882395426;93.655
7;1;5;3;45;1;0.81;0.81;0.88;0.9230769;0.25;0.8292683;0.6923077;0.5555556;0.8717949;0.8333333333333334;0.667448361714681;0.7065527439117432;5.6
36;1;5;3;45;1;0.82653064;0.7244898;0.8367347;0.8235294;0.34615386;0.81578946;0.71794873;0.47368422;0.775;0.7959183851877848;0.6618242263793945;0.6555443207422892;214.9
4;1;5;3;45;1;0.74725276;0.7032967;0.8681319;0.93939394;0.08;0.8181818;0.59615386;0.33333334;0.8181818;0.7728937466939291;0.612525224685669;0.5825563271840414;27.095
20;1;5;3;45;1;0.8235294;0.8117647;0.89411765;0.90909094;0.0625;0.9444444;0.71428573;0.5;0.8292683;0.843137264251709;0.6386784712473551;0.6811846892038981;5.061
29;1;5;3;45;1;0.86734694;0.78571427;0.8367347;0.9268293;0.045454547;0.9714286;0.7916667;1.0;0.6938776;0.8299319744110107;0.6479041576385498;0.8285147349039713;196.649
14;1;5;3;45;1;0.7777778;0.74747473;0.8484849;0.96428573;0.04;0.8695652;0.5625;0.5;0.81632656;0.7912457784016927;0.6246169408162435;0.6262755393981934;105.104
11;1;5;3;45;1;0.8;0.82;0.78;0.74;0.05882353;0.969697;0.84090906;0.33333334;0.6037736;0.8000000317891439;0.5895068645477295;0.5926719903945923;195.839
