USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;105;1;0.9305556;0.9305556;1.0;1.0;0.0;1.0;0.8684211;0;1.0;0.9537037213643392;0.6666666666666666;0.6228070259094238;209.285
3;1;5;3;105;1;0.8484849;0.7979798;0.8484849;0.875;0.1;0.9677419;0.8235294;0.5;0.6818182;0.8316497802734375;0.647580623626709;0.6684492429097494;59.097
32;1;5;3;105;1;0.75510204;0.78571427;0.8469388;0.74545455;0.3888889;0.8;0.8039216;0.4117647;0.6666667;0.7959183851877848;0.6447811126708984;0.6274510224660238;220.351
7;1;5;3;105;1;0.87;0.85;0.86;0.825;0.2;0.88;0.84615386;0.22222222;0.84615386;0.8599999745686849;0.6349999904632568;0.6381766398747762;6.174
36;1;5;3;105;1;0.9183673;0.85714287;0.8367347;0.9130435;0.44444445;0.85294116;0.9130435;0.6666667;0.725;0.8707482814788818;0.7368097305297852;0.7682367960611979;6.03
4;1;5;3;105;1;0.88297874;0.84042555;0.82978725;0.89361703;0.1875;0.9032258;0.875;0.6;0.68292683;0.8510638872782389;0.6614476044972738;0.7193089326222738;24.059
20;1;5;3;105;1;0.8764045;0.8988764;0.9101124;0.9375;0.125;0.8979592;0.7692308;0.33333334;0.9361702;0.8951311111450195;0.653486410776774;0.6795781453450521;6.55
29;1;5;3;105;1;0.9191919;0.8888889;0.90909094;0.8852459;0.125;1.0;0.9818182;0.2;0.7692308;0.9057238896687826;0.6700819333394369;0.6503496964772543;6.189
14;1;5;3;105;1;0.81;0.79;0.86;0.9375;0.045454547;0.9130435;0.63829786;1.0;0.8076923;0.8200000127156576;0.6319993336995443;0.8153300285339355;1117.42
11;1;5;3;105;1;0.82828283;0.8989899;0.8080808;0.7962963;0.0;0.9166667;0.877551;0.0;0.67346936;0.8451178868611654;0.5709876616795858;0.5170067946116129;325.355
