USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;45;1;0.5259259541829427;0.2569444378217061;0.3055555621782939;78.455
3;1;5;3;45;1;0.6888888676961263;0.36437246203422546;0.3952941099802653;15.955
32;1;5;3;45;1;0.6296296119689941;0.268907571832339;0.40909091631571454;39.519
7;1;5;3;45;1;0.5851852099100748;0.2555555502573649;0.3888889153798421;26.046
36;1;5;3;45;1;0.5407407681147257;0.40286795298258465;0.3581780592600505;16.056
4;1;5;3;45;1;0.5851852099100748;0.29012345274289447;0.41609195868174237;24.725
20;1;5;3;45;1;0.5851852099100748;0.2689832846323649;0.36858975887298584;27.106
29;1;5;3;45;1;0.5703703959782919;0.25980393091837567;0.3373015721638997;38.774
14;1;5;3;45;1;0.46666669845581055;0.15555556118488312;0.1878787875175476;67.761
11;1;5;3;45;1;0.5703703959782919;0.5565476417541504;0.319654901822408;20.391
