USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;190;1;0.95604396;0.989011;0.94505495;0.95348835;0.0;0.9574468;0.95348835;0;0.9375;0.9633700052897135;0.6369783878326416;0.630329449971517;13.445
3;1;5;3;190;1;0.97959185;0.9897959;0.9897959;0.9807692;0.0;1.0;0.9807692;0;0.9782609;0.9863945643107096;0.6602563858032227;0.6530100305875143;6.832
32;1;5;3;190;1;0.9775281;0.9550562;0.9775281;0.962963;0.0;0.9705882;1.0;0.0;0.9705882;0.9700374603271484;0.6445170640945435;0.656862735748291;7.05
7;1;5;3;190;1;0.9120879;0.93406594;0.978022;1.0;0.0;0.94871795;0.8518519;0;1.0;0.9413919448852539;0.6495726505915324;0.6172839601834615;6.616
36;1;5;3;190;1;0.9493671;0.9493671;0.9493671;0.9444444;0.5;0.972973;0.9444444;0.75;0.9230769;0.9493671258290609;0.8058058420817057;0.8725070953369141;6.712
4;1;5;3;190;1;0.9368421;0.9894737;0.9263158;0.9148936;0.0;0.9574468;0.95555556;0;0.9;0.9508771896362305;0.6241134802500407;0.6185185114542643;9.954
20;1;5;3;190;1;0.9767442;0.9767442;0.95348835;0.9767442;0.5;0.9512195;0.9767442;0.5;0.9512195;0.9689922332763672;0.8093212445576986;0.8093212445576986;6.934
29;1;5;3;190;1;0.9892473;0.9892473;1.0;1.0;0.0;1.0;0.9814815;0;1.0;0.9928315480550131;0.6666666666666666;0.6604938308397929;7.008
14;1;5;3;190;1;0.9468085;0.9680851;0.9574468;0.9433962;0.25;1.0;0.96153843;1.0;0.902439;0.957446813583374;0.7311320304870605;0.9546591440836588;6.575
11;1;5;3;190;1;0.96907216;0.96907216;0.97938144;0.9782609;0.0;1.0;0.9574468;0;0.96;0.9725085894266764;0.6594202915827433;0.6391489307085673;7.003
