USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;45;1;0.9841269652048746;0.6666666666666666;0.6515151460965475;3.502
3;1;5;3;45;1;1.0;0.6666666666666666;0.6666666666666666;4.619
32;1;5;3;45;1;1.0;0.6666666666666666;0.6666666666666666;5.291
7;1;5;3;45;1;0.9682539304097494;0.6320987741152445;0.6320987741152445;5.103
36;1;5;3;45;1;0.9809524218241373;0.6410256425539652;0.6666666666666666;5.813
4;1;5;3;45;1;0.9487179120381674;0.6122994621594747;0.6376811663309733;5.144
20;1;5;3;45;1;1.0;0.6666666666666666;0.6666666666666666;4.136
29;1;5;3;45;1;0.9837398529052734;0.6666666666666666;0.6538461446762085;4.343
14;1;5;3;45;1;0.9689922332763672;0.6355072458585104;0.6355072458585104;3.824
11;1;5;3;45;1;0.9844961166381836;0.6555555462837219;0.6428571343421936;9.235
