USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;45;1;0.49593496322631836;0.16103059550126395;0.26923076311747235;12.816
3;1;5;3;45;1;0.6515150864919027;0.3268398443857829;0.4047619104385376;6.875
32;1;5;3;45;1;0.5098039309183756;0.21212121347586313;0.35526315371195477;13.768
7;1;5;3;45;1;0.6507936318715414;0.3223443428675334;0.3567446867624919;13.657
36;1;5;3;45;1;0.5213675498962402;0.5055555502573649;0.3185185194015503;13.493
4;1;5;3;45;1;0.6190476417541504;0.30075188477834064;0.3333333333333333;13.366
20;1;5;3;45;1;0.714285691579183;0.3799999952316284;0.40211641788482666;7.134
29;1;5;3;45;1;0.6585365931193033;0.514285683631897;0.46481482187906903;13.204
14;1;5;3;45;1;0.4920634826024373;0.3333333333333333;0.2630147735277812;12.007
11;1;5;3;45;1;0.7037037213643392;0.3799999952316284;0.40396825472513836;13.36
