USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;TRAIN_TIME;TEMP1;TEMP2;TEMP3;THEORY
15;1;5;3;105;1;0;0;0;4.15;:~ value(frittura,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.912;:~ value(frittura,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;3.028;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;2.845;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;3.988;:~ value(verdure_e_ortaggi,V1).[-V1@4, V1] 
15;1;5;3;105;1;0;0;0;2.831;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;2.993;:~ value(carne,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;4.18;:~ category(1).[-1@1] 
15;1;5;3;105;1;0;0;0;5.32;:~ category(4).[-1@1] 
15;1;5;3;105;1;0;0;0;4.217;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;2.978;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;4.099;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;3.04;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.836;:~ value(carne,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;4.168;:~ category(1).[-1@1] 
15;1;5;3;105;1;0;0;0;4.208;:~ value(frittura,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.88;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.903;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;3.087;:~ value(carne,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.985;:~ value(carne,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;3.989;:~ value(verdure_e_ortaggi,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;3.035;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;4.144;:~ category(4).[-1@1] 
15;1;5;3;105;1;0;0;0;2.939;:~ value(carne,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.872;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.949;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;4.067;:~ category(4).[-1@4] 
15;1;5;3;105;1;0;0;0;3.99;:~ value(verdure_e_ortaggi,V1).[-V1@4, V1] 
15;1;5;3;105;1;0;0;0;4.133;:~ value(frittura,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.991;:~ value(verdure_e_ortaggi,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.825;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;2.965;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;3.006;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.836;:~ value(carne,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.884;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;4.334;:~ value(verdure_e_ortaggi,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;2.877;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;5.328;:~ category(4).[-1@1] 
