USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;TRAIN_TIME;TEMP1;TEMP2;TEMP3;THEORY
15;1;5;3;105;1;0;0;0;99.115;:~ category(4).[-1@4] 
15;1;5;3;105;1;0;0;0;189.728;:~ value(frittura,V1), category(3).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;58.431;:~ category(3).[-1@1] 
15;1;5;3;105;1;0;0;0;107.361;:~ value(stufato,V1), category(3).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;60.786;:~ category(4).[-1@1] 
3;1;5;3;105;1;0;0;0;121.907;:~ value(frittura,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;96.829;:~ value(stufato,V1).[-V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@5, V1] 
3;1;5;3;105;1;0;0;0;29.815;:~ value(latticini,V1).[V1@4, V1] :~ value(carne,V1).[-V1@5, V1] 
3;1;5;3;105;1;0;0;0;108.508;:~ value(frittura,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;67.943;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;242.551;:~ value(frittura,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@5, V1] 
3;1;5;3;105;1;0;0;0;63.542;:~ value(erbe_spezie_e_condimenti,V1).[V1@4, V1] 
3;1;5;3;105;1;0;0;0;309.837;:~ value(latticini,V1).[V1@1, V1] :~ value(pasta,V1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;100.824;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;85.611;:~ value(frittura,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;42.323;:~ value(frittura,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;58.978;:~ value(frittura,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ category(3).[-1@4] 
3;1;5;3;105;1;0;0;0;26.353;:~ value(pasta,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;508.435;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ category(3).[1@4] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ value(carne,V1).[-V1@3, V1] 
3;1;5;3;105;1;0;0;0;101.283;:~ value(forno,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;75.059;:~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;2820.01;:~ value(forno,V1).[-V1@1, V1] :~ value(stufato,V1), category(3).[V1@2, V1] 
3;1;5;3;105;1;0;0;0;19.961;:~ value(forno,V1).[-V1@4, V1] 
3;1;5;3;105;1;0;0;0;163.441;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;158.399;:~ value(frittura,V1).[V1@3, V1] :~ value(forno,V1).[-V1@4, V1] :~ value(stufato,V1), category(3).[-V1@5, V1] 
3;1;5;3;105;1;0;0;0;708.172;:~ value(carne,V1).[-V1@1, V1] :~ value(frittura,V1), category(3).[V1@3, V1] 
3;1;5;3;105;1;0;0;0;199.662;:~ value(forno,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@5, V1] 
3;1;5;3;105;1;0;0;0;141.711;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;239.982;:~ value(pasta,V1).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] :~ value(stufato,V1), category(4).[-V1@5, V1] 
3;1;5;3;105;1;0;0;0;12.689;:~ value(farinacei,V1).[V1@1, V1] :~ value(pasta,V1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;161.433;:~ value(frittura,V1).[V1@1, V1] :~ value(forno,V1).[-V1@2, V1] :~ value(carne,V1).[V1@3, V1] 
3;1;5;3;105;1;0;0;0;1016.73;:~ value(frutta,V1).[V1@2, V1] :~ value(farinacei,V1).[-V1@5, V1] :~ category(3).[1@1] :~ value(carne,V1).[V1@3, V1] :~ category(1).[1@4] 
3;1;5;3;105;1;0;0;0;233.718;:~ value(forno,V1), category(1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;4.735;:~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;100.898;:~ value(frittura,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;28.551;:~ value(carne,V1).[V1@4, V1] 
3;1;5;3;105;1;0;0;0;105.509;:~ value(erbe_spezie_e_condimenti,V1).[V1@5, V1] :~ value(latticini,V1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;364.849;:~ value(latticini,V1).[-V1@1, V1] :~ value(carne,V1).[V1@3, V1] 
3;1;5;3;105;1;0;0;0;248.416;:~ value(frutta,V1).[V1@1, V1] :~ value(forno,V1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;206.77;:~ value(latticini,V1).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@3, V1] :~ value(forno,V1), category(3).[V1@4, V1] 
3;1;5;3;105;1;0;0;0;414.668;:~ value(pasta,V1).[-V1@2, V1] :~ value(carne,V1).[V1@3, V1] :~ category(1).[1@1] 
3;1;5;3;105;1;0;0;0;828.181;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1).[V1@3, V1] :~ category(3).[-1@4] :~ value(frittura,V1), category(1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;221.397;:~ value(latticini,V1).[V1@1, V1] :~ value(carne,V1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;478.966;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;19.093;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;329.675;:~ value(pasta,V1).[V1@1, V1] :~ value(frutta,V1).[-V1@2, V1] :~ value(carne,V1).[V1@3, V1] 
3;1;5;3;105;1;0;0;0;101.649;:~ value(stufato,V1).[-V1@1, V1] :~ value(carne,V1).[-V1@3, V1] :~ value(forno,V1), category(1).[V1@2, V1] 
3;1;5;3;105;1;0;0;0;236.821;:~ value(frittura,V1).[-V1@4, V1] :~ value(carne,V1).[V1@3, V1] :~ value(frutta,V1), category(3).[-V1@5, V1] 
3;1;5;3;105;1;0;0;0;90.969;:~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;376.777;:~ value(frittura,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(carne,V1).[-V1@5, V1] 
3;1;5;3;105;1;0;0;0;828.871;:~ value(pasta,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ value(forno,V1).[-V1@4, V1] :~ category(1).[1@5] :~ value(carne,V1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;67.439;:~ value(pasta,V1).[V1@2, V1] :~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;247.925;:~ value(farinacei,V1).[-V1@1, V1] :~ value(pasta,V1).[V1@4, V1] :~ category(3).[1@5] 
3;1;5;3;105;1;0;0;0;123.55;:~ value(pasta,V1).[-V1@4, V1] :~ value(carne,V1).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;466.801;:~ value(forno,V1).[-V1@1, V1] :~ value(carne,V1).[-V1@3, V1] 
3;1;5;3;105;1;0;0;0;190.27;:~ value(pasta,V1).[V1@3, V1] :~ value(forno,V1).[-V1@2, V1] :~ category(3).[-1@4] :~ value(forno,V1), category(3).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;1667.38;:~ value(stufato,V1).[V1@1, V1] :~ value(farinacei,V1).[V1@2, V1] :~ value(pasta,V1).[V1@3, V1] 
