USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;CORRECT;UNCERTAIN;INCORRECT;CORRECTP;UNCERTAINP;INCORRECTP;CORRECT_UDISCARDEDP;TRAIN_TIME;THEORY
3;1;1;3;45;105;28;76;1;0.26666666666666666;0.7238095238095238;0.009523809523809525;0.9655172413793104;17.542;:~ value(forno,V1).[-V1@1, V1] 
3;2;2;3;45;105;46;29;30;0.4380952380952381;0.2761904761904762;0.2857142857142857;0.6052631578947368;22.356;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(forno,V1).[-1@2, V1] 
3;3;3;3;45;105;64;19;22;0.6095238095238096;0.18095238095238095;0.20952380952380953;0.7441860465116279;26.933;:~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ value(pesce,V1).[-1@2, V1] :~ value(forno,V1).[-1@3, V1] 
3;4;4;3;45;105;56;19;30;0.5333333333333333;0.18095238095238095;0.2857142857142857;0.6511627906976745;36.492;:~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ value(funghi_e_tartufi,V1).[1@1, V1] :~ value(frittura,V1).[V1@4, V1] :~ value(forno,V1).[-1@3, V1] 
3;5;5;3;45;105;59;21;25;0.5619047619047619;0.2;0.23809523809523808;0.7023809523809523;46.248;:~ category(5).[1@4] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ category(1).[1@5] :~ value(forno,V1).[-1@3, V1] :~ value(funghi_e_tartufi,V1).[V1@2, V1] 
4;1;1;3;45;105;22;69;14;0.20952380952380953;0.6571428571428571;0.13333333333333333;0.6111111111111112;28.275;:~ value(uova,V1).[V1@1, V1] 
4;2;2;3;45;105;44;35;26;0.41904761904761906;0.3333333333333333;0.24761904761904763;0.6285714285714286;57.282;:~ value(uova,V1).[V1@1, V1] :~ value(pesce,V1).[1@2, V1] 
4;3;3;3;45;105;28;37;40;0.26666666666666666;0.3523809523809524;0.38095238095238093;0.4117647058823529;97.236;:~ value(uova,V1).[1@1, V1] :~ category(4).[1@2] :~ category(4), value(forno,V1).[-V1@3, V1] 
4;4;4;3;45;105;27;31;47;0.2571428571428571;0.29523809523809524;0.44761904761904764;0.36486486486486486;116.821;:~ value(frittura,V1).[-1@2, V1] :~ value(uova,V1).[V1@1, V1] :~ category(4).[1@3] :~ category(4), value(forno,V1).[-1@4, V1] 
4;5;5;3;45;105;27;35;43;0.2571428571428571;0.3333333333333333;0.4095238095238095;0.38571428571428573;116.059;:~ category(4).[1@4] :~ value(uova,V1).[1@1, V1] :~ category(1).[-1@2] :~ category(5).[1@3] :~ category(4), value(forno,V1).[-V1@5, V1] 
7;1;1;3;45;105;10;75;20;0.09523809523809523;0.7142857142857143;0.19047619047619047;0.3333333333333333;22.361;:~ value(forno,V1).[-V1@1, V1] 
7;2;2;3;45;105;10;75;20;0.09523809523809523;0.7142857142857143;0.19047619047619047;0.3333333333333333;31.324;:~ value(forno,V1).[-V1@1, V1] :~ value(dolcificanti,V1).[-1@2, V1] 
7;3;3;3;45;105;21;51;33;0.2;0.4857142857142857;0.3142857142857143;0.3888888888888889;48.08;:~ value(forno,V1).[-V1@1, V1] :~ value(frutta,V1).[-V1@2, V1] :~ category(4).[1@3] 
7;4;4;3;45;105;21;51;33;0.2;0.4857142857142857;0.3142857142857143;0.3888888888888889;60.576;:~ value(carne,V1).[V1@2, V1] :~ category(4).[1@3] :~ value(forno,V1).[-V1@1, V1] :~ value(frutta,V1).[-1@4, V1] 
7;5;5;3;45;105;44;24;37;0.41904761904761906;0.22857142857142856;0.3523809523809524;0.5432098765432098;68.616;:~ value(frittura,V1).[1@4, V1] :~ value(forno,V1).[-V1@1, V1] :~ value(forno,V1).[1@2, V1] :~ category(3).[1@3] :~ category(4).[1@5] 
11;1;1;3;45;105;22;74;9;0.20952380952380953;0.7047619047619048;0.08571428571428572;0.7096774193548387;21.604;:~ value(forno,V1).[-V1@1, V1] 
11;2;2;3;45;105;42;10;53;0.4;0.09523809523809523;0.5047619047619047;0.4421052631578947;40.491;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(uova,V1).[-1@2, V1] 
11;3;3;3;45;105;46;26;33;0.4380952380952381;0.24761904761904763;0.3142857142857143;0.5822784810126582;62.859;:~ value(farinacei,V1).[V1@1, V1] :~ value(pesce,V1).[1@3, V1] :~ category(3), value(forno,V1).[-1@2, V1] 
