USER0; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.79 (+/- 0.07720104), mean precision: 0.712 (+/- 0.06910861),  mean recall: 0.79 (+/- 0.07720104),  mean f1score: 0.748 (+/- 0.071105555),
USER1; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.738 (+/- 0.06794115), mean precision: 0.658 (+/- 0.039698865),  mean recall: 0.738 (+/- 0.06794115),  mean f1score: 0.688 (+/- 0.06523803),
USER2; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.696 (+/- 0.04586938), mean precision: 0.62 (+/- 0.04516636),  mean recall: 0.696 (+/- 0.04586938),  mean f1score: 0.644 (+/- 0.047159303),
USER3; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.776 (+/- 0.037735924), mean precision: 0.696 (+/- 0.046733286),  mean recall: 0.776 (+/- 0.037735924),  mean f1score: 0.726 (+/- 0.044542115),
USER4; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.778 (+/- 0.024819348), mean precision: 0.702 (+/- 0.03310589),  mean recall: 0.778 (+/- 0.024819348),  mean f1score: 0.734 (+/- 0.027276363),
USER5; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.816 (+/- 0.026532998), mean precision: 0.714 (+/- 0.03498571),  mean recall: 0.816 (+/- 0.026532998),  mean f1score: 0.762 (+/- 0.029257478),
USER6; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.754 (+/- 0.061188236), mean precision: 0.688 (+/- 0.062417947),  mean recall: 0.754 (+/- 0.061188236),  mean f1score: 0.718 (+/- 0.061122827),
USER7; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.772 (+/- 0.05075431), mean precision: 0.728 (+/- 0.051146846),  mean recall: 0.772 (+/- 0.05075431),  mean f1score: 0.74 (+/- 0.054037023),
USER8; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.772 (+/- 0.04489989), mean precision: 0.694 (+/- 0.043174066),  mean recall: 0.772 (+/- 0.04489989),  mean f1score: 0.73 (+/- 0.04289522),
USER9; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.77 (+/- 0.054037023), mean precision: 0.73 (+/- 0.05329165),  mean recall: 0.77 (+/- 0.054037023),  mean f1score: 0.736 (+/- 0.05817216),
USER10; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.792 (+/- 0.048332185), mean precision: 0.732 (+/- 0.039191835),  mean recall: 0.792 (+/- 0.048332185),  mean f1score: 0.756 (+/- 0.038781438),
USER11; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.762 (+/- 0.04069398), mean precision: 0.71 (+/- 0.045607015),  mean recall: 0.762 (+/- 0.04069398),  mean f1score: 0.718 (+/- 0.04354308),
