PC1: 0.09250564796068128.
PC2: 0.1789604261188105.
PC3: 0.24072290183618375.
PC4: 0.30094713881579493.
PC5: 0.35457442898620184.
PC6: 0.4035059732951042.
PC7: 0.45059869089903426.
PC8: 0.493183869379101.
PC9: 0.532368799945206.
PC10: 0.5677574535131307.
PC11: 0.6017779065897343.
PC12: 0.633556754799331.
PC13: 0.6620924816498582.
PC14: 0.6881400827746474.
PC15: 0.7129092895733196. <-----
PC16: 0.7354121802732047.
PC17: 0.7567300532313257.
PC18: 0.7764456170902103.
PC19: 0.7956958075290973.
PC20: 0.8131293222234018. <-----
PC21: 0.8301059993973632.
PC22: 0.8465248589667966.
PC23: 0.8617891535919463.
PC24: 0.8759482907261559.
PC25: 0.8885207180790841.
PC26: 0.9005754603826094. <-----
PC27: 0.9116701923629359.
PC28: 0.9224953441617837.
PC29: 0.9325341106198655.
PC30: 0.9412104003434372.
PC31: 0.9493951092130903.
PC32: 0.9569024943377512.
PC33: 0.9635657329296603.
PC34: 0.9698388514114896.
PC35: 0.975399663928964.
PC36: 0.9803050609333381.
PC37: 0.9848351186887474.
PC38: 0.9885097588126263.
PC39: 0.9915459366206424.
PC40: 0.9941537946814305.
PC41: 0.9965120653509385.
PC42: 0.9984034285899357.
PC43: 1.0.
PC44: 1.0.
PC45: 1.0.
PC46: 1.0.
PC47: 1.0.
