Ingredient;ID;Class;Class ID;ITA
Agretti;1;Greens;15;Barba di frate
Alice fish;2;Sea Fish;26;Alice
Allspice;3;Herbs;16;Pimento
Almonds;4;Nuts;22;Mandorla
Angler;5;Sea Fish;26;Coda di rospo
Anice;6;Spices;30;Anice
Aperol;7;Wines and Spirits;35;Aperol
Apple;8;Sweet Fruits;31;Mela
Artichoke;9;Vegetables;34;Carciofo
Asiago Cheese;10;Cheese;7;Asiago
Asparagus;11;Greens;15;Asparagi
Aubergine;12;Vegetables;34;Melanzana
Avocado;13;Sweet Fruits;31;Avocado
Bacon;14;Pork Meat;23;Bacon
Bamboo Shoot;15;Greens;15;Germogli di bambù
Barley;16;Cereals;6;Orzo
Basil;17;Herbs;16;Basilico
Batter;18;Milk and Cream;19;Pastella
Beans;19;Legumes;18;Fagioli
Bechamel;20;Milk and Cream;19;Besciamella
Beef;21;Beef;1;Carne bovina
Beef Broth;22;Broth;4;Brodo di carne
Beer;23;Wines and Spirits;35;Birra
Black Pepper;24;Spices;30;Pepe Nero
Blackspot Seabream;25;Sea Fish;26;Pezzogna
Blue Cheese;26;Soft Cheese;29;Gorgonzola
Blueberries;27;Berries;2;Mirtillo
Boar;28;Pork Meat;23;Cinghiale
Bottarga;29;Sea Fish;26;Bottarga
Boursault Cheese;30;Soft Cheese;29;Boursault
Brandy;31;Wines and Spirits;35;Brandy
Bread;32;Bread;3;Pane
Brie;33;Soft Cheese;29;Brie
Brill;34;Sea Fish;26;Rombo
Broccoli;35;Vegetables;34;Broccolo
Brussel Sprouts;36;Vegetables;34;Cavoletti di bruxelles
Bucatini;37;Dry Pasta;11;Bucatini
Bulgur;38;Cereals;6;Bulgur
Burrata;39;Soft Cheese;29;Burrata
Butter;40;Butter;5;Burro
Cabbage;41;Vegetables;34;Cavolo
Caciocavallo Cheese;42;Cheese;7;Caciocavallo
Caciotta;43;Cheese;7;Caciotta
Cajun;44;Spices;30;Cajun
Calamarata;45;Dry Pasta;11;Calamarata
Camembert Cheese;46;Soft Cheese;29;Camembert
Capers;47;Salty Fruits;25;Cappero
Cardamom;48;Spices;30;Cardamomo
Carrots;49;Vegetables;34;Carota
Caserecce;50;Dry Pasta;11;Caserecce
