Model: linear-relu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 1.1100772619247437, precision: 0.7400000095367432, recall: 0.7254902124404907, f1score: 0.7326732803449807
Model: linear-relu-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7843137383460999, loss: 0.8342769742012024, precision: 0.8163265585899353, recall: 0.7843137383460999, f1score: 0.800000020122528
Model: linear-relu-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 0.6699931025505066, precision: 0.7755101919174194, recall: 0.7450980544090271, f1score: 0.7600000020623204
Model: linear-relu-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.1336164474487305, precision: 0.6938775777816772, recall: 0.6666666865348816, f1score: 0.6800000231862068
Model: linear-tanh-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.1600170135498047, precision: 0.686274528503418, recall: 0.686274528503418, f1score: 0.686274528503418
Model: linear-tanh-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.9051769971847534, precision: 0.6875, recall: 0.6470588445663452, f1score: 0.6666666778322748
Model: linear-tanh-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7647058963775635, loss: 0.6648897528648376, precision: 0.7551020383834839, recall: 0.7254902124404907, f1score: 0.7400000073432921
Model: linear-tanh-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.9930819272994995, precision: 0.7058823704719543, recall: 0.7058823704719543, f1score: 0.7058823704719543
Model: linear-sigmoid-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.9828492999076843, precision: 0.686274528503418, recall: 0.686274528503418, f1score: 0.686274528503418
Model: linear-sigmoid-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.7149276733398438, precision: 0.717391312122345, recall: 0.6470588445663452, f1score: 0.6804123862616528
Model: linear-sigmoid-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 0.8077889084815979, precision: 0.7555555701255798, recall: 0.6666666865348816, f1score: 0.708333350950852
Model: linear-sigmoid-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7843137383460999, loss: 0.6500537395477295, precision: 0.7708333134651184, recall: 0.7254902124404907, f1score: 0.7474747468179466
Model: linear-leakyRelu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.8751677870750427, precision: 0.7346938848495483, recall: 0.7058823704719543, f1score: 0.7200000126242637
Model: linear-leakyRelu-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7647058963775635, loss: 0.7371624112129211, precision: 0.7647058963775635, recall: 0.7647058963775635, f1score: 0.7647058963775635
Model: linear-leakyRelu-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7647058963775635, loss: 0.6258435249328613, precision: 0.7755101919174194, recall: 0.7450980544090271, f1score: 0.7600000020623204
Model: linear-leakyRelu-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 0.9850469827651978, precision: 0.7200000286102295, recall: 0.7058823704719543, f1score: 0.7128713100917806
Model: relu-linear-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.0991826057434082, precision: 0.686274528503418, recall: 0.686274528503418, f1score: 0.686274528503418
Model: relu-linear-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6666666865348816, loss: 1.6113144159317017, precision: 0.6800000071525574, recall: 0.6666666865348816, f1score: 0.6732673403702814
Model: relu-linear-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 0.8039302229881287, precision: 0.7450980544090271, recall: 0.7450980544090271, f1score: 0.7450980544090271
Model: relu-linear-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 1.417837381362915, precision: 0.7450980544090271, recall: 0.7450980544090271, f1score: 0.7450980544090271
Model: relu-relu-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 1.3219503164291382, precision: 0.7400000095367432, recall: 0.7254902124404907, f1score: 0.7326732803449807
Model: relu-relu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6666666865348816, loss: 1.3617171049118042, precision: 0.6666666865348816, recall: 0.6666666865348816, f1score: 0.6666666865348816
Model: relu-relu-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6470588445663452, loss: 1.3786022663116455, precision: 0.6470588445663452, recall: 0.6470588445663452, f1score: 0.6470588445663452
Model: relu-relu-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.0972408056259155, precision: 0.699999988079071, recall: 0.686274528503418, f1score: 0.6930693106234812
Model: relu-relu-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6274510025978088, loss: 1.7489162683486938, precision: 0.6399999856948853, recall: 0.6274510025978088, f1score: 0.6336633706487818
Model: relu-tanh-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6666666865348816, loss: 1.7024800777435303, precision: 0.6666666865348816, recall: 0.6666666865348816, f1score: 0.6666666865348816
Model: relu-tanh-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.7804296016693115, precision: 0.686274528503418, recall: 0.686274528503418, f1score: 0.686274528503418
Model: relu-tanh-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 1.2045446634292603, precision: 0.7450980544090271, recall: 0.7450980544090271, f1score: 0.7450980544090271
Model: relu-tanh-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.036189079284668, precision: 0.699999988079071, recall: 0.686274528503418, f1score: 0.6930693106234812
Model: relu-tanh-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.3936398029327393, precision: 0.7058823704719543, recall: 0.7058823704719543, f1score: 0.7058823704719543
Model: relu-sigmoid-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.9915299415588379, precision: 0.7200000286102295, recall: 0.7058823704719543, f1score: 0.7128713100917806
Model: relu-sigmoid-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.1870449781417847, precision: 0.7058823704719543, recall: 0.7058823704719543, f1score: 0.7058823704719543
Model: relu-sigmoid-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.3687708377838135, precision: 0.7058823704719543, recall: 0.7058823704719543, f1score: 0.7058823704719543
Model: relu-sigmoid-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6078431606292725, loss: 0.9653938412666321, precision: 0.6326530575752258, recall: 0.6078431606292725, f1score: 0.6200000104069707
Model: relu-sigmoid-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6666666865348816, loss: 0.9819392561912537, precision: 0.6666666865348816, recall: 0.6666666865348816, f1score: 0.6666666865348816
Model: relu-leakyRelu-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6470588445663452, loss: 1.555208444595337, precision: 0.6470588445663452, recall: 0.6470588445663452, f1score: 0.6470588445663452
Model: relu-leakyRelu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.5207741260528564, precision: 0.699999988079071, recall: 0.686274528503418, f1score: 0.6930693106234812
Model: relu-leakyRelu-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.5882353186607361, loss: 1.6519547700881958, precision: 0.5882353186607361, recall: 0.5882353186607361, f1score: 0.5882353186607361
Model: relu-leakyRelu-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 1.0004945993423462, precision: 0.7346938848495483, recall: 0.7058823704719543, f1score: 0.7200000126242637
Model: relu-leakyRelu-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6470588445663452, loss: 1.4621896743774414, precision: 0.6470588445663452, recall: 0.6470588445663452, f1score: 0.6470588445663452
Model: tanh-linear-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7647058963775635, loss: 0.9258418083190918, precision: 0.7647058963775635, recall: 0.7647058963775635, f1score: 0.7647058963775635
Model: tanh-linear-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 1.0360205173492432, precision: 0.7200000286102295, recall: 0.7058823704719543, f1score: 0.7128713100917806
Model: tanh-linear-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7647058963775635, loss: 0.6839372515678406, precision: 0.7599999904632568, recall: 0.7450980544090271, f1score: 0.7524752505981807
Model: tanh-linear-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 1.0716980695724487, precision: 0.7599999904632568, recall: 0.7450980544090271, f1score: 0.7524752505981807
Model: tanh-relu-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 1.3483446836471558, precision: 0.7254902124404907, recall: 0.7254902124404907, f1score: 0.7254902124404907
Model: tanh-relu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.3399583101272583, precision: 0.699999988079071, recall: 0.686274528503418, f1score: 0.6930693106234812
Model: tanh-relu-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.157076120376587, precision: 0.699999988079071, recall: 0.686274528503418, f1score: 0.6930693106234812
Model: tanh-relu-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.7831456661224365, precision: 0.6938775777816772, recall: 0.6666666865348816, f1score: 0.6800000231862068
Model: tanh-relu-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.193097472190857, precision: 0.699999988079071, recall: 0.686274528503418, f1score: 0.6930693106234812
Model: tanh-tanh-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.3148539066314697, precision: 0.699999988079071, recall: 0.686274528503418, f1score: 0.6930693106234812
Model: tanh-tanh-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.1993436813354492, precision: 0.686274528503418, recall: 0.686274528503418, f1score: 0.686274528503418
Model: tanh-tanh-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.1115198135375977, precision: 0.7058823704719543, recall: 0.7058823704719543, f1score: 0.7058823704719543
Model: tanh-tanh-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.7220251560211182, precision: 0.7291666865348816, recall: 0.686274528503418, f1score: 0.7070707263368549
Model: tanh-tanh-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6274510025978088, loss: 1.3181145191192627, precision: 0.6530612111091614, recall: 0.6274510025978088, f1score: 0.640000005125999
Model: tanh-sigmoid-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6274510025978088, loss: 0.925325870513916, precision: 0.6808510422706604, recall: 0.6274510025978088, f1score: 0.6530612265999138
Model: tanh-sigmoid-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6666666865348816, loss: 0.9236643314361572, precision: 0.6734693646430969, recall: 0.6470588445663452, f1score: 0.6599999998450272
Model: tanh-sigmoid-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.0286805629730225, precision: 0.7200000286102295, recall: 0.7058823704719543, f1score: 0.7128713100917806
Model: tanh-sigmoid-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.7785418629646301, precision: 0.7234042286872864, recall: 0.6666666865348816, f1score: 0.6938775495309119
Model: tanh-sigmoid-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.7980731129646301, precision: 0.7446808218955994, recall: 0.686274528503418, f1score: 0.7142857109964109
Model: tanh-leakyRelu-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.183851957321167, precision: 0.6800000071525574, recall: 0.6666666865348816, f1score: 0.6732673403702814
Model: tanh-leakyRelu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6666666865348816, loss: 1.289941668510437, precision: 0.6666666865348816, recall: 0.6666666865348816, f1score: 0.6666666865348816
Model: tanh-leakyRelu-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 0.976961612701416, precision: 0.7200000286102295, recall: 0.7058823704719543, f1score: 0.7128713100917806
Model: tanh-leakyRelu-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7647058963775635, loss: 0.6497882008552551, precision: 0.7659574747085571, recall: 0.7058823704719543, f1score: 0.7346938998810404
Model: tanh-leakyRelu-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.0828057527542114, precision: 0.7058823704719543, recall: 0.7058823704719543, f1score: 0.7058823704719543
Model: sigmoid-linear-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.8041511178016663, precision: 0.739130437374115, recall: 0.6666666865348816, f1score: 0.7010309399853021
Model: sigmoid-linear-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.8941511511802673, precision: 0.739130437374115, recall: 0.6666666865348816, f1score: 0.7010309399853021
Model: sigmoid-linear-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6470588445663452, loss: 0.9390495419502258, precision: 0.7209302186965942, recall: 0.6078431606292725, f1score: 0.6595744760449838
Model: sigmoid-linear-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.8200141787528992, precision: 0.7142857313156128, recall: 0.686274528503418, f1score: 0.7000000179052353
Model: sigmoid-relu-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 0.8225566148757935, precision: 0.7727272510528564, recall: 0.6666666865348816, f1score: 0.715789475837242
Model: sigmoid-relu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6274510025978088, loss: 1.0004836320877075, precision: 0.6530612111091614, recall: 0.6274510025978088, f1score: 0.640000005125999
Model: sigmoid-relu-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 0.8236294388771057, precision: 0.7346938848495483, recall: 0.7058823704719543, f1score: 0.7200000126242637
Model: sigmoid-relu-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.6988392472267151, precision: 0.7560975551605225, recall: 0.6078431606292725, f1score: 0.6739130555343985
Model: sigmoid-relu-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.8649742007255554, precision: 0.699999988079071, recall: 0.686274528503418, f1score: 0.6930693106234812
Model: sigmoid-tanh-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.8749517798423767, precision: 0.7272727489471436, recall: 0.6274510025978088, f1score: 0.673684232624614
Model: sigmoid-tanh-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6470588445663452, loss: 0.9457385540008545, precision: 0.6666666865348816, recall: 0.6274510025978088, f1score: 0.646464667591729
Model: sigmoid-tanh-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.8470770120620728, precision: 0.7083333134651184, recall: 0.6666666865348816, f1score: 0.6868686880728205
Model: sigmoid-tanh-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6666666865348816, loss: 0.955069899559021, precision: 0.7209302186965942, recall: 0.6078431606292725, f1score: 0.6595744760449838
Model: sigmoid-tanh-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.8294988870620728, precision: 0.6888889074325562, recall: 0.6078431606292725, f1score: 0.6458333546761423
Model: sigmoid-sigmoid-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6274510025978088, loss: 0.9733184576034546, precision: 0.6829268336296082, recall: 0.5490196347236633, f1score: 0.608695670427131
Model: sigmoid-sigmoid-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.5882353186607361, loss: 0.9322598576545715, precision: 0.692307710647583, recall: 0.529411792755127, f1score: 0.600000024901496
Model: sigmoid-sigmoid-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6078431606292725, loss: 1.0700267553329468, precision: 0.6521739363670349, recall: 0.5882353186607361, f1score: 0.6185567250907047
Model: sigmoid-sigmoid-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.5882353186607361, loss: 0.9649053812026978, precision: 0.692307710647583, recall: 0.529411792755127, f1score: 0.600000024901496
Model: sigmoid-sigmoid-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6274510025978088, loss: 0.9438948631286621, precision: 0.7179487347602844, recall: 0.5490196347236633, f1score: 0.6222222457991705
Model: sigmoid-leakyRelu-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.744769811630249, precision: 0.7446808218955994, recall: 0.686274528503418, f1score: 0.7142857109964109
Model: sigmoid-leakyRelu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.9337400794029236, precision: 0.7142857313156128, recall: 0.686274528503418, f1score: 0.7000000179052353
Model: sigmoid-leakyRelu-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.8821390271186829, precision: 0.7291666865348816, recall: 0.686274528503418, f1score: 0.7070707263368549
Model: sigmoid-leakyRelu-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6470588445663452, loss: 0.9061758518218994, precision: 0.75, recall: 0.6470588445663452, f1score: 0.6947368542309281
Model: sigmoid-leakyRelu-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.845187246799469, precision: 0.7083333134651184, recall: 0.6666666865348816, f1score: 0.6868686880728205
